event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
D-I College Championships,College,190400,Carleton College,15,Massachusetts,6,2018-05-25,Men,1,2018
D-I College Championships,College,190401,Stanford,7,Auburn,14,2018-05-25,Men,1,2018
D-I College Championships,College,190402,Massachusetts,15,Auburn,8,2018-05-25,Men,1,2018
D-I College Championships,College,190403,Stanford,10,Northwestern,15,2018-05-25,Men,1,2018
D-I College Championships,College,190404,Carleton College,15,Northwestern,8,2018-05-25,Men,1,2018
D-I College Championships,College,190405,Carleton College,12,Stanford,10,2018-05-26,Men,1,2018
D-I College Championships,College,190406,Massachusetts,15,Northwestern,12,2018-05-26,Men,1,2018
D-I College Championships,College,190407,Carleton College,15,Auburn,6,2018-05-26,Men,1,2018
D-I College Championships,College,190408,Massachusetts,15,Stanford,7,2018-05-26,Men,1,2018
D-I College Championships,College,190409,Auburn,10,Northwestern,12,2018-05-26,Men,1,2018
D-I College Championships,College,190410,North Carolina,15,Connecticut,8,2018-05-25,Men,1,2018
D-I College Championships,College,190411,Minnesota,15,William & Mary,8,2018-05-25,Men,1,2018
D-I College Championships,College,190412,North Carolina,15,Minnesota,4,2018-05-25,Men,1,2018
D-I College Championships,College,190413,Texas,13,William & Mary,9,2018-05-25,Men,1,2018
D-I College Championships,College,190414,Texas,15,Connecticut,11,2018-05-25,Men,1,2018
D-I College Championships,College,190415,North Carolina,15,Texas,8,2018-05-26,Men,1,2018
D-I College Championships,College,190416,Minnesota,15,Connecticut,8,2018-05-26,Men,1,2018
D-I College Championships,College,190417,William & Mary,13,Connecticut,14,2018-05-26,Men,1,2018
D-I College Championships,College,190418,Minnesota,10,Texas,13,2018-05-26,Men,1,2018
D-I College Championships,College,190419,North Carolina,11,William & Mary,13,2018-05-26,Men,1,2018
D-I College Championships,College,190420,Georgia,14,Maryland,13,2018-05-25,Men,1,2018
D-I College Championships,College,190421,Wisconsin,12,Georgetown,8,2018-05-25,Men,1,2018
D-I College Championships,College,190422,Oregon,15,Georgia,7,2018-05-25,Men,1,2018
D-I College Championships,College,190423,Wisconsin,11,Maryland,10,2018-05-25,Men,1,2018
D-I College Championships,College,190424,Oregon,15,Georgetown,6,2018-05-25,Men,1,2018
D-I College Championships,College,190425,Maryland,11,Georgetown,13,2018-05-26,Men,1,2018
D-I College Championships,College,190426,Oregon,15,Wisconsin,8,2018-05-26,Men,1,2018
D-I College Championships,College,190427,Georgia,13,Georgetown,12,2018-05-26,Men,1,2018
D-I College Championships,College,190428,Oregon,11,Maryland,15,2018-05-26,Men,1,2018
D-I College Championships,College,190429,Georgia,10,Wisconsin,15,2018-05-26,Men,1,2018
D-I College Championships,College,190430,Washington,15,Victoria,11,2018-05-25,Men,1,2018
D-I College Championships,College,190431,Pittsburgh,15,Florida State,9,2018-05-25,Men,1,2018
D-I College Championships,College,190432,Brown,15,Florida State,6,2018-05-25,Men,1,2018
D-I College Championships,College,190433,Pittsburgh,14,Victoria,8,2018-05-25,Men,1,2018
D-I College Championships,College,190434,Brown,12,Washington,14,2018-05-25,Men,1,2018
D-I College Championships,College,190435,Brown,14,Pittsburgh,12,2018-05-26,Men,1,2018
D-I College Championships,College,190436,Victoria,12,Florida State,15,2018-05-26,Men,1,2018
D-I College Championships,College,190437,Washington,14,Florida State,11,2018-05-26,Men,1,2018
D-I College Championships,College,190438,Brown,15,Victoria,8,2018-05-26,Men,1,2018
D-I College Championships,College,190439,Washington,11,Pittsburgh,15,2018-05-26,Men,1,2018
D-I College Championships,College,190450,Pittsburgh,10,North Carolina,14,2018-05-28,Men,1,2018
D-I College Championships,College,190448,Carleton College,11,Pittsburgh,15,2018-05-27,Men,1,2018
D-I College Championships,College,190449,Oregon,13,North Carolina,14,2018-05-27,Men,1,2018
D-I College Championships,College,190444,Georgia,4,Carleton College,15,2018-05-27,Men,1,2018
D-I College Championships,College,190445,Wisconsin,8,Pittsburgh,15,2018-05-27,Men,1,2018
D-I College Championships,College,190446,Brown,13,Oregon,15,2018-05-27,Men,1,2018
D-I College Championships,College,190447,Washington,11,North Carolina,15,2018-05-27,Men,1,2018
D-I College Championships,College,190440,Texas,9,Georgia,14,2018-05-26,Men,1,2018
D-I College Championships,College,190442,Brown,15,Northwestern,11,2018-05-26,Men,1,2018
D-I College Championships,College,190443,Massachusetts,12,Washington,15,2018-05-26,Men,1,2018
D-I College Championships,College,190929,Wisconsin,13,Minnesota,12,2018-05-26,Men,1,2018
D-I College Championships,College,190451,Auburn,15,Victoria,14,2018-05-27,Men,1,2018
D-I College Championships,College,190452,William & Mary,15,Georgetown,11,2018-05-26,Men,1,2018
D-I College Championships,College,190453,Florida State,15,Stanford,14,2018-05-26,Men,1,2018
D-I College Championships,College,190454,Maryland,11,Connecticut,14,2018-05-27,Men,1,2018
D-I College Championships,College,190531,Dartmouth,15,Tufts,4,2018-05-25,Women,1,2018
D-I College Championships,College,190532,Colorado,15,West Chester,12,2018-05-25,Women,1,2018
D-I College Championships,College,190533,Tufts,15,West Chester,11,2018-05-25,Women,1,2018
D-I College Championships,College,190534,Colorado,11,California-Santa Barbara,10,2018-05-25,Women,1,2018
D-I College Championships,College,190535,Dartmouth,15,California-Santa Barbara,6,2018-05-25,Women,1,2018
D-I College Championships,College,190536,Dartmouth,15,Colorado,7,2018-05-26,Women,1,2018
D-I College Championships,College,190537,Tufts,15,California-Santa Barbara,9,2018-05-26,Women,1,2018
D-I College Championships,College,190538,Dartmouth,15,West Chester,6,2018-05-26,Women,1,2018
D-I College Championships,College,190539,Tufts,8,Colorado,15,2018-05-26,Women,1,2018
D-I College Championships,College,190540,West Chester,15,California-Santa Barbara,12,2018-05-26,Women,1,2018
D-I College Championships,College,190541,California-San Diego,15,Michigan,8,2018-05-25,Women,1,2018
D-I College Championships,College,190542,Texas,15,Western Washington,10,2018-05-25,Women,1,2018
D-I College Championships,College,190543,California-San Diego,9,Texas,15,2018-05-25,Women,1,2018
D-I College Championships,College,190544,Carleton College,15,Western Washington,7,2018-05-25,Women,1,2018
D-I College Championships,College,190550,Carleton College,12,Michigan,13,2018-05-25,Women,1,2018
D-I College Championships,College,190548,Texas,15,Michigan,6,2018-05-26,Women,1,2018
D-I College Championships,College,190549,California-San Diego,14,Carleton College,8,2018-05-26,Women,1,2018
D-I College Championships,College,190547,Western Washington,8,Michigan,15,2018-05-26,Women,1,2018
D-I College Championships,College,190545,California-San Diego,15,Western Washington,7,2018-05-26,Women,1,2018
D-I College Championships,College,190546,Texas,11,Carleton College,15,2018-05-26,Women,1,2018
D-I College Championships,College,190551,British Columbia,15,Whitman,8,2018-05-25,Women,1,2018
D-I College Championships,College,190552,Pittsburgh,13,Florida,6,2018-05-25,Women,1,2018
D-I College Championships,College,190553,North Carolina,15,British Columbia,6,2018-05-25,Women,1,2018
D-I College Championships,College,190554,Pittsburgh,10,Whitman,8,2018-05-25,Women,1,2018
D-I College Championships,College,190555,North Carolina,13,Florida,7,2018-05-25,Women,1,2018
D-I College Championships,College,190556,Whitman,11,Florida,14,2018-05-26,Women,1,2018
D-I College Championships,College,190557,North Carolina,11,Pittsburgh,13,2018-05-26,Women,1,2018
D-I College Championships,College,190558,British Columbia,15,Florida,7,2018-05-26,Women,1,2018
D-I College Championships,College,190559,North Carolina,15,Whitman,10,2018-05-26,Women,1,2018
D-I College Championships,College,190560,British Columbia,15,Pittsburgh,16,2018-05-26,Women,1,2018
D-I College Championships,College,190561,Oregon,11,North Carolina State,15,2018-05-25,Women,1,2018
D-I College Championships,College,190562,Ohio State,15,Cornell,4,2018-05-25,Women,1,2018
D-I College Championships,College,190563,Stanford,15,Cornell,3,2018-05-25,Women,1,2018
D-I College Championships,College,190564,Ohio State,13,North Carolina State,9,2018-05-25,Women,1,2018
D-I College Championships,College,190565,Stanford,14,Oregon,11,2018-05-25,Women,1,2018
D-I College Championships,College,190566,Stanford,12,Ohio State,7,2018-05-26,Women,1,2018
D-I College Championships,College,190567,North Carolina State,14,Cornell,9,2018-05-26,Women,1,2018
D-I College Championships,College,190568,Oregon,15,Cornell,2,2018-05-26,Women,1,2018
D-I College Championships,College,190569,Stanford,15,North Carolina State,8,2018-05-26,Women,1,2018
D-I College Championships,College,190570,Oregon,15,Ohio State,9,2018-05-26,Women,1,2018
D-I College Championships,College,190581,Dartmouth,15,Colorado,9,2018-05-28,Women,1,2018
D-I College Championships,College,190579,Dartmouth,12,Stanford,8,2018-05-27,Women,1,2018
D-I College Championships,College,190580,Pittsburgh,12,Colorado,13,2018-05-27,Women,1,2018
D-I College Championships,College,190575,British Columbia,9,Dartmouth,15,2018-05-27,Women,1,2018
D-I College Championships,College,190576,North Carolina,8,Stanford,15,2018-05-27,Women,1,2018
D-I College Championships,College,190577,Oregon,11,Pittsburgh,15,2018-05-27,Women,1,2018
D-I College Championships,College,190578,Colorado,12,Texas,8,2018-05-27,Women,1,2018
D-I College Championships,College,190571,California-San Diego,11,British Columbia,15,2018-05-26,Women,1,2018
D-I College Championships,College,190572,North Carolina,15,Michigan,10,2018-05-26,Women,1,2018
D-I College Championships,College,190573,Oregon,15,Tufts,10,2018-05-26,Women,1,2018
D-I College Championships,College,190574,Colorado,15,North Carolina State,9,2018-05-26,Women,1,2018
D-I College Championships,College,190582,West Chester,15,Cornell,2,2018-05-27,Women,1,2018
D-I College Championships,College,190583,Western Washington,15,Florida,5,2018-05-26,Women,1,2018
D-I College Championships,College,190584,Ohio State,15,California-Santa Barbara,7,2018-05-26,Women,1,2018
D-I College Championships,College,190585,Whitman,8,Carleton College,15,2018-05-27,Women,1,2018
D-III College Championships,College,189628,Bryant,15,Georgia College,7,2018-05-19,Men,1,2018
D-III College Championships,College,189629,Richmond,11,Oberlin,13,2018-05-19,Men,1,2018
D-III College Championships,College,189630,Bryant,14,Oberlin,9,2018-05-19,Men,1,2018
D-III College Championships,College,189631,Richmond,10,Georgia College,14,2018-05-19,Men,1,2018
D-III College Championships,College,189632,Bryant,9,Richmond,15,2018-05-19,Men,1,2018
D-III College Championships,College,189633,Georgia College,14,Oberlin,9,2018-05-19,Men,1,2018
D-III College Championships,College,189634,Air Force,12,Bowdoin,11,2018-05-19,Men,1,2018
D-III College Championships,College,189635,Whitman,14,Rensselaer Polytech,13,2018-05-19,Men,1,2018
D-III College Championships,College,189636,Air Force,11,Rensselaer Polytech,7,2018-05-19,Men,1,2018
D-III College Championships,College,189637,Whitman,11,Bowdoin,15,2018-05-19,Men,1,2018
D-III College Championships,College,189638,Air Force,15,Whitman,7,2018-05-19,Men,1,2018
D-III College Championships,College,189639,Bowdoin,10,Rensselaer Polytech,9,2018-05-19,Men,1,2018
D-III College Championships,College,189640,Middlebury,15,North Park,7,2018-05-19,Men,1,2018
D-III College Championships,College,189641,John Brown,10,Puget Sound,11,2018-05-19,Men,1,2018
D-III College Championships,College,189642,Middlebury,15,Puget Sound,4,2018-05-19,Men,1,2018
