event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
USA Ultimate National Championships,Club,86405,Revolver,15,Patrol,8,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86406,Chicago Machine,13,Madison Club,14,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86407,Revolver,15,Madison Club,10,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86408,Chicago Machine,14,Patrol,15,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86409,Revolver,15,Chicago Machine,8,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86410,Patrol,15,Madison Club,12,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86411,Doublewide,15,Ring of Fire,10,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86412,Rhino,14,Sub Zero,15,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86413,Doublewide,15,Sub Zero,9,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86414,Rhino,13,Ring of Fire,15,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86415,Doublewide,14,Rhino,15,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86416,Ring of Fire,12,Sub Zero,15,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86417,Sockeye,13,Florida United,7,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86418,Truck Stop,14,GOAT,13,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86419,Sockeye,15,GOAT,9,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86420,Truck Stop,10,Florida United,14,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86421,Sockeye,13,Truck Stop,12,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86422,Florida United,15,GOAT,14,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86423,HIGH FIVE,15,Ironside,10,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86424,Johnny Bravo,15,Prairie Fire,7,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86425,HIGH FIVE,15,Prairie Fire,12,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86426,Johnny Bravo,14,Ironside,12,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86427,HIGH FIVE,9,Johnny Bravo,15,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86428,Ironside,15,Prairie Fire,9,2015-10-01,Men,1,2015
USA Ultimate National Championships,Club,86443,Revolver,15,Sockeye,9,2015-10-04,Men,1,2015
USA Ultimate National Championships,Club,86441,Revolver,15,Chicago Machine,11,2015-10-03,Men,1,2015
USA Ultimate National Championships,Club,86442,Ironside,10,Sockeye,13,2015-10-03,Men,1,2015
USA Ultimate National Championships,Club,86437,Revolver,13,Truck Stop,12,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86438,Chicago Machine,15,Ring of Fire,14,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86439,Doublewide,8,Ironside,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86440,Sockeye,16,Madison Club,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86429,Revolver,15,Prairie Fire,8,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86430,Sub Zero,12,Truck Stop,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86431,Johnny Bravo,13,Chicago Machine,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86432,Florida United,13,Ring of Fire,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86433,Doublewide,14,GOAT,9,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86434,Patrol,11,Ironside,14,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86435,Sockeye,15,Rhino,9,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86436,HIGH FIVE,12,Madison Club,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86446,Doublewide,11,Ring of Fire,7,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86444,Doublewide,15,Madison Club,6,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86445,Ring of Fire,14,Truck Stop,12,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86450,Madison Club,11,Prairie Fire,15,2015-10-03,Men,1,2015
USA Ultimate National Championships,Club,86449,Prairie Fire,15,Patrol,10,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86447,HIGH FIVE,12,Prairie Fire,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86448,Patrol,15,Florida United,10,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86454,Sub Zero,10,Truck Stop,12,2015-10-03,Men,1,2015
USA Ultimate National Championships,Club,86453,Sub Zero,16,GOAT,15,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86451,Rhino,14,Sub Zero,16,2015-10-02,Men,1,2015
USA Ultimate National Championships,Club,86452,GOAT,15,Johnny Bravo,11,2015-10-02,Men,1,2015
