event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
D-I College Championships,College,150458,Massachusetts,14,Washington,12,2017-05-26,Men,1,2017
D-I College Championships,College,150459,Stanford,15,Colorado State,11,2017-05-26,Men,1,2017
D-I College Championships,College,150460,Washington,15,Colorado State,10,2017-05-26,Men,1,2017
D-I College Championships,College,150461,Stanford,12,Cal Poly-SLO,10,2017-05-26,Men,1,2017
D-I College Championships,College,150462,Massachusetts,15,Cal Poly-SLO,12,2017-05-26,Men,1,2017
D-I College Championships,College,150463,Massachusetts,14,Stanford,11,2017-05-27,Men,1,2017
D-I College Championships,College,150464,Washington,14,Cal Poly-SLO,16,2017-05-27,Men,1,2017
D-I College Championships,College,150465,Massachusetts,15,Colorado State,10,2017-05-27,Men,1,2017
D-I College Championships,College,150466,Washington,15,Stanford,12,2017-05-27,Men,1,2017
D-I College Championships,College,150467,Colorado State,11,Cal Poly-SLO,15,2017-05-27,Men,1,2017
D-I College Championships,College,150468,Pittsburgh,15,Connecticut,5,2017-05-26,Men,1,2017
D-I College Championships,College,150469,Michigan,15,Texas A&M,7,2017-05-26,Men,1,2017
D-I College Championships,College,150470,Pittsburgh,15,Michigan,8,2017-05-26,Men,1,2017
D-I College Championships,College,150471,North Carolina-Wilmington,15,Texas A&M,8,2017-05-26,Men,1,2017
D-I College Championships,College,150472,North Carolina-Wilmington,15,Connecticut,12,2017-05-26,Men,1,2017
D-I College Championships,College,150473,Pittsburgh,13,North Carolina-Wilmington,15,2017-05-27,Men,1,2017
D-I College Championships,College,150474,Michigan,14,Connecticut,13,2017-05-27,Men,1,2017
D-I College Championships,College,150475,Texas A&M,14,Connecticut,11,2017-05-27,Men,1,2017
D-I College Championships,College,150476,Michigan,7,North Carolina-Wilmington,15,2017-05-27,Men,1,2017
D-I College Championships,College,150477,Pittsburgh,13,Texas A&M,10,2017-05-27,Men,1,2017
D-I College Championships,College,150478,Carleton College,15,Auburn,8,2017-05-26,Men,1,2017
D-I College Championships,College,150479,Colorado,15,Oregon State,12,2017-05-26,Men,1,2017
D-I College Championships,College,150480,North Carolina,15,Carleton College,10,2017-05-26,Men,1,2017
D-I College Championships,College,150481,Colorado,13,Auburn,14,2017-05-26,Men,1,2017
D-I College Championships,College,150482,North Carolina,14,Oregon State,6,2017-05-26,Men,1,2017
D-I College Championships,College,150483,Auburn,15,Oregon State,11,2017-05-27,Men,1,2017
