event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
D-I College Championships,College,29038,Colorado,15,Harvard,11,2014-05-23,Men,1,2014
D-I College Championships,College,29039,Wisconsin,15,California-San Diego,7,2014-05-23,Men,1,2014
D-I College Championships,College,29040,Harvard,15,California-San Diego,14,2014-05-23,Men,1,2014
D-I College Championships,College,29041,Wisconsin,15,Eastern Michigan,11,2014-05-23,Men,1,2014
D-I College Championships,College,29042,Colorado,15,Eastern Michigan,9,2014-05-23,Men,1,2014
D-I College Championships,College,29043,Colorado,14,Wisconsin,12,2014-05-24,Men,1,2014
D-I College Championships,College,29044,Harvard,15,Eastern Michigan,12,2014-05-24,Men,1,2014
D-I College Championships,College,29045,Colorado,15,California-San Diego,16,2014-05-24,Men,1,2014
D-I College Championships,College,29046,Harvard,14,Wisconsin,13,2014-05-24,Men,1,2014
D-I College Championships,College,29047,California-San Diego,15,Eastern Michigan,12,2014-05-24,Men,1,2014
D-I College Championships,College,29048,Pittsburgh,15,Dartmouth,8,2014-05-23,Men,1,2014
D-I College Championships,College,29051,Texas A&M,11,Central Florida,15,2014-05-23,Men,1,2014
D-I College Championships,College,29049,Michigan,14,Central Florida,13,2014-05-23,Men,1,2014
D-I College Championships,College,29056,Pittsburgh,15,Texas A&M,9,2014-05-23,Men,1,2014
D-I College Championships,College,29057,Michigan,11,Dartmouth,13,2014-05-23,Men,1,2014
D-I College Championships,College,29050,Pittsburgh,15,Michigan,8,2014-05-24,Men,1,2014
D-I College Championships,College,29055,Texas A&M,15,Dartmouth,12,2014-05-24,Men,1,2014
D-I College Championships,College,29052,Central Florida,15,Dartmouth,11,2014-05-24,Men,1,2014
D-I College Championships,College,29053,Texas A&M,12,Michigan,15,2014-05-24,Men,1,2014
D-I College Championships,College,29054,Pittsburgh,15,Central Florida,12,2014-05-24,Men,1,2014
D-I College Championships,College,29061,North Carolina,15,Tufts,14,2014-05-23,Men,1,2014
D-I College Championships,College,29067,Florida State,14,Massachusetts,13,2014-05-23,Men,1,2014
D-I College Championships,College,29059,Florida State,11,Tufts,14,2014-05-23,Men,1,2014
D-I College Championships,College,29066,Texas,12,North Carolina,14,2014-05-23,Men,1,2014
D-I College Championships,College,29058,Texas,16,Massachusetts,14,2014-05-23,Men,1,2014
D-I College Championships,College,29062,Tufts,14,Massachusetts,13,2014-05-24,Men,1,2014
D-I College Championships,College,29060,Texas,15,Florida State,10,2014-05-24,Men,1,2014
D-I College Championships,College,29065,North Carolina,15,Massachusetts,6,2014-05-24,Men,1,2014
D-I College Championships,College,29063,North Carolina,13,Florida State,15,2014-05-24,Men,1,2014
D-I College Championships,College,29064,Texas,15,Tufts,11,2014-05-24,Men,1,2014
D-I College Championships,College,29071,North Carolina-Wilmington,13,Carleton College,15,2014-05-23,Men,1,2014
D-I College Championships,College,29077,Florida,15,Rutgers,10,2014-05-23,Men,1,2014
