event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
D-I College Championships,College,227535,North Carolina,15,Ohio State,8,2019-05-24,Men,1,2019
D-I College Championships,College,227536,Georgia,13,Minnesota,9,2019-05-24,Men,1,2019
D-I College Championships,College,227537,Ohio State,8,Minnesota,10,2019-05-24,Men,1,2019
D-I College Championships,College,227538,Georgia,10,California,8,2019-05-24,Men,1,2019
D-I College Championships,College,227539,North Carolina,15,California,4,2019-05-24,Men,1,2019
D-I College Championships,College,227540,North Carolina,15,Georgia,6,2019-05-25,Men,1,2019
D-I College Championships,College,227541,Ohio State,14,California,8,2019-05-25,Men,1,2019
D-I College Championships,College,227542,North Carolina,15,Minnesota,9,2019-05-25,Men,1,2019
D-I College Championships,College,227543,Ohio State,14,Georgia,8,2019-05-25,Men,1,2019
D-I College Championships,College,227544,Minnesota,12,California,8,2019-05-25,Men,1,2019
D-I College Championships,College,227545,Brown,15,Iowa State,11,2019-05-24,Men,1,2019
D-I College Championships,College,227546,North Carolina State,14,Michigan,15,2019-05-24,Men,1,2019
D-I College Championships,College,227547,Brown,15,North Carolina State,8,2019-05-24,Men,1,2019
D-I College Championships,College,227548,Texas,15,Michigan,7,2019-05-24,Men,1,2019
D-I College Championships,College,227549,Texas,15,Iowa State,7,2019-05-24,Men,1,2019
D-I College Championships,College,227550,Brown,11,Texas,7,2019-05-25,Men,1,2019
D-I College Championships,College,227551,North Carolina State,15,Iowa State,13,2019-05-25,Men,1,2019
D-I College Championships,College,227552,Michigan,15,Iowa State,14,2019-05-25,Men,1,2019
D-I College Championships,College,227553,North Carolina State,13,Texas,14,2019-05-25,Men,1,2019
D-I College Championships,College,227554,Brown,15,Michigan,7,2019-05-25,Men,1,2019
D-I College Championships,College,227555,Oregon,15,Tufts,8,2019-05-24,Men,1,2019
D-I College Championships,College,227556,Wisconsin,15,Victoria,6,2019-05-24,Men,1,2019
D-I College Championships,College,227557,Pittsburgh,14,Oregon,12,2019-05-24,Men,1,2019
D-I College Championships,College,227558,Wisconsin,9,Tufts,8,2019-05-24,Men,1,2019
D-I College Championships,College,227559,Pittsburgh,9,Victoria,14,2019-05-24,Men,1,2019
D-I College Championships,College,227560,Tufts,10,Victoria,13,2019-05-25,Men,1,2019
D-I College Championships,College,227561,Pittsburgh,15,Wisconsin,13,2019-05-25,Men,1,2019
D-I College Championships,College,227562,Oregon,15,Victoria,10,2019-05-25,Men,1,2019
D-I College Championships,College,227563,Pittsburgh,12,Tufts,5,2019-05-25,Men,1,2019
D-I College Championships,College,227564,Oregon,12,Wisconsin,9,2019-05-25,Men,1,2019
D-I College Championships,College,227565,Colorado,15,Northeastern,11,2019-05-24,Men,1,2019
D-I College Championships,College,227566,Washington,15,Rutgers,10,2019-05-24,Men,1,2019
D-I College Championships,College,227567,Cal Poly-SLO,15,Rutgers,4,2019-05-24,Men,1,2019
D-I College Championships,College,227568,Washington,14,Northeastern,11,2019-05-24,Men,1,2019
D-I College Championships,College,227569,Cal Poly-SLO,13,Colorado,10,2019-05-24,Men,1,2019
D-I College Championships,College,227570,Cal Poly-SLO,15,Washington,10,2019-05-25,Men,1,2019
D-I College Championships,College,227571,Northeastern,15,Rutgers,7,2019-05-25,Men,1,2019
D-I College Championships,College,227572,Colorado,14,Rutgers,8,2019-05-25,Men,1,2019
D-I College Championships,College,227573,Cal Poly-SLO,8,Northeastern,14,2019-05-25,Men,1,2019
D-I College Championships,College,227574,Colorado,14,Washington,13,2019-05-25,Men,1,2019
D-I College Championships,College,227585,North Carolina,8,Brown,14,2019-05-27,Men,1,2019
D-I College Championships,College,227583,North Carolina,15,Cal Poly-SLO,10,2019-05-26,Men,1,2019
D-I College Championships,College,227584,Colorado,10,Brown,15,2019-05-26,Men,1,2019
D-I College Championships,College,227579,Wisconsin,8,North Carolina,15,2019-05-26,Men,1,2019
D-I College Championships,College,227580,Michigan,10,Cal Poly-SLO,15,2019-05-26,Men,1,2019
D-I College Championships,College,227581,Colorado,15,Pittsburgh,13,2019-05-26,Men,1,2019
D-I College Championships,College,227582,Ohio State,10,Brown,15,2019-05-26,Men,1,2019
D-I College Championships,College,227575,Texas,11,Wisconsin,13,2019-05-25,Men,1,2019
