event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
D-I College Championships,College,110924,Massachusetts,11,Georgia,15,2016-05-27,Men,1,2016
D-I College Championships,College,110925,Texas A&M,15,Washington,13,2016-05-27,Men,1,2016
D-I College Championships,College,110926,Georgia,14,Washington,11,2016-05-27,Men,1,2016
D-I College Championships,College,110927,Texas A&M,11,Cal Poly-SLO,13,2016-05-27,Men,1,2016
D-I College Championships,College,110928,Massachusetts,15,Cal Poly-SLO,8,2016-05-27,Men,1,2016
D-I College Championships,College,110929,Massachusetts,15,Texas A&M,9,2016-05-28,Men,1,2016
D-I College Championships,College,110930,Georgia,15,Cal Poly-SLO,13,2016-05-28,Men,1,2016
D-I College Championships,College,110931,Massachusetts,14,Washington,13,2016-05-28,Men,1,2016
D-I College Championships,College,110932,Georgia,2,Texas A&M,15,2016-05-28,Men,1,2016
D-I College Championships,College,110933,Washington,15,Cal Poly-SLO,14,2016-05-28,Men,1,2016
D-I College Championships,College,110934,Oregon,14,Case Western Reserve,12,2016-05-27,Men,1,2016
D-I College Championships,College,110935,North Carolina,16,Florida State,14,2016-05-27,Men,1,2016
D-I College Championships,College,110936,Oregon,14,North Carolina,12,2016-05-27,Men,1,2016
D-I College Championships,College,110937,Colorado,15,Florida State,12,2016-05-27,Men,1,2016
D-I College Championships,College,110938,Colorado,15,Case Western Reserve,11,2016-05-27,Men,1,2016
D-I College Championships,College,110939,Oregon,9,Colorado,15,2016-05-28,Men,1,2016
D-I College Championships,College,110940,North Carolina,16,Case Western Reserve,15,2016-05-28,Men,1,2016
D-I College Championships,College,110941,Florida State,15,Case Western Reserve,11,2016-05-28,Men,1,2016
D-I College Championships,College,110942,North Carolina,12,Colorado,15,2016-05-28,Men,1,2016
D-I College Championships,College,110943,Oregon,15,Florida State,11,2016-05-28,Men,1,2016
D-I College Championships,College,110944,Wisconsin,15,Michigan,9,2016-05-27,Men,1,2016
D-I College Championships,College,110945,Harvard,15,Connecticut,10,2016-05-27,Men,1,2016
D-I College Championships,College,110946,North Carolina-Wilmington,11,Wisconsin,15,2016-05-27,Men,1,2016
D-I College Championships,College,110947,Harvard,13,Michigan,15,2016-05-27,Men,1,2016
D-I College Championships,College,110948,North Carolina-Wilmington,12,Connecticut,15,2016-05-27,Men,1,2016
D-I College Championships,College,110949,Michigan,12,Connecticut,9,2016-05-28,Men,1,2016
D-I College Championships,College,110950,North Carolina-Wilmington,12,Harvard,15,2016-05-28,Men,1,2016
D-I College Championships,College,110951,Wisconsin,15,Connecticut,9,2016-05-28,Men,1,2016
D-I College Championships,College,110952,North Carolina-Wilmington,14,Michigan,12,2016-05-28,Men,1,2016
D-I College Championships,College,110953,Wisconsin,15,Harvard,6,2016-05-28,Men,1,2016
D-I College Championships,College,110954,Pittsburgh,13,Auburn,15,2016-05-27,Men,1,2016
D-I College Championships,College,110955,Carleton College,15,Utah,6,2016-05-27,Men,1,2016
D-I College Championships,College,110956,Minnesota,15,Utah,8,2016-05-27,Men,1,2016
D-I College Championships,College,110957,Carleton College,16,Auburn,15,2016-05-27,Men,1,2016
D-I College Championships,College,110958,Minnesota,13,Pittsburgh,15,2016-05-27,Men,1,2016
D-I College Championships,College,110959,Minnesota,15,Carleton College,11,2016-05-28,Men,1,2016
D-I College Championships,College,110960,Auburn,15,Utah,12,2016-05-28,Men,1,2016
D-I College Championships,College,110961,Pittsburgh,15,Utah,7,2016-05-28,Men,1,2016
D-I College Championships,College,110962,Minnesota,13,Auburn,14,2016-05-28,Men,1,2016
D-I College Championships,College,110963,Pittsburgh,15,Carleton College,10,2016-05-28,Men,1,2016
D-I College Championships,College,110974,Harvard,12,Minnesota,15,2016-05-30,Men,1,2016
D-I College Championships,College,110972,Harvard,13,North Carolina,11,2016-05-29,Men,1,2016
D-I College Championships,College,110973,Pittsburgh,13,Minnesota,14,2016-05-29,Men,1,2016
D-I College Championships,College,110968,Harvard,14,Georgia,13,2016-05-29,Men,1,2016
D-I College Championships,College,110969,North Carolina,15,Auburn,13,2016-05-29,Men,1,2016
D-I College Championships,College,110970,Pittsburgh,14,Wisconsin,12,2016-05-29,Men,1,2016
D-I College Championships,College,110971,Minnesota,15,Colorado,11,2016-05-29,Men,1,2016
D-I College Championships,College,110964,Oregon,13,Harvard,15,2016-05-28,Men,1,2016
D-I College Championships,College,110965,Michigan,12,North Carolina,15,2016-05-28,Men,1,2016
D-I College Championships,College,110966,Pittsburgh,15,Texas A&M,9,2016-05-28,Men,1,2016
D-I College Championships,College,110967,Massachusetts,10,Minnesota,14,2016-05-28,Men,1,2016
D-I College Championships,College,110975,Washington,9,Utah,15,2016-05-29,Men,1,2016
D-I College Championships,College,110976,Case Western Reserve,14,Connecticut,16,2016-05-28,Men,1,2016
D-I College Championships,College,110977,Carleton College,15,Cal Poly-SLO,8,2016-05-28,Men,1,2016
D-I College Championships,College,110978,North Carolina-Wilmington,13,Florida State,6,2016-05-29,Men,1,2016
D-I College Championships,College,110979,Oregon,15,Colorado,11,2016-05-27,Women,1,2016
D-I College Championships,College,110980,California,12,Virginia,14,2016-05-27,Women,1,2016
D-I College Championships,College,110981,Colorado,8,Virginia,14,2016-05-27,Women,1,2016
D-I College Championships,College,110982,California,15,Colorado College,10,2016-05-27,Women,1,2016
D-I College Championships,College,110983,Oregon,15,Colorado College,8,2016-05-27,Women,1,2016
D-I College Championships,College,110984,Oregon,15,California,10,2016-05-28,Women,1,2016
D-I College Championships,College,110985,Colorado,14,Colorado College,13,2016-05-28,Women,1,2016
D-I College Championships,College,110986,Oregon,14,Virginia,16,2016-05-28,Women,1,2016
D-I College Championships,College,110987,Colorado,15,California,12,2016-05-28,Women,1,2016
D-I College Championships,College,110988,Virginia,13,Colorado College,15,2016-05-28,Women,1,2016
D-I College Championships,College,110989,British Columbia,13,Dartmouth,14,2016-05-27,Women,1,2016
D-I College Championships,College,110990,UCLA,11,Western Washington,15,2016-05-27,Women,1,2016
D-I College Championships,College,110991,British Columbia,11,UCLA,14,2016-05-27,Women,1,2016
D-I College Championships,College,110992,Pittsburgh,15,Western Washington,10,2016-05-27,Women,1,2016
D-I College Championships,College,110993,Pittsburgh,3,Dartmouth,15,2016-05-27,Women,1,2016
D-I College Championships,College,110994,British Columbia,15,Pittsburgh,9,2016-05-28,Women,1,2016
D-I College Championships,College,110995,UCLA,13,Dartmouth,11,2016-05-28,Women,1,2016
D-I College Championships,College,110996,Dartmouth,15,Western Washington,9,2016-05-27,Women,1,2016
D-I College Championships,College,110997,UCLA,12,Pittsburgh,7,2016-05-28,Women,1,2016
D-I College Championships,College,110998,British Columbia,15,Western Washington,10,2016-05-27,Women,1,2016
D-I College Championships,College,110999,Washington,15,Ohio State,7,2016-05-27,Women,1,2016
D-I College Championships,College,111000,Michigan,15,Southern California,9,2016-05-27,Women,1,2016
D-I College Championships,College,111001,Stanford,14,Washington,10,2016-05-27,Women,1,2016
D-I College Championships,College,111002,Michigan,14,Ohio State,10,2016-05-27,Women,1,2016
D-I College Championships,College,111003,Stanford,15,Southern California,4,2016-05-27,Women,1,2016
D-I College Championships,College,111004,Ohio State,15,Southern California,8,2016-05-28,Women,1,2016
D-I College Championships,College,111005,Stanford,15,Michigan,6,2016-05-28,Women,1,2016
D-I College Championships,College,111006,Washington,15,Southern California,4,2016-05-28,Women,1,2016
D-I College Championships,College,111007,Stanford,15,Ohio State,11,2016-05-28,Women,1,2016
D-I College Championships,College,111008,Washington,7,Michigan,15,2016-05-28,Women,1,2016
D-I College Championships,College,111009,Whitman,15,Wisconsin,10,2016-05-27,Women,1,2016
D-I College Championships,College,111010,Texas,15,Ottawa,12,2016-05-27,Women,1,2016
D-I College Championships,College,111011,Central Florida,15,Ottawa,2,2016-05-27,Women,1,2016
D-I College Championships,College,111012,Texas,15,Wisconsin,14,2016-05-27,Women,1,2016
D-I College Championships,College,111013,Central Florida,10,Whitman,11,2016-05-27,Women,1,2016
D-I College Championships,College,111014,Central Florida,9,Texas,13,2016-05-28,Women,1,2016
D-I College Championships,College,111015,Wisconsin,14,Ottawa,10,2016-05-28,Women,1,2016
D-I College Championships,College,111016,Whitman,15,Ottawa,9,2016-05-28,Women,1,2016
D-I College Championships,College,111017,Central Florida,11,Wisconsin,12,2016-05-28,Women,1,2016
D-I College Championships,College,111018,Whitman,15,Texas,6,2016-05-28,Women,1,2016
D-I College Championships,College,111029,Whitman,10,Stanford,12,2016-05-30,Women,1,2016
D-I College Championships,College,111027,Virginia,9,Whitman,15,2016-05-29,Women,1,2016
D-I College Championships,College,111028,Stanford,15,Oregon,13,2016-05-29,Women,1,2016
D-I College Championships,College,111023,Dartmouth,13,Virginia,15,2016-05-29,Women,1,2016
D-I College Championships,College,111024,British Columbia,9,Whitman,15,2016-05-29,Women,1,2016
D-I College Championships,College,111025,Colorado,5,Stanford,15,2016-05-29,Women,1,2016
D-I College Championships,College,111026,Oregon,15,UCLA,8,2016-05-29,Women,1,2016
D-I College Championships,College,111019,Dartmouth,15,Washington,11,2016-05-28,Women,1,2016
D-I College Championships,College,111020,Michigan,9,British Columbia,15,2016-05-28,Women,1,2016
D-I College Championships,College,111021,Texas,9,Colorado,15,2016-05-28,Women,1,2016
D-I College Championships,College,111022,Oregon,15,Wisconsin,4,2016-05-28,Women,1,2016
D-I College Championships,College,111030,California,15,Ottawa,8,2016-05-29,Women,1,2016
