event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
USA Ultimate National Championships,Club,165889,Revolver,15,Doublewide,10,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165890,HIGH FIVE,15,Sub Zero,10,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165891,Revolver,15,Sub Zero,8,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165892,HIGH FIVE,12,Doublewide,14,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165893,Revolver,15,HIGH FIVE,12,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165894,Doublewide,15,Sub Zero,8,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165895,Sockeye,8,Florida United,14,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165896,Chicago Machine,11,PoNY,14,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165897,Sockeye,11,PoNY,12,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165898,Chicago Machine,11,Florida United,14,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165899,Sockeye,10,Chicago Machine,13,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165900,Florida United,14,PoNY,12,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165901,Ring of Fire,15,GOAT,12,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165902,Ironside,13,Patrol,12,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165903,Ring of Fire,14,Patrol,7,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165904,Ironside,15,GOAT,9,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165905,Ring of Fire,11,Ironside,13,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165906,GOAT,12,Patrol,9,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165907,Truck Stop,12,Dig,14,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165908,Johnny Bravo,13,SoCal Condors,11,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165909,Truck Stop,14,SoCal Condors,12,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165910,Johnny Bravo,14,Dig,13,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165911,Truck Stop,14,Johnny Bravo,11,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165912,Dig,12,SoCal Condors,10,2017-10-19,Men,1,2017
USA Ultimate National Championships,Club,165941,Sockeye,14,SoCal Condors,13,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165942,Sub Zero,15,Patrol,10,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165923,Revolver,15,Doublewide,7,2017-10-22,Men,1,2017
USA Ultimate National Championships,Club,165921,Revolver,13,Ring of Fire,10,2017-10-21,Men,1,2017
USA Ultimate National Championships,Club,165922,Truck Stop,8,Doublewide,13,2017-10-21,Men,1,2017
USA Ultimate National Championships,Club,165917,Revolver,15,PoNY,4,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165918,Ring of Fire,11,Dig,9,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165919,Ironside,10,Truck Stop,14,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165920,Doublewide,13,Florida United,11,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165913,PoNY,13,GOAT,12,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165914,Chicago Machine,7,Ring of Fire,15,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165915,Truck Stop,14,HIGH FIVE,10,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165916,Johnny Bravo,9,Doublewide,15,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165924,Ring of Fire,14,Truck Stop,11,2017-10-22,Men,1,2017
USA Ultimate National Championships,Club,165927,Ironside,15,Dig,12,2017-10-21,Men,1,2017
USA Ultimate National Championships,Club,165925,Ironside,15,PoNY,14,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165926,Florida United,6,Dig,15,2017-10-20,Men,1,2017
USA Ultimate National Championships,Club,165931,PoNY,13,Sub Zero,10,2017-10-21,Men,1,2017
USA Ultimate National Championships,Club,165930,Sub Zero,15,Florida United,7,2017-10-21,Men,1,2017
