event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
USA Ultimate National Championships,Club,125411,Ironside,14,Prairie Fire,12,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125412,PoNY,13,Ring of Fire,12,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125413,Ironside,14,Ring of Fire,7,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125414,PoNY,15,Prairie Fire,12,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125415,Ironside,14,PoNY,10,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125416,Prairie Fire,10,Ring of Fire,13,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125417,Revolver,15,Patrol,8,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125418,Sockeye,15,Doublewide,7,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125419,Revolver,15,Doublewide,2,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125420,Sockeye,15,Patrol,7,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125421,Revolver,16,Sockeye,15,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125422,Patrol,13,Doublewide,15,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125423,Truck Stop,14,HIGH FIVE,12,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125424,Madison Club,15,Dig,10,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125425,Truck Stop,12,Dig,6,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125426,Madison Club,10,HIGH FIVE,8,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125427,Truck Stop,12,Madison Club,11,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125428,HIGH FIVE,7,Dig,11,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125429,Johnny Bravo,15,H.I.P,13,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125430,Chicago Machine,14,Furious George,10,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125431,Johnny Bravo,15,Furious George,10,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125432,Chicago Machine,15,H.I.P,13,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125433,Johnny Bravo,15,Chicago Machine,12,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125434,H.I.P,10,Furious George,15,2016-09-29,Men,1,2016
USA Ultimate National Championships,Club,125532,H.I.P,15,Patrol,13,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125533,HIGH FIVE,11,Prairie Fire,15,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125445,Ironside,14,Revolver,13,2016-10-02,Men,1,2016
USA Ultimate National Championships,Club,125443,Ironside,15,Johnny Bravo,11,2016-10-01,Men,1,2016
USA Ultimate National Championships,Club,125444,Ring of Fire,12,Revolver,13,2016-10-01,Men,1,2016
USA Ultimate National Championships,Club,125439,Ironside,13,Sockeye,8,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125440,Doublewide,12,Johnny Bravo,15,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125441,Truck Stop,8,Ring of Fire,13,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125442,Furious George,9,Revolver,15,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125435,Sockeye,14,Dig,13,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125436,Doublewide,15,Madison Club,10,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125437,Chicago Machine,11,Ring of Fire,15,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125438,Furious George,13,PoNY,9,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125446,Truck Stop,15,Furious George,11,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125447,Doublewide,11,Sockeye,12,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125452,Furious George,11,Patrol,15,2016-10-01,Men,1,2016
USA Ultimate National Championships,Club,125451,Patrol,14,H.I.P,11,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125449,Madison Club,12,Patrol,14,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125450,H.I.P,15,Dig,7,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125456,HIGH FIVE,14,Doublewide,10,2016-10-01,Men,1,2016
USA Ultimate National Championships,Club,125455,Prairie Fire,12,HIGH FIVE,15,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125453,PoNY,8,Prairie Fire,12,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125454,HIGH FIVE,15,Chicago Machine,13,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125457,H.I.P,11,Prairie Fire,15,2016-10-01,Men,1,2016
USA Ultimate National Championships,Club,125460,Madison Club,7,Chicago Machine,6,2016-10-01,Men,1,2016
USA Ultimate National Championships,Club,125458,Madison Club,14,Dig,10,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,125459,PoNY,11,Chicago Machine,15,2016-09-30,Men,1,2016
USA Ultimate National Championships,Club,124902,Seattle Riot,15,Iris,3,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124903,Nightlock,11,Heist,9,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124904,Seattle Riot,15,Heist,12,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124905,Nightlock,12,Iris,6,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124906,Seattle Riot,13,Nightlock,10,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124907,Iris,6,Heist,10,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124908,Brute Squad,14,Showdown,7,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124909,Wildfire,13,Rival,15,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124910,Brute Squad,15,Rival,5,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124911,Wildfire,12,Showdown,13,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124912,Brute Squad,15,Wildfire,3,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124913,Showdown,13,Rival,14,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124914,Molly Brown,12,Phoenix,9,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124915,Traffic,15,Green Means Go,9,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124916,Molly Brown,15,Green Means Go,7,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124917,Traffic,9,Phoenix,11,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124918,Molly Brown,15,Traffic,10,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124919,Phoenix,15,Green Means Go,10,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124920,Fury,15,Ozone,4,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124921,Scandal,13,Schwa,6,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124922,Fury,15,Schwa,4,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124923,Scandal,15,Ozone,7,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124924,Fury,14,Scandal,10,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,124925,Ozone,10,Schwa,11,2016-09-29,Women,1,2016
USA Ultimate National Championships,Club,125528,Wildfire,7,Green Means Go,11,2016-09-30,Women,1,2016
USA Ultimate National Championships,Club,125529,Ozone,10,Iris,9,2016-09-30,Women,1,2016
USA Ultimate National Championships,Club,124936,Seattle Riot,11,Brute Squad,12,2016-10-02,Women,1,2016
USA Ultimate National Championships,Club,124934,Seattle Riot,15,Fury,14,2016-10-01,Women,1,2016
