event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season
USA Ultimate D-I College Championships,College,71984,Pittsburgh,15,Georgia,13,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71985,Wisconsin,11,Texas,14,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71986,Georgia,10,Texas,15,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71987,Wisconsin,15,Auburn,9,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71988,Pittsburgh,15,Auburn,4,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71989,Pittsburgh,15,Wisconsin,12,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,71990,Georgia,15,Auburn,12,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,71991,Pittsburgh,12,Texas,13,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,71992,Georgia,15,Wisconsin,13,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,71993,Texas,11,Auburn,15,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,71994,Texas A&M,14,Cincinnati,12,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71995,Central Florida,15,Western Washington,11,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71996,Texas A&M,11,Central Florida,14,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71997,Minnesota,14,Western Washington,11,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71998,Minnesota,15,Cincinnati,12,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,71999,Texas A&M,13,Minnesota,15,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72000,Central Florida,15,Cincinnati,11,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72001,Western Washington,14,Cincinnati,13,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72002,Central Florida,15,Minnesota,10,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72003,Texas A&M,15,Western Washington,9,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72004,Florida State,15,Oregon,12,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72005,Maryland,13,Illinois,15,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72006,North Carolina,13,Florida State,10,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72007,Maryland,15,Oregon,11,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72008,North Carolina,15,Illinois,12,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72009,Oregon,15,Illinois,7,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72010,North Carolina,15,Maryland,11,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72011,Florida State,15,Illinois,11,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72012,North Carolina,5,Oregon,15,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72013,Florida State,15,Maryland,11,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72014,Colorado,14,California-Santa Barbara,12,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72015,Massachusetts,15,Cornell,7,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72016,North Carolina-Wilmington,14,Cornell,10,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72017,Massachusetts,15,California-Santa Barbara,7,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72018,North Carolina-Wilmington,13,Colorado,14,2015-05-22,Men,1,2015
USA Ultimate D-I College Championships,College,72019,North Carolina-Wilmington,9,Massachusetts,15,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72020,California-Santa Barbara,15,Cornell,10,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72021,Colorado,15,Cornell,11,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72022,North Carolina-Wilmington,14,California-Santa Barbara,13,2015-05-23,Men,1,2015
USA Ultimate D-I College Championships,College,72023,Colorado,12,Massachusetts,15,2015-05-23,Men,1,2015
