date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,Dartmouth,4.43,98.0,31,1,0.97,0.41,11
2020-09-03,2,Stanford,3.57,95.4,40,5,0.89,0.34,13
2020-09-03,3,California-San Diego,3.27,93.9,39,5,0.89,0.46,8
2020-09-03,4,North Carolina,3.06,92.6,31,4,0.89,0.33,14
2020-09-03,5,Pittsburgh,2.57,88.4,25,6,0.81,0.53,3
2020-09-03,6,British Columbia,2.51,87.8,22,8,0.73,1.09,1
2020-09-03,7,Oregon,2.51,87.8,34,10,0.77,0.45,9
2020-09-03,8,Tufts,2.33,85.7,28,7,0.8,0.52,4
2020-09-03,9,Colorado,2.3,85.4,31,8,0.79,0.44,10
2020-09-03,10,Ohio State,2.08,82.4,32,10,0.76,0.3,15
2020-09-03,11,Texas,2.04,81.8,27,10,0.73,0.51,5
2020-09-03,12,Carleton College,1.79,77.7,28,9,0.76,0.19,17
2020-09-03,13,North Carolina State,1.69,76.0,28,10,0.74,0.14,19
2020-09-03,14,West Chester,1.67,75.7,20,8,0.71,0.29,16
2020-09-03,15,Michigan,0.92,59.4,24,15,0.62,0.17,18
2020-09-03,16,Western Washington,0.8,56.5,20,18,0.53,0.67,2
2020-09-03,17,Brigham Young,0.79,56.2,15,4,0.79,-1.02,45
2020-09-03,18,Auburn,0.78,56.0,18,2,0.9,-1.88,79
2020-09-03,19,California-Santa Barbara,0.74,55.0,30,17,0.64,0.0,22
2020-09-03,20,Vermont,0.64,52.6,22,11,0.67,-0.28,25
2020-09-03,21,Williams,0.53,49.8,22,3,0.88,-1.73,72
2020-09-03,22,Bates,0.52,49.5,23,2,0.92,-2.09,99
2020-09-03,23,Florida,0.49,49.0,25,17,0.6,-0.17,24
2020-09-03,24,Northeastern,0.34,45.1,13,11,0.54,0.39,12
2020-09-03,25,Whitman,0.34,45.0,14,14,0.5,0.46,7
2020-09-03,26,Minnesota,0.33,44.8,19,8,0.7,-0.71,33
2020-09-03,27,Clemson,0.27,43.3,19,7,0.73,-1.08,47
2020-09-03,28,Notre Dame,0.14,40.3,20,7,0.74,-1.12,49
2020-09-03,29,Washington,0.1,39.2,16,18,0.47,0.49,6
2020-09-03,30,Georgia Tech,0.09,39.0,18,10,0.64,-0.73,35
2020-09-03,31,Connecticut,0.06,38.4,22,4,0.85,-1.83,77
2020-09-03,32,Washington University,0.05,38.1,22,10,0.69,-0.87,41
2020-09-03,33,California,-0.03,36.2,21,19,0.52,0.08,21
2020-09-03,34,Case Western Reserve,-0.04,36.1,20,8,0.71,-1.22,54
2020-09-03,35,Kennesaw State,-0.07,35.2,20,8,0.71,-1.46,59
2020-09-03,36,Wisconsin,-0.07,35.2,17,11,0.61,-0.61,30
2020-09-03,37,North Carolina-Wilmington,-0.1,34.7,27,16,0.63,-0.88,42
2020-09-03,38,Duke,-0.15,33.5,21,10,0.68,-1.12,48
2020-09-03,39,Georgia,-0.18,32.8,23,15,0.61,-0.78,37
2020-09-03,40,Cal Poly-SLO,-0.23,31.8,20,14,0.59,-0.62,31
2020-09-03,41,Harvard,-0.28,30.7,16,10,0.62,-0.86,39
2020-09-03,42,Ottawa,-0.33,29.6,15,3,0.83,-2.21,111
2020-09-03,43,Northwestern,-0.4,28.1,20,14,0.59,-0.73,34
2020-09-03,44,Oberlin,-0.47,26.8,24,4,0.86,-2.74,178
2020-09-03,45,South Carolina,-0.47,26.8,14,8,0.64,-1.17,51
2020-09-03,46,Penn State,-0.5,26.2,17,12,0.59,-0.86,40
2020-09-03,47,Mount Holyoke,-0.53,25.6,21,6,0.78,-2.09,97
2020-09-03,48,Colorado College,-0.54,25.3,18,17,0.51,-0.42,29
2020-09-03,49,Colorado State,-0.64,23.7,14,15,0.48,-0.35,27
2020-09-03,50,Lehigh,-0.65,23.4,27,7,0.79,-2.31,122
2020-09-03,51,UCLA,-0.65,23.4,16,23,0.41,0.12,20
2020-09-03,52,Columbia,-0.66,23.2,20,7,0.74,-1.83,78
2020-09-03,53,Florida State,-0.77,21.4,20,9,0.69,-1.9,82
2020-09-03,54,Southern California,-0.77,21.3,17,19,0.47,-0.31,26
2020-09-03,55,Virginia,-0.77,21.3,21,17,0.55,-0.91,43
2020-09-03,56,Wesleyan,-0.92,18.9,19,5,0.79,-2.46,144
2020-09-03,57,St Olaf,-0.92,18.9,17,7,0.71,-2.07,94
2020-09-03,58,Central Florida,-0.94,18.6,26,11,0.7,-2.09,98
2020-09-03,59,Kansas,-0.95,18.4,21,12,0.64,-1.63,65
2020-09-03,60,Massachusetts,-1.04,17.1,15,9,0.62,-1.51,62
2020-09-03,61,Rensselaer Polytech,-1.08,16.6,18,7,0.72,-2.26,119
2020-09-03,62,Victoria,-1.11,16.2,9,16,0.36,-0.07,23
2020-09-03,63,Cornell,-1.15,15.7,18,19,0.49,-0.85,38
2020-09-03,64,Pennsylvania,-1.15,15.6,13,12,0.52,-1.05,46
2020-09-03,65,James Madison,-1.2,15.0,21,11,0.66,-2.0,87
2020-09-03,66,Iowa State,-1.23,14.7,15,18,0.45,-0.7,32
2020-09-03,67,Denver,-1.29,13.9,22,10,0.69,-2.14,106
2020-09-03,68,Utah,-1.31,13.6,16,12,0.57,-1.61,64
2020-09-03,69,Ball State,-1.33,13.4,17,4,0.81,-3.04,215
2020-09-03,70,Puget Sound,-1.4,12.6,21,8,0.72,-2.47,147
2020-09-03,71,Arizona,-1.45,12.1,15,12,0.56,-1.6,63
2020-09-03,72,Towson,-1.46,11.9,17,9,0.65,-2.28,120
2020-09-03,73,Vanderbilt,-1.48,11.7,16,7,0.7,-2.64,167
2020-09-03,74,San Diego State University,-1.5,11.5,20,14,0.59,-1.68,70
2020-09-03,75,Emory,-1.51,11.4,16,8,0.67,-2.34,126
2020-09-03,76,Purdue,-1.51,11.4,15,10,0.6,-2.01,88
