date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-04,1,Revolver,3.67,91.8,31,2,0.94,0.83,17
2020-09-04,2,Bunka Shutter Buzz Bullets,3.09,86.2,7,0,1.0,1.14,7
2020-09-04,3,Sockeye,2.91,83.9,23,4,0.85,0.86,16
2020-09-04,4,HIGH FIVE,2.29,73.7,29,9,0.76,0.76,19
2020-09-04,5,Tejas,2.14,70.9,7,0,1.0,-0.45,46
2020-09-04,6,Doublewide,2.06,69.0,22,10,0.69,1.23,4
2020-09-04,7,Chicago Machine,2.06,69.0,20,10,0.67,1.25,3
2020-09-04,8,Patrol,1.88,65.0,30,9,0.77,0.33,25
2020-09-04,9,Florida United,1.86,64.7,21,8,0.72,0.53,23
2020-09-04,10,Condors,1.81,63.6,22,3,0.88,-0.31,39
2020-09-04,11,Madison Club,1.79,63.1,27,11,0.71,0.67,21
2020-09-04,12,Johnny Bravo,1.79,63.0,21,10,0.68,0.99,13
2020-09-04,13,Ironside,1.56,57.6,17,12,0.59,1.22,6
2020-09-04,14,H.I.P,1.54,57.1,35,5,0.88,-1.05,80
2020-09-04,15,Rhino,1.38,53.1,14,11,0.56,1.14,8
2020-09-04,16,Truck Stop,1.35,52.3,16,14,0.53,1.28,2
2020-09-04,17,Sub Zero,1.25,49.8,20,14,0.59,0.94,14
2020-09-04,18,Prairie Fire,1.14,47.1,18,16,0.53,1.09,9
2020-09-04,19,Streetgang,1.07,45.4,19,9,0.68,0.09,28
2020-09-04,20,Ring of Fire,1.05,44.9,12,12,0.5,1.22,5
2020-09-04,21,Inception,1.01,43.9,20,8,0.71,-0.16,32
2020-09-04,22,Brickyard,0.98,43.2,21,4,0.84,-0.96,73
2020-09-04,23,Freaks Uv Nature,0.91,41.4,27,9,0.75,-0.4,42
2020-09-04,24,Johnny Encore,0.9,41.3,6,0,1.0,-1.69,146
2020-09-04,25,Southern Hospitality,0.9,41.3,29,12,0.71,-0.2,33
2020-09-04,26,GOAT,0.89,40.9,10,14,0.42,1.45,1
2020-09-04,27,Turbine,0.86,40.3,27,7,0.79,-0.73,57
2020-09-04,28,PoNY,0.75,37.6,9,9,0.5,0.99,12
2020-09-04,29,Black Market,0.62,34.7,24,5,0.83,-1.47,123
2020-09-04,30,Smokestack,0.58,33.7,26,8,0.76,-1.08,84
2020-09-04,31,Ironmen,0.54,32.7,25,12,0.68,-0.45,45
2020-09-04,32,Cash Crop,0.49,31.8,23,11,0.68,-0.37,41
2020-09-04,33,Chain Lightning,0.48,31.5,11,12,0.48,0.72,20
2020-09-04,34,Medicine Men,0.44,30.6,17,8,0.68,-0.47,48
2020-09-04,35,Richmond Floodwall,0.38,29.4,17,6,0.74,-0.85,66
2020-09-04,36,Boost FC,0.33,28.5,23,14,0.62,-0.41,43
2020-09-04,37,Town Hall Stars,0.31,28.1,23,9,0.72,-0.89,68
2020-09-04,38,Colt,0.31,28.1,21,5,0.81,-1.24,95
2020-09-04,39,Garden State Ultimate,0.27,27.3,16,11,0.59,-0.16,31
2020-09-04,40,Plex,0.23,26.4,18,14,0.56,-0.12,30
2020-09-04,41,Temper,0.23,26.3,9,15,0.38,1.05,10
2020-09-04,42,Elements,0.21,25.9,5,2,0.71,-0.25,36
2020-09-04,43,Snorkel Kittens,0.18,25.4,6,0,1.0,-2.15,209
2020-09-04,44,Dark or Light,0.14,24.7,19,9,0.68,-0.7,53
2020-09-04,45,Garuda,0.14,24.7,13,12,0.52,0.18,27
2020-09-04,46,Bullet,0.14,24.6,14,8,0.64,-0.45,44
2020-09-04,47,8$OLD SOL,0.04,22.9,21,11,0.66,-0.71,55
2020-09-04,48,Galaxy Swag Universe,0.01,22.4,4,2,0.67,-0.2,34
2020-09-04,49,Phoenix,0.0,22.2,10,6,0.62,-0.48,49
2020-09-04,50,Big Wrench,-0.05,21.3,20,11,0.65,-0.82,62
2020-09-04,51,Anger Management,-0.1,20.5,9,2,0.82,-1.55,130
2020-09-04,52,Inside Rakete,-0.11,20.4,3,3,0.5,0.36,24
2020-09-04,53,Space City Ignite,-0.11,20.3,22,17,0.56,-0.47,47
2020-09-04,54,PowderHogs,-0.15,19.8,18,10,0.64,-0.99,75
2020-09-04,55,MKE,-0.17,19.4,23,11,0.68,-1.11,85
2020-09-04,56,Sprawl,-0.26,18.0,11,15,0.42,0.26,26
2020-09-04,57,Furious George,-0.31,17.3,7,12,0.37,0.59,22
2020-09-04,58,Mockingbird,-0.32,17.2,6,3,0.67,-0.86,67
2020-09-04,59,Renegade,-0.37,16.5,22,11,0.67,-1.2,90
2020-09-04,60,Genny Tall Boys,-0.38,16.3,11,7,0.61,-0.84,64
2020-09-04,61,Right coast,-0.42,15.8,5,6,0.45,-0.0,29
2020-09-04,62,NME,-0.43,15.6,15,10,0.6,-0.84,63
2020-09-04,63,Slag Dump,-0.52,14.5,16,8,0.67,-1.29,103
2020-09-04,64,Memphis Belle,-0.6,13.5,15,11,0.58,-0.97,74
2020-09-04,65,General Strike,-0.63,13.1,4,3,0.57,-0.68,52
2020-09-04,66,Larry,-0.67,12.7,4,1,0.8,-1.68,145
2020-09-04,67,Imperial,-0.68,12.6,11,14,0.44,-0.23,35
2020-09-04,68,Enigma,-0.68,12.6,16,7,0.7,-1.52,128
2020-09-04,69,Lost Boys,-0.71,12.3,12,10,0.55,-0.84,65
2020-09-04,70,Red Tide,-0.73,12.1,15,13,0.54,-0.9,70
2020-09-04,71,Mad Men,-0.74,12.0,18,8,0.69,-1.75,151
2020-09-04,72,Great Britain,-0.74,11.9,2,4,0.33,0.82,18
2020-09-04,73,CaSTLe,-0.76,11.8,16,11,0.59,-1.15,88
2020-09-04,74,Youngbloods,-0.77,11.7,15,9,0.62,-1.3,106
2020-09-04,75,LouFriendly,-0.77,11.6,5,2,0.71,-1.51,127
2020-09-04,76,Mephisto,-0.83,11.0,8,6,0.57,-1.07,82
2020-09-04,77,Sundowners,-0.86,10.8,14,9,0.61,-1.29,104
2020-09-04,78,SmokeStack,-0.86,10.7,20,13,0.61,-1.38,112
2020-09-04,79,John Doe,-0.92,10.2,15,14,0.52,-1.0,76
2020-09-04,80,CityWide Special,-0.93,10.1,13,10,0.57,-1.31,107
2020-09-04,81,Red Circus,-0.98,9.7,7,8,0.47,-0.71,56
2020-09-04,82,Beachfront Property,-1.0,9.5,18,16,0.53,-1.11,86
2020-09-04,83,Dreadnought,-1.01,9.4,15,11,0.58,-1.23,92
2020-09-04,84,Choice City Hops,-1.02,9.3,13,11,0.54,-1.21,91
2020-09-04,85,ATLiens,-1.02,9.3,3,3,0.5,-0.77,60
2020-09-04,86,Dark Star,-1.1,8.6,19,8,0.7,-2.03,192
2020-09-04,87,Riverside Ultimate,-1.11,8.6,27,23,0.54,-1.27,101
2020-09-04,88,Alberta Flatball Club,-1.13,8.4,4,2,0.67,-1.79,157
2020-09-04,89,Magma,-1.14,8.3,4,3,0.57,-1.24,98
