date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-04,1,Revolver,2.98,83.6,23,5,0.82,1.3,9
2020-09-04,2,Ironside,2.58,77.4,18,7,0.72,1.54,3
2020-09-04,3,Johnny Bravo,2.57,77.3,21,7,0.75,1.25,11
2020-09-04,4,Chicago Machine,2.53,76.5,20,6,0.77,1.29,10
2020-09-04,5,Ring of Fire,2.16,69.3,17,7,0.71,1.35,8
2020-09-04,6,Chain Lightning,1.98,65.2,17,10,0.63,1.47,5
2020-09-04,7,Sockeye,1.94,64.4,17,9,0.65,1.21,13
2020-09-04,8,PoNY,1.92,63.9,17,10,0.63,1.49,4
2020-09-04,9,Doublewide,1.79,60.9,16,11,0.59,1.39,7
2020-09-04,10,Rhino,1.78,60.7,17,7,0.71,0.65,17
2020-09-04,11,Temper,1.73,59.4,20,5,0.8,-0.14,35
2020-09-04,12,Condors,1.72,59.2,15,4,0.79,0.24,23
2020-09-04,13,Prairie Fire,1.67,58.1,20,6,0.77,0.21,24
2020-09-04,14,GOAT,1.67,57.9,12,12,0.5,1.78,1
2020-09-04,15,Madison Club,1.49,53.6,23,6,0.79,-0.12,33
2020-09-04,16,Truck Stop,1.4,51.3,14,11,0.56,1.24,12
2020-09-04,17,PLEX,1.34,49.9,18,3,0.86,-0.59,60
2020-09-04,18,Bullet,1.18,45.9,13,2,0.87,-0.76,92
2020-09-04,19,Sub Zero,1.16,45.4,17,17,0.5,1.2,14
2020-09-04,20,Big Wrench,0.99,41.1,7,3,0.7,0.39,19
2020-09-04,21,Sprawl,0.98,41.0,14,6,0.7,-0.02,31
2020-09-04,22,Florida United,0.87,38.2,9,9,0.5,1.05,15
2020-09-04,23,HIGH FIVE,0.85,37.8,15,10,0.6,0.36,21
2020-09-04,24,Streetgang,0.81,37.0,17,9,0.65,0.03,28
2020-09-04,25,Phoenix,0.72,34.9,9,3,0.75,-0.38,43
2020-09-04,26,Boost FC,0.72,34.8,13,11,0.54,0.59,18
2020-09-04,27,Furious George,0.7,34.4,12,12,0.5,0.72,16
2020-09-04,28,Madcow,0.67,33.6,16,12,0.57,0.34,22
2020-09-04,29,Patrol,0.6,32.2,9,3,0.75,-0.6,64
2020-09-04,30,Garuda,0.59,31.8,11,8,0.58,0.38,20
2020-09-04,31,BroCats,0.43,28.5,8,4,0.67,-0.21,36
2020-09-04,32,Grand Trunk,0.43,28.5,6,3,0.67,-0.01,30
2020-09-04,33,Cash Crop,0.32,26.3,13,6,0.68,-0.5,56
2020-09-04,34,Garden State Ultimate,0.31,26.2,10,5,0.67,-0.38,41
2020-09-04,35,Dire Wolf,0.29,25.8,12,7,0.63,-0.31,38
2020-09-04,36,Omen,0.28,25.6,12,10,0.55,0.02,29
2020-09-04,37,Mephisto,0.27,25.4,8,3,0.73,-0.64,71
2020-09-04,38,Six Pack,0.24,24.9,12,6,0.67,-0.38,40
2020-09-04,39,Beachfront Property,0.23,24.6,14,7,0.67,-0.49,53
2020-09-04,40,Freaks Uv Nature,0.22,24.5,17,8,0.68,-0.75,89
2020-09-04,41,Inception,0.2,24.0,13,10,0.57,-0.09,32
2020-09-04,42,T.C. Imperial,0.19,23.9,10,5,0.67,-0.51,57
2020-09-04,43,Voodoo,0.15,23.2,20,12,0.62,-0.38,44
2020-09-04,44,Youngbloods,0.14,23.1,6,2,0.75,-0.68,78
2020-09-04,45,Southern Hospitality,0.13,22.9,11,5,0.69,-0.72,83
2020-09-04,46,Vicious Cycle,0.11,22.5,10,5,0.67,-0.54,58
2020-09-04,47,Haymaker,0.1,22.4,15,7,0.68,-0.63,70
2020-09-04,48,H.I.P,0.09,22.2,9,5,0.64,-0.47,51
2020-09-04,49,Space City Ignite,0.06,21.6,14,7,0.67,-0.64,73
2020-09-04,50,Dark or Light,0.05,21.5,8,3,0.73,-0.93,113
2020-09-04,51,Right Coast Lost Boys,-0.02,20.4,5,1,0.83,-1.49,184
2020-09-04,52,Magma 3,-0.04,20.0,6,1,0.86,-1.5,187
2020-09-04,53,Rage,-0.08,19.4,6,1,0.86,-1.6,194
2020-09-04,54,Genny Tall Boys,-0.23,17.1,4,4,0.5,0.05,27
2020-09-04,55,Clapham Ultimate,-0.29,16.3,2,5,0.29,1.43,6
2020-09-04,56,Night's Watch,-0.33,15.8,5,3,0.62,-0.63,69
2020-09-04,57,PowderHogs,-0.33,15.7,16,9,0.64,-1.0,125
2020-09-04,58,Red Tide,-0.35,15.5,5,4,0.56,-0.39,45
2020-09-04,59,City Park Ultimate,-0.36,15.4,10,7,0.59,-0.7,80
2020-09-04,60,Smokestack,-0.41,14.8,11,8,0.58,-0.83,99
2020-09-04,61,Medicine Men,-0.41,14.7,2,2,0.5,0.07,26
2020-09-04,62,Kentucky Flying Circus,-0.41,14.7,14,11,0.56,-0.61,65
2020-09-04,63,Brickyard,-0.44,14.3,8,4,0.67,-1.16,144
2020-09-04,64,Shrimp Boat,-0.45,14.2,8,7,0.53,-0.48,52
2020-09-04,65,MKE,-0.48,13.8,12,8,0.6,-0.88,107
