date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-04,1,Brute Squad,3.51,98.6,36,2,0.95,-0.13,6
2020-09-04,2,Fury,3.16,98.1,28,3,0.9,-0.29,9
2020-09-04,3,Seattle Riot,2.9,97.5,27,5,0.84,0.32,2
2020-09-04,4,Molly Brown,2.5,96.4,28,4,0.88,-0.26,8
2020-09-04,5,Traffic,1.29,88.8,17,7,0.71,0.23,3
2020-09-04,6,Scandal,0.5,78.2,20,12,0.62,-0.09,4
2020-09-04,7,Ozone,0.38,76.1,24,15,0.62,-0.1,5
2020-09-04,8,Nightlock,0.16,71.9,24,16,0.6,-0.33,10
2020-09-04,9,Iris,-0.01,68.4,24,9,0.73,-1.35,23
2020-09-04,10,Heist,-0.05,67.3,22,10,0.69,-1.15,20
2020-09-04,11,Capitals,-0.1,66.3,16,10,0.62,-0.53,12
2020-09-04,12,Phoenix,-0.13,65.6,25,17,0.6,-0.57,13
2020-09-04,13,Team Canada U23 - Women,-0.15,65.2,4,1,0.8,-0.88,18
2020-09-04,14,Hot Metal,-0.46,58.0,23,5,0.82,-2.26,37
2020-09-04,15,Schwa,-0.48,57.3,17,16,0.52,-0.39,11
2020-09-04,16,BENT,-0.65,53.1,20,16,0.56,-0.77,16
2020-09-04,17,Showdown,-0.8,49.4,20,19,0.51,-0.75,15
2020-09-04,18,U23 Women's National Team,-0.94,46.0,4,2,0.67,-1.22,21
2020-09-04,19,Green Means Go,-1.13,41.3,12,12,0.5,-0.87,17
2020-09-04,20,Iceni,-1.2,39.7,4,3,0.57,-0.68,14
2020-09-04,21,Siege,-1.22,39.0,19,8,0.7,-2.17,36
2020-09-04,22,Baywatch,-1.27,37.8,23,4,0.85,-3.21,67
2020-09-04,23,Rut-ro,-1.29,37.5,4,2,0.67,-1.47,26
2020-09-04,24,Underground,-1.45,33.9,13,15,0.46,-1.0,19
2020-09-04,25,Wildfire,-1.51,32.4,12,11,0.52,-1.38,24
2020-09-04,26,Pop,-1.54,31.7,12,6,0.67,-2.36,39
2020-09-04,27,Colorado Small Batch,-1.86,25.3,14,7,0.67,-2.63,46
2020-09-04,28,Nemesis,-1.9,24.5,16,22,0.42,-1.38,25
2020-09-04,29,Vintage,-1.91,24.4,4,3,0.57,-2.02,33
2020-09-04,30,Outbreak,-1.94,23.9,21,8,0.72,-3.29,72
2020-09-04,31,Viva,-1.94,23.9,20,17,0.54,-1.92,31
2020-09-04,32,Rival,-1.95,23.6,21,7,0.75,-3.29,73
2020-09-04,33,Grit,-1.97,23.3,22,11,0.67,-3.14,66
2020-09-04,34,Boston,-1.97,23.3,4,2,0.67,-2.35,38
2020-09-04,35,Salty,-1.98,23.0,7,6,0.54,-1.77,28
2020-09-04,36,Fusion,-2.12,20.7,1,5,0.17,0.72,1
2020-09-04,37,Maeve,-2.24,18.7,18,10,0.64,-3.01,58
2020-09-04,38,Tabby Rosa,-2.42,16.2,13,14,0.48,-2.36,40
2020-09-04,39,Wicked,-2.45,15.8,18,6,0.75,-3.82,94
2020-09-04,40,LoCo,-2.51,15.0,11,8,0.58,-2.72,48
2020-09-04,41,Storm,-2.52,14.9,8,6,0.57,-2.79,49
2020-09-04,42,Backhanded,-2.61,13.7,23,16,0.59,-3.28,71
2020-09-04,43,Virginia Rebellion,-2.72,12.5,21,13,0.62,-3.62,88
2020-09-04,44,Shotgun Betty,-2.88,10.8,2,4,0.33,-1.28,22
2020-09-04,45,Dish,-2.89,10.7,16,11,0.59,-3.42,76
2020-09-04,46,Encore,-2.92,10.5,14,13,0.52,-3.07,59
2020-09-04,47,Brooklyn Book Club,-2.94,10.3,16,14,0.53,-3.0,55
2020-09-04,48,Vice,-2.95,10.3,14,16,0.47,-2.45,42
2020-09-04,49,wOmen,-3.1,8.9,1,1,0.5,-3.1,62
2020-09-04,50,Wavz,-3.16,8.5,3,5,0.38,-2.01,32
2020-09-04,51,Jackwagon,-3.19,8.2,9,10,0.47,-3.0,57
2020-09-04,52,Bromeliads,-3.19,8.2,0,1,0.0,-0.13,7
2020-09-04,53,Venus,-3.25,7.8,2,5,0.29,-1.58,27
2020-09-04,54,Zephyr,-3.36,7.0,2,5,0.29,-1.88,30
2020-09-04,55,HOPE,-3.39,6.8,9,10,0.47,-3.24,70
2020-09-04,56,Seattle Grind,-3.42,6.6,7,12,0.37,-2.63,47
2020-09-04,57,Venom,-3.44,6.5,9,12,0.43,-2.82,50
2020-09-04,58,Swagger,-3.49,6.2,8,18,0.31,-2.4,41
2020-09-04,59,Boomslang,-3.65,5.4,11,16,0.41,-3.09,61
2020-09-04,60,Stella,-3.72,5.0,1,5,0.17,-2.06,34
2020-09-04,61,Deadly Viper Assassination Squad,-3.72,5.0,11,15,0.42,-3.21,68
2020-09-04,62,Rogue,-3.76,4.8,4,10,0.29,-2.53,45
2020-09-04,63,Warhawks,-3.76,4.8,4,2,0.67,-5.32,107
2020-09-04,64,Breakfast Club,-3.76,4.8,2,7,0.22,-2.13,35
2020-09-04,65,Chick Flicks,-3.79,4.7,0,1,0.0,-3.1,63
2020-09-04,66,Curved,-3.8,4.6,0,2,0.0,-1.79,29
2020-09-04,67,Flo,-3.84,4.5,7,6,0.54,-4.22,105
2020-09-04,68,Elevate,-3.85,4.4,5,13,0.28,-2.51,44
2020-09-04,69,Pine Baroness,-3.86,4.4,8,15,0.35,-3.11,64
2020-09-04,70,Notorious C.L.E.,-3.9,4.2,14,16,0.47,-3.82,93
2020-09-04,71,Belle,-3.95,4.0,11,13,0.46,-3.87,96
2020-09-04,72,Roc Paper Scissors,-4.0,3.8,8,18,0.31,-2.84,51
2020-09-04,73,Tempo,-4.03,3.7,10,15,0.4,-3.47,79
2020-09-04,74,Lady Condors,-4.04,3.7,2,3,0.4,-4.01,98
2020-09-04,75,BUDA Girls,-4.07,3.6,3,5,0.38,-3.66,89
