date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,Colorado,3.96,90.1,33,3,0.92,1.18,8
2020-09-03,2,North Carolina,3.66,87.1,38,6,0.86,1.28,2
2020-09-03,3,Oregon,2.98,77.4,39,7,0.85,0.54,27
2020-09-03,4,Texas,2.91,76.1,28,8,0.78,1.28,3
2020-09-03,5,Michigan,2.84,74.8,22,6,0.79,1.16,10
2020-09-03,6,Pittsburgh,2.77,73.4,36,10,0.78,1.07,14
2020-09-03,7,Harvard,2.61,70.2,21,7,0.75,1.08,13
2020-09-03,8,Bentley,2.6,69.9,25,1,0.96,-0.39,77
2020-09-03,9,Brown,2.53,68.6,21,2,0.91,-0.19,64
2020-09-03,10,North Carolina-Wilmington,2.52,68.3,35,12,0.74,1.11,11
2020-09-03,11,Minnesota,2.47,67.3,28,9,0.76,1.04,15
2020-09-03,12,California-San Diego,2.47,67.2,30,8,0.79,0.87,18
2020-09-03,13,Florida State,2.44,66.5,32,13,0.71,1.2,5
2020-09-03,14,Wisconsin,2.32,63.8,24,14,0.63,1.58,1
2020-09-03,15,Florida,2.11,59.0,32,12,0.73,0.63,24
2020-09-03,16,Central Florida,2.05,57.5,30,15,0.67,1.09,12
2020-09-03,17,Tufts,2.03,57.0,21,11,0.66,1.19,7
2020-09-03,18,Massachusetts,2.01,56.4,18,9,0.67,1.25,4
2020-09-03,19,Texas A&M,1.95,54.9,28,12,0.7,0.56,26
2020-09-03,20,Luther,1.93,54.5,19,6,0.76,0.49,28
2020-09-03,21,Northwestern,1.74,49.8,11,5,0.69,0.91,16
2020-09-03,22,Eastern Michigan,1.53,44.6,26,10,0.72,0.32,38
2020-09-03,23,Arizona State,1.43,41.9,20,10,0.67,0.66,22
2020-09-03,24,British Columbia,1.33,39.5,20,12,0.62,0.79,20
2020-09-03,25,Maryland,1.31,39.1,20,7,0.74,0.17,44
2020-09-03,26,Brigham Young,1.31,39.1,19,1,0.95,-1.69,279
2020-09-03,27,Washington,1.28,38.3,20,8,0.71,0.01,51
2020-09-03,28,California-Davis,1.27,38.2,20,10,0.67,0.41,31
2020-09-03,29,Carleton College,1.23,37.3,16,16,0.5,1.2,6
2020-09-03,30,Illinois,1.19,36.3,15,6,0.71,-0.17,61
2020-09-03,31,Arkansas,1.18,36.0,24,10,0.71,-0.07,54
2020-09-03,32,Stanford,1.15,35.3,19,13,0.59,0.68,21
2020-09-03,33,Penn State,1.13,34.8,23,8,0.74,0.0,52
2020-09-03,34,Lehigh,1.09,34.1,24,5,0.83,-0.89,123
2020-09-03,35,Elon,1.07,33.7,26,6,0.81,-0.46,85
2020-09-03,36,Northern Iowa,1.07,33.7,17,13,0.57,0.88,17
2020-09-03,37,Dartmouth,1.0,32.0,12,9,0.57,0.83,19
2020-09-03,38,Virginia,0.96,31.1,14,8,0.64,0.46,29
2020-09-03,39,North Carolina State,0.93,30.6,19,13,0.59,0.57,25
2020-09-03,40,Minnesota-Duluth,0.93,30.6,28,13,0.68,-0.12,57
2020-09-03,41,Iowa State,0.88,29.4,19,12,0.61,0.39,35
2020-09-03,42,LSU,0.87,29.3,30,12,0.71,-0.4,79
2020-09-03,43,Claremont,0.83,28.5,17,4,0.81,-0.72,105
2020-09-03,44,California,0.83,28.4,24,21,0.53,0.65,23
2020-09-03,45,Georgetown,0.8,27.7,22,13,0.63,0.21,43
2020-09-03,46,Missouri,0.77,27.3,20,9,0.69,-0.13,58
2020-09-03,47,Georgia,0.7,25.9,13,17,0.43,1.17,9
2020-09-03,48,Wisconsin-Milwaukee,0.69,25.7,20,11,0.65,0.09,48
2020-09-03,49,Puget Sound,0.66,25.1,20,6,0.77,-0.76,108
2020-09-03,50,Colorado College,0.61,24.1,18,13,0.58,0.28,41
2020-09-03,51,Case Western Reserve,0.6,24.0,16,5,0.76,-0.57,91
2020-09-03,52,Cornell,0.59,23.8,17,4,0.81,-1.08,152
2020-09-03,53,Georgia Tech,0.53,22.8,20,17,0.54,0.41,33
2020-09-03,54,Williams,0.5,22.2,19,9,0.68,-0.4,80
2020-09-03,55,California-Santa Barbara,0.47,21.8,14,11,0.56,0.35,37
2020-09-03,56,Auburn,0.47,21.7,18,13,0.58,0.21,42
2020-09-03,57,Washington University,0.46,21.6,21,10,0.68,-0.41,81
2020-09-03,58,Rutgers,0.46,21.5,21,11,0.66,-0.33,72
2020-09-03,59,Las Positas,0.4,20.5,18,16,0.53,0.28,40
2020-09-03,60,Ohio State,0.34,19.7,21,15,0.58,-0.09,55
2020-09-03,61,Cincinnati,0.33,19.5,20,19,0.51,0.35,36
