date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,California-San Diego,3.91,93.3,42,4,0.91,1.13,1
2020-09-03,2,North Carolina,3.61,91.2,32,4,0.89,0.95,3
2020-09-03,3,Ohio State,3.54,90.6,37,4,0.9,0.58,15
2020-09-03,4,Dartmouth,3.08,85.8,33,6,0.85,0.7,11
2020-09-03,5,Carleton College,2.92,83.8,33,7,0.82,0.63,14
2020-09-03,6,California-Santa Barbara,2.44,76.2,30,9,0.77,0.9,7
2020-09-03,7,Western Washington,2.01,67.6,20,9,0.69,1.03,2
2020-09-03,8,South Carolina,1.99,67.1,24,3,0.89,-1.07,55
2020-09-03,9,Bates,1.77,62.1,29,1,0.97,-1.45,77
2020-09-03,10,British Columbia,1.73,61.2,15,8,0.65,0.88,8
2020-09-03,11,Texas,1.7,60.5,25,10,0.71,0.18,22
2020-09-03,12,Wisconsin,1.66,59.6,22,9,0.71,0.18,21
2020-09-03,13,Clemson,1.61,58.2,33,5,0.87,-1.24,68
2020-09-03,14,Colorado,1.53,56.4,25,12,0.68,0.5,18
2020-09-03,15,Pittsburgh,1.45,54.5,24,12,0.67,0.56,17
2020-09-03,16,Cal Poly-SLO,1.44,54.1,26,14,0.65,0.57,16
2020-09-03,17,North Carolina-Wilmington,1.44,54.0,25,10,0.71,0.06,24
2020-09-03,18,UCLA,1.42,53.6,28,19,0.6,0.94,5
2020-09-03,19,Minnesota,1.34,51.7,20,11,0.65,0.43,19
2020-09-03,20,Tufts,1.34,51.6,21,14,0.6,0.91,6
2020-09-03,21,Georgia,1.27,49.9,24,11,0.69,0.19,20
2020-09-03,22,Northeastern,1.2,48.2,18,11,0.62,0.68,12
2020-09-03,23,Oberlin,1.14,46.7,23,3,0.88,-1.64,95
2020-09-03,24,Stanford,1.1,45.8,22,19,0.54,0.95,4
2020-09-03,25,Oregon,1.08,45.1,21,18,0.54,0.81,9
2020-09-03,26,North Carolina State,0.87,40.1,21,11,0.66,-0.03,26
2020-09-03,27,California,0.8,38.3,30,14,0.68,-0.44,35
2020-09-03,28,Washington,0.78,37.9,18,18,0.5,0.73,10
2020-09-03,29,Delaware,0.73,36.7,23,4,0.85,-1.21,62
2020-09-03,30,Vermont,0.7,36.1,16,9,0.64,-0.24,28
2020-09-03,31,Vanderbilt,0.51,31.7,20,4,0.83,-1.47,80
2020-09-03,32,Colorado College,0.5,31.6,16,9,0.64,-0.35,30
2020-09-03,33,West Chester,0.48,31.1,24,8,0.75,-0.94,53
2020-09-03,34,Washington University,0.35,28.5,20,8,0.71,-0.77,48
2020-09-03,35,Truman State,0.33,27.9,19,3,0.86,-1.64,94
2020-09-03,36,Harvard,0.32,27.8,20,12,0.62,-0.36,31
2020-09-03,37,Northwestern,0.29,27.2,16,11,0.59,-0.13,27
2020-09-03,38,Williams,0.28,26.9,23,5,0.82,-1.54,87
2020-09-03,39,Virginia,0.23,25.9,25,14,0.64,-0.42,33
2020-09-03,40,Florida,0.15,24.6,20,18,0.53,0.07,23
2020-09-03,41,Utah,0.15,24.5,20,12,0.62,-0.61,40
2020-09-03,42,Puget Sound,-0.01,21.8,21,7,0.75,-1.43,76
2020-09-03,43,Middlebury,-0.01,21.7,16,9,0.64,-0.67,41
2020-09-03,44,Pennsylvania,-0.02,21.5,17,11,0.61,-0.54,38
2020-09-03,45,Michigan,-0.1,20.2,19,14,0.58,-0.5,37
2020-09-03,46,Brigham Young,-0.14,19.5,10,14,0.42,0.64,13
2020-09-03,47,Cornell,-0.18,18.9,19,16,0.54,-0.33,29
2020-09-03,48,Florida State,-0.19,18.8,24,15,0.62,-0.87,50
2020-09-03,49,Columbia,-0.25,17.9,24,8,0.75,-1.69,102
2020-09-03,50,California-Davis,-0.41,15.6,21,15,0.58,-0.93,52
2020-09-03,51,Mount Holyoke,-0.41,15.6,18,8,0.69,-1.22,64
2020-09-03,52,St Olaf,-0.45,15.1,17,7,0.71,-1.63,92
2020-09-03,53,Notre Dame,-0.46,15.0,21,12,0.64,-1.22,63
2020-09-03,54,Duke,-0.49,14.7,18,14,0.56,-0.73,45
2020-09-03,55,Portland,-0.53,14.1,18,11,0.62,-1.12,57
2020-09-03,56,Penn State,-0.55,13.9,17,17,0.5,-0.37,32
2020-09-03,57,Iowa State,-0.59,13.4,20,13,0.61,-1.01,54
2020-09-03,58,North Park,-0.6,13.4,19,6,0.76,-2.21,168
2020-09-03,59,Trinity,-0.6,13.3,17,3,0.85,-2.84,253
2020-09-03,60,Emory,-0.64,12.8,21,8,0.72,-2.12,151
2020-09-03,61,New Hampshire,-0.65,12.7,22,11,0.67,-1.56,89
2020-09-03,62,Brown,-0.67,12.5,17,11,0.61,-1.09,56
2020-09-03,63,John Brown,-0.68,12.4,13,3,0.81,-2.15,158
2020-09-03,64,Yale,-0.7,12.2,19,7,0.73,-1.94,132
2020-09-03,65,Chicago,-0.71,12.0,10,12,0.45,-0.43,34
2020-09-03,66,Lewis & Clark,-0.72,12.0,17,11,0.61,-1.18,59
2020-09-03,67,Ottawa,-0.73,11.8,16,6,0.73,-1.88,121
2020-09-03,68,Winona State,-0.76,11.6,8,2,0.8,-2.13,152
2020-09-03,69,Massachusetts,-0.76,11.6,13,15,0.46,-0.5,36
2020-09-03,70,William & Mary,-0.79,11.3,25,10,0.71,-2.11,149
2020-09-03,71,Carnegie Mellon,-0.81,11.1,20,11,0.65,-1.52,86
2020-09-03,72,Rensselaer Polytech,-0.82,11.0,17,7,0.71,-1.91,129
2020-09-03,73,James Madison,-0.83,10.9,23,14,0.62,-1.5,81
2020-09-03,74,Denver,-0.87,10.5,19,9,0.68,-1.78,109
2020-09-03,75,Georgia Tech,-0.89,10.3,16,18,0.47,-0.56,39
2020-09-03,76,San Diego State University,-0.94,9.8,17,13,0.57,-1.2,61
2020-09-03,77,Wesleyan,-0.95,9.7,17,9,0.65,-1.64,93
2020-09-03,78,Texas-Dallas,-1.03,9.1,17,10,0.63,-1.71,104
2020-09-03,79,Shippensburg,-1.04,9.0,5,0,1.0,-3.43,303
2020-09-03,80,Purdue,-1.04,9.0,15,9,0.62,-1.72,107
2020-09-03,81,Minnesota-Duluth,-1.06,8.8,17,9,0.65,-1.82,111
2020-09-03,82,Georgetown,-1.11,8.5,16,14,0.53,-1.24,67
2020-09-03,83,Whitman,-1.13,8.3,8,16,0.33,0.01,25
2020-09-03,84,Dayton,-1.14,8.2,16,12,0.57,-1.52,85
2020-09-03,85,Northern Arizona,-1.17,8.0,18,10,0.64,-1.89,124
2020-09-03,86,Kennesaw State,-1.22,7.6,20,14,0.59,-1.62,91
2020-09-03,87,Case Western Reserve,-1.27,7.3,13,17,0.43,-0.69,42
2020-09-03,88,Cal State-Long Beach,-1.3,7.1,17,13,0.57,-1.54,88
2020-09-03,89,Colorado State,-1.33,6.9,15,15,0.5,-1.23,66
2020-09-03,90,Ohio,-1.33,6.9,16,10,0.62,-1.9,127
2020-09-03,91,Michigan State,-1.37,6.6,21,11,0.66,-2.19,164
2020-09-03,92,Swarthmore,-1.38,6.6,18,5,0.78,-3.11,284
2020-09-03,93,Carleton College-Eclipse,-1.41,6.4,11,8,0.58,-1.82,110
2020-09-03,94,Brandeis,-1.41,6.4,11,11,0.5,-1.26,69
2020-09-03,95,Wellesley,-1.44,6.2,17,9,0.65,-2.35,182
2020-09-03,96,Maryland,-1.45,6.2,15,15,0.5,-1.47,79
2020-09-03,97,St Benedict,-1.48,6.0,13,6,0.68,-2.42,193
2020-09-03,98,California-Santa Cruz,-1.48,6.0,7,8,0.47,-1.19,60
2020-09-03,99,Auburn,-1.48,6.0,15,10,0.6,-2.04,139
2020-09-03,100,Skidmore,-1.51,5.8,15,9,0.62,-2.08,142
2020-09-03,101,LSU,-1.54,5.7,19,9,0.68,-2.36,183
2020-09-03,102,Tufts B,-1.61,5.3,5,1,0.83,-3.02,274
2020-09-03,103,Victoria,-1.62,5.2,10,14,0.42,-0.82,49
2020-09-03,104,Vermont B,-1.63,5.2,17,7,0.71,-2.76,239
2020-09-03,105,Chico State,-1.65,5.1,15,15,0.5,-1.66,97
2020-09-03,106,American,-1.65,5.1,16,11,0.59,-2.08,145
2020-09-03,107,Catholic,-1.66,5.0,18,7,0.72,-2.84,251
2020-09-03,108,SUNY-Geneseo,-1.69,4.9,15,9,0.62,-2.32,179
2020-09-03,109,Amherst College,-1.7,4.9,13,10,0.57,-1.92,130
2020-09-03,110,MIT,-1.74,4.7,13,13,0.5,-1.67,100
2020-09-03,111,Connecticut,-1.78,4.5,13,10,0.57,-2.08,143
2020-09-03,112,Boston University,-1.8,4.4,12,13,0.48,-1.68,101
2020-09-03,113,Pittsburgh B,-1.8,4.4,15,7,0.68,-2.69,229
2020-09-03,114,Mississippi State,-1.81,4.4,20,11,0.65,-2.46,201
2020-09-03,115,Illinois,-1.82,4.3,17,13,0.57,-2.2,165
2020-09-03,116,Ball State,-1.82,4.3,8,10,0.44,-1.67,99
2020-09-03,117,UCLA B,-1.82,4.3,15,5,0.75,-3.51,305
2020-09-03,118,Arizona,-1.89,4.1,10,7,0.59,-2.37,188
2020-09-03,119,Liberty,-1.9,4.0,13,17,0.43,-1.52,83
2020-09-03,120,Bowdoin,-1.94,3.9,11,12,0.48,-1.67,98
2020-09-03,121,Texas State,-1.94,3.9,17,11,0.61,-2.63,220
2020-09-03,122,Michigan Tech,-1.95,3.8,6,6,0.5,-1.86,116
2020-09-03,123,Tennessee-Chattanooga,-1.96,3.8,10,9,0.53,-1.89,125
2020-09-03,124,Georgia College,-1.96,3.8,9,5,0.64,-2.77,242
2020-09-03,125,Smith,-1.99,3.7,10,7,0.59,-2.37,186
2020-09-03,126,Rochester,-2.01,3.6,11,9,0.55,-2.26,175
2020-09-03,127,Colby,-2.02,3.6,6,8,0.43,-1.51,82
2020-09-03,128,Marquette,-2.03,3.6,16,14,0.53,-2.03,137
2020-09-03,129,Lehigh,-2.03,3.5,12,10,0.55,-2.23,170
2020-09-03,130,Southern California,-2.03,3.5,10,22,0.31,-0.72,44
2020-09-03,131,Northeastern B,-2.03,3.5,15,10,0.6,-2.55,214
2020-09-03,132,Rutgers,-2.05,3.5,13,13,0.5,-2.13,153
2020-09-03,133,SUNY-Oneonta,-2.05,3.5,11,6,0.65,-2.8,248
2020-09-03,134,Oregon State,-2.06,3.5,9,10,0.47,-1.72,106
2020-09-03,135,Air Force,-2.09,3.3,8,11,0.42,-1.65,96
2020-09-03,136,Wisconsin-Milwaukee,-2.1,3.3,14,14,0.5,-1.85,114
2020-09-03,137,Arizona State,-2.11,3.3,16,12,0.57,-2.54,212
2020-09-03,138,Iowa,-2.16,3.1,15,17,0.47,-1.9,128
2020-09-03,139,George Washington,-2.19,3.0,18,14,0.56,-2.45,196
2020-09-03,140,Towson,-2.2,3.0,11,14,0.44,-1.86,117
2020-09-03,141,SUNY-Stony Brook,-2.23,2.9,13,8,0.62,-2.85,254
2020-09-03,142,Cincinnati,-2.23,2.9,13,10,0.57,-2.61,218
2020-09-03,143,Mary Washington,-2.24,2.9,10,10,0.5,-2.23,171
2020-09-03,144,Missouri S&T,-2.25,2.9,7,8,0.47,-1.84,112
2020-09-03,145,Oklahoma,-2.25,2.9,15,15,0.5,-2.21,167
2020-09-03,146,North Georgia,-2.26,2.8,13,12,0.52,-2.4,192
2020-09-03,147,Appalachian State,-2.27,2.8,10,9,0.53,-2.15,157
2020-09-03,148,Central Florida,-2.27,2.8,9,17,0.35,-1.12,58
2020-09-03,149,Knox,-2.27,2.8,12,9,0.57,-2.65,224
2020-09-03,150,Boston College,-2.28,2.8,8,16,0.33,-1.27,70
2020-09-03,151,Boise State,-2.32,2.7,9,17,0.35,-1.41,75
2020-09-03,152,Missouri,-2.32,2.7,5,4,0.56,-2.49,205
2020-09-03,153,Pacific Lutheran,-2.32,2.7,7,15,0.32,-1.39,74
2020-09-03,154,Wheaton Illinois,-2.35,2.6,9,6,0.6,-2.94,262
2020-09-03,155,Syracuse,-2.36,2.6,7,10,0.41,-1.88,123
2020-09-03,156,Princeton,-2.37,2.6,10,14,0.42,-1.97,135
2020-09-03,157,Dallas,-2.38,2.5,5,6,0.45,-2.15,156
2020-09-03,158,Kansas,-2.38,2.5,10,14,0.42,-1.87,118
2020-09-03,159,Nebraska,-2.39,2.5,8,10,0.44,-1.95,133
