date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,Brown,4.68,96.5,40,2,0.95,1.24,1
2020-09-03,2,North Carolina,4.23,94.7,38,3,0.93,1.16,2
2020-09-03,3,Cal Poly-SLO,3.19,86.3,38,6,0.86,0.79,10
2020-09-03,4,Brigham Young,3.17,86.0,28,3,0.9,0.48,21
2020-09-03,5,Colorado,2.7,79.4,27,8,0.77,0.98,6
2020-09-03,6,Oregon,2.57,77.1,35,8,0.81,0.48,20
2020-09-03,7,Pittsburgh,2.54,76.7,31,8,0.79,0.62,17
2020-09-03,8,Texas,2.46,75.2,27,10,0.73,1.02,5
2020-09-03,9,Central Florida,2.36,73.4,21,4,0.84,0.27,27
2020-09-03,10,Carleton College,2.32,72.4,25,10,0.71,1.06,4
2020-09-03,11,Massachusetts,2.29,71.8,26,8,0.76,0.77,13
2020-09-03,12,Michigan,2.12,68.4,28,6,0.82,0.26,29
2020-09-03,13,Ohio State,2.11,68.0,20,9,0.69,0.98,7
2020-09-03,14,Wisconsin,2.02,66.1,28,11,0.72,0.8,9
2020-09-03,15,Middlebury,1.97,65.0,31,3,0.91,-0.37,59
2020-09-03,16,Georgia,1.94,64.3,26,12,0.68,1.06,3
2020-09-03,17,Washington,1.89,63.1,27,11,0.71,0.58,19
2020-09-03,18,Minnesota,1.62,56.7,26,14,0.65,0.78,11
2020-09-03,19,North Carolina State,1.62,56.6,28,14,0.67,0.83,8
2020-09-03,20,Southern California,1.52,54.3,25,7,0.78,0.01,41
2020-09-03,21,Air Force,1.34,49.8,29,4,0.88,-1.1,110
2020-09-03,22,California,1.34,49.6,30,16,0.65,0.41,23
2020-09-03,23,Northeastern,1.28,48.2,25,15,0.62,0.77,12
2020-09-03,24,Auburn,1.14,44.7,28,10,0.74,-0.04,44
2020-09-03,25,Victoria,1.01,41.4,22,17,0.56,0.62,16
2020-09-03,26,Texas Tech,0.98,40.9,24,5,0.83,-1.02,106
2020-09-03,27,Johns Hopkins,0.94,39.9,27,8,0.77,-0.49,66
2020-09-03,28,Vermont,0.93,39.7,23,9,0.72,-0.09,47
2020-09-03,29,LSU,0.91,39.1,26,15,0.63,0.22,30
2020-09-03,30,North Carolina-Wilmington,0.87,38.3,22,14,0.61,0.42,22
2020-09-03,31,Texas A&M,0.87,38.2,20,15,0.57,0.4,24
2020-09-03,32,Colorado State,0.84,37.5,16,13,0.55,0.67,15
2020-09-03,33,Tufts,0.76,35.7,22,21,0.51,0.74,14
2020-09-03,34,South Carolina,0.74,35.1,25,13,0.66,0.03,40
2020-09-03,35,William & Mary,0.73,34.8,27,11,0.71,-0.32,58
2020-09-03,36,Dartmouth,0.67,33.6,19,12,0.61,0.3,25
2020-09-03,37,Maryland,0.67,33.5,21,13,0.62,0.13,35
2020-09-03,38,Alabama,0.61,32.2,25,13,0.66,-0.16,50
2020-09-03,39,Texas-Dallas,0.57,31.3,19,14,0.58,0.21,31
2020-09-03,40,Iowa State,0.57,31.3,19,11,0.63,-0.11,48
2020-09-03,41,Carleton College-GoP,0.53,30.6,25,8,0.76,-0.82,88
2020-09-03,42,Richmond,0.53,30.5,32,10,0.76,-0.88,92
2020-09-03,43,Illinois,0.49,29.7,23,13,0.64,-0.28,57
2020-09-03,44,Virginia Tech,0.44,28.8,20,13,0.61,0.03,39
2020-09-03,45,UCLA,0.34,26.6,20,13,0.61,-0.05,45
2020-09-03,46,Virginia,0.33,26.4,19,15,0.56,0.1,38
2020-09-03,47,Indiana,0.31,26.0,27,7,0.79,-1.44,146
2020-09-03,48,Bowdoin,0.22,24.4,21,8,0.72,-0.96,100
2020-09-03,49,Notre Dame,0.21,24.2,20,11,0.65,-0.44,62
2020-09-03,50,Rice,0.2,24.1,19,5,0.79,-1.41,140
2020-09-03,51,Florida State,0.2,24.0,21,17,0.55,0.1,37
2020-09-03,52,Missouri S&T,0.18,23.6,16,7,0.7,-0.75,83
2020-09-03,53,California-Santa Barbara,0.18,23.6,18,16,0.53,0.15,33
2020-09-03,54,Purdue,0.17,23.4,21,12,0.64,-0.49,67
2020-09-03,55,Michigan Tech,0.15,23.1,17,4,0.81,-1.64,175
2020-09-03,56,Bryant,0.14,23.0,17,6,0.74,-1.15,115
2020-09-03,57,California-San Diego,0.14,22.9,19,13,0.59,-0.25,55
2020-09-03,58,Oklahoma State,0.06,21.5,20,7,0.74,-1.36,135
2020-09-03,59,Ohio,0.03,21.1,25,11,0.69,-1.0,102
2020-09-03,60,Northwestern,0.01,20.8,14,19,0.42,0.58,18
2020-09-03,61,Davidson,0.01,20.6,22,8,0.73,-1.13,114
2020-09-03,62,Mary Washington,-0.02,20.3,23,9,0.72,-1.21,120
2020-09-03,63,British Columbia,-0.02,20.3,16,17,0.48,0.12,36
2020-09-03,64,Utah,-0.05,19.8,25,14,0.64,-0.75,84
2020-09-03,65,Stanford,-0.05,19.7,18,20,0.47,0.26,28
2020-09-03,66,Harvard,-0.05,19.7,16,19,0.46,0.27,26
2020-09-03,67,Florida,-0.08,19.4,16,14,0.53,-0.09,46
2020-09-03,68,Duke,-0.08,19.2,18,14,0.56,-0.18,51
2020-09-03,69,Whitman,-0.13,18.6,21,12,0.64,-0.76,85
2020-09-03,70,Wisconsin-Milwaukee,-0.13,18.5,19,9,0.68,-0.94,98
2020-09-03,71,Grand Valley State,-0.14,18.4,17,5,0.77,-1.59,163
2020-09-03,72,Marist,-0.15,18.2,18,2,0.9,-2.19,272
2020-09-03,73,Colby,-0.15,18.1,16,9,0.64,-0.83,90
2020-09-03,74,Carnegie Mellon,-0.16,18.1,18,14,0.56,-0.5,68
2020-09-03,75,Penn State,-0.17,17.9,19,13,0.59,-0.59,74
2020-09-03,76,Alabama-Huntsville,-0.24,16.9,18,17,0.51,-0.23,54
2020-09-03,77,Kennesaw State,-0.29,16.2,14,18,0.44,0.2,32
2020-09-03,78,Oklahoma,-0.3,16.1,21,14,0.6,-0.73,82
2020-09-03,79,Cincinnati,-0.33,15.7,21,12,0.64,-0.93,96
2020-09-03,80,Iowa,-0.34,15.6,24,8,0.75,-1.91,212
2020-09-03,81,Texas State,-0.36,15.3,18,10,0.64,-1.13,113
2020-09-03,82,Luther,-0.37,15.2,25,8,0.76,-2.01,240
2020-09-03,83,Bates,-0.38,15.1,20,9,0.69,-1.35,132
2020-09-03,84,Franciscan,-0.42,14.6,19,7,0.73,-1.55,156
2020-09-03,85,Villanova,-0.44,14.3,15,5,0.75,-1.63,172
2020-09-03,86,Emory,-0.49,13.7,14,17,0.45,0.0,43
2020-09-03,87,Portland,-0.49,13.6,15,7,0.68,-1.3,125
2020-09-03,88,Wisconsin-Whitewater,-0.49,13.6,22,11,0.67,-1.35,131
2020-09-03,89,California-Davis,-0.51,13.5,15,9,0.62,-0.95,99
2020-09-03,90,Rutgers,-0.53,13.3,19,17,0.53,-0.49,65
2020-09-03,91,Temple,-0.53,13.2,17,14,0.55,-0.67,77
2020-09-03,92,Oregon State,-0.54,13.1,17,15,0.53,-0.57,72
2020-09-03,93,Western Washington,-0.56,12.9,12,16,0.43,-0.0,42
2020-09-03,94,Hamilton,-0.57,12.8,12,5,0.71,-1.53,155
2020-09-03,95,Williams,-0.58,12.6,20,12,0.62,-1.12,111
2020-09-03,96,Tennessee,-0.6,12.4,18,22,0.45,-0.15,49
2020-09-03,97,Case Western Reserve,-0.64,12.0,17,12,0.59,-1.01,105
2020-09-03,98,Arizona,-0.65,11.9,15,13,0.54,-0.65,75
2020-09-03,99,Brandeis,-0.66,11.8,17,8,0.68,-1.46,147
2020-09-03,100,Truman State,-0.67,11.7,17,6,0.74,-2.0,234
2020-09-03,101,John Brown,-0.68,11.6,17,11,0.61,-1.27,124
2020-09-03,102,North Carolina-Asheville,-0.69,11.5,18,9,0.67,-1.42,142
2020-09-03,103,Lewis & Clark,-0.71,11.3,23,7,0.77,-2.1,259
2020-09-03,104,Minnesota-Duluth,-0.74,10.9,10,10,0.5,-0.45,63
2020-09-03,105,James Madison,-0.76,10.8,20,20,0.5,-0.66,76
2020-09-03,106,St Olaf,-0.77,10.7,12,4,0.75,-1.88,206
2020-09-03,107,Michigan B,-0.78,10.6,24,9,0.73,-2.09,256
