date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,Dartmouth,3.58,92.5,33,4,0.89,0.93,6
2020-09-03,2,Texas,3.34,90.7,34,6,0.85,0.98,5
2020-09-03,3,Stanford,3.33,90.7,31,5,0.86,0.93,7
2020-09-03,4,Virginia,3.15,89.0,40,4,0.91,0.22,22
2020-09-03,5,British Columbia,3.1,88.5,24,6,0.8,1.26,3
2020-09-03,6,UCLA,3.01,87.5,33,7,0.82,0.88,10
2020-09-03,7,Colorado,2.24,76.5,22,12,0.65,1.48,1
2020-09-03,8,Oregon,2.16,74.9,31,14,0.69,0.84,12
2020-09-03,9,Tufts,1.97,71.4,29,8,0.78,0.3,20
2020-09-03,10,Notre Dame,1.96,71.1,27,8,0.77,0.0,24
2020-09-03,11,California,1.86,68.9,27,15,0.64,0.88,9
2020-09-03,12,North Carolina,1.84,68.6,24,11,0.69,0.86,11
2020-09-03,13,Pittsburgh,1.79,67.5,24,11,0.69,0.79,13
2020-09-03,14,Ohio State,1.73,66.1,27,14,0.66,0.9,8
2020-09-03,15,Carleton College,1.65,64.2,25,12,0.68,0.64,15
2020-09-03,16,Michigan,1.49,60.6,20,15,0.57,1.05,4
2020-09-03,17,Florida,1.36,57.4,34,14,0.71,-0.01,25
2020-09-03,18,Southern California,1.29,55.7,25,12,0.68,0.33,18
2020-09-03,19,Kansas,1.07,50.3,31,9,0.78,-0.72,46
2020-09-03,20,Iowa State,1.06,50.1,24,8,0.75,-0.47,33
2020-09-03,21,Vermont,1.06,50.0,22,10,0.69,-0.01,26
2020-09-03,22,Wesleyan,1.01,48.7,17,1,0.94,-1.75,136
2020-09-03,23,Cornell,0.95,47.2,28,3,0.9,-1.73,132
2020-09-03,24,Delaware,0.85,44.8,18,13,0.58,0.43,17
2020-09-03,25,Georgetown,0.72,41.5,27,8,0.77,-1.07,63
2020-09-03,26,California-San Diego,0.7,41.0,24,18,0.57,0.32,19
2020-09-03,27,California-Davis,0.65,40.0,22,16,0.58,0.29,21
2020-09-03,28,Williams,0.64,39.6,24,3,0.89,-1.57,108
2020-09-03,29,Liberty,0.58,38.3,18,7,0.72,-0.82,49
2020-09-03,30,Colorado State,0.55,37.4,21,10,0.68,-0.31,30
2020-09-03,31,Clemson,0.47,35.8,18,12,0.6,-0.73,47
2020-09-03,32,North Carolina-Wilmington,0.41,34.3,18,11,0.62,-0.24,29
2020-09-03,33,Carleton College-Eclipse,0.38,33.7,20,3,0.87,-1.57,109
2020-09-03,34,Auburn,0.25,30.8,21,5,0.81,-1.53,102
2020-09-03,35,Minnesota,0.25,30.8,15,12,0.56,-0.02,27
2020-09-03,36,Florida State,0.25,30.7,27,15,0.64,-0.61,40
2020-09-03,37,Duke,0.18,29.3,12,4,0.75,-1.17,69
2020-09-03,38,Columbia,0.14,28.5,18,5,0.78,-1.4,94
2020-09-03,39,Connecticut,0.13,28.4,17,8,0.68,-0.83,50
2020-09-03,40,Whitman,0.09,27.5,18,17,0.51,0.21,23
2020-09-03,41,Western Washington,0.07,27.2,4,8,0.33,1.34,2
2020-09-03,42,Kennesaw State,0.07,27.2,25,9,0.74,-1.21,73
2020-09-03,43,Colorado College,0.06,27.0,13,17,0.43,0.69,14
2020-09-03,44,West Chester,0.04,26.5,19,6,0.76,-1.36,90
2020-09-03,45,Cincinnati,-0.1,24.0,13,5,0.72,-1.13,65
2020-09-03,46,Portland,-0.17,22.6,23,5,0.82,-1.87,150
2020-09-03,47,Brigham Young,-0.2,22.1,12,7,0.63,-0.71,45
2020-09-03,48,Washington,-0.26,21.1,12,18,0.4,0.56,16
2020-09-03,49,Wisconsin,-0.28,20.8,17,15,0.53,-0.52,36
2020-09-03,50,Northwestern,-0.29,20.6,18,13,0.58,-0.62,42
2020-09-03,51,Bowdoin,-0.3,20.5,14,5,0.74,-1.25,77
2020-09-03,52,Georgia Tech,-0.3,20.4,23,17,0.57,-0.62,43
2020-09-03,53,Illinois,-0.32,20.1,14,12,0.54,-0.49,35
2020-09-03,54,Princeton,-0.35,19.7,17,7,0.71,-1.48,96
2020-09-03,55,Georgia,-0.37,19.3,16,11,0.59,-0.86,51
2020-09-03,56,Truman State,-0.37,19.3,14,6,0.7,-1.3,83
2020-09-03,57,Boston College,-0.42,18.5,12,7,0.63,-0.92,52
2020-09-03,58,Penn State,-0.42,18.5,16,14,0.53,-0.57,38
2020-09-03,59,Rexroth State University,-0.43,18.5,5,2,0.71,-1.16,68
2020-09-03,60,North Carolina State,-0.53,17.0,12,12,0.5,-0.49,34
2020-09-03,61,Harvard,-0.55,16.6,14,10,0.58,-0.79,48
2020-09-03,62,Chicago,-0.59,16.1,21,12,0.64,-1.26,78
2020-09-03,63,Valparaiso,-0.64,15.5,14,4,0.78,-2.06,174
2020-09-03,64,Maryland,-0.65,15.3,14,12,0.54,-0.7,44
2020-09-03,65,Puget Sound,-0.67,15.0,16,11,0.59,-1.06,62
2020-09-03,66,Denver,-0.7,14.7,13,10,0.57,-0.96,55
2020-09-03,67,SUNY-Geneseo,-0.73,14.3,10,2,0.83,-2.44,221
2020-09-03,68,Cal Poly-SLO,-0.79,13.6,18,12,0.6,-1.23,76
2020-09-03,69,Bates,-0.82,13.2,14,7,0.67,-1.57,107
2020-09-03,70,George Mason,-0.86,12.8,15,9,0.62,-1.39,93
2020-09-03,71,Akron,-0.86,12.8,14,10,0.58,-1.15,67
2020-09-03,72,Missouri State,-0.88,12.6,15,8,0.65,-1.65,121
2020-09-03,73,Washington University,-0.92,12.1,14,19,0.42,-0.38,32
2020-09-03,74,California-Santa Barbara,-0.93,12.0,16,18,0.47,-0.58,39
2020-09-03,75,Oregon State,-0.95,11.8,14,10,0.58,-1.19,70
2020-09-03,76,St Olaf,-1.01,11.2,15,11,0.58,-1.44,95
2020-09-03,77,Chico State,-1.03,11.0,20,11,0.65,-1.69,124
2020-09-03,78,Winona State,-1.05,10.9,8,4,0.67,-1.74,134
2020-09-03,79,John Brown,-1.05,10.8,16,5,0.76,-2.43,216
2020-09-03,80,Iowa,-1.06,10.8,17,16,0.52,-1.01,57
2020-09-03,81,Vanderbilt,-1.09,10.4,14,9,0.61,-1.62,113
2020-09-03,82,Amherst College,-1.1,10.3,11,9,0.55,-1.35,87
2020-09-03,83,Case Western Reserve,-1.12,10.1,10,8,0.56,-1.34,86
