date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,North Carolina,3.01,86.6,12,1,0.92,0.96,3
2020-09-03,2,Mount Holyoke,2.33,76.6,11,0,1.0,-0.26,54
2020-09-03,3,Georgia Tech,2.17,73.6,10,1,0.91,0.13,28
2020-09-03,4,Virginia,2.05,71.3,16,2,0.89,-0.04,42
2020-09-03,5,Texas-Dallas,1.94,68.9,14,1,0.93,-0.6,88
2020-09-03,6,Northeastern,1.74,64.7,9,4,0.69,1.18,1
2020-09-03,7,California-San Diego,1.72,64.0,17,5,0.77,0.45,15
2020-09-03,8,Ohio State,1.66,62.8,15,5,0.75,0.52,9
2020-09-03,9,Washington,1.65,62.5,10,3,0.77,0.48,13
2020-09-03,10,Carleton College,1.54,59.9,24,6,0.8,-0.02,40
2020-09-03,11,Ohio,1.54,59.8,12,1,0.92,-0.77,109
2020-09-03,12,Tufts,1.51,59.1,9,2,0.82,0.08,34
2020-09-03,13,Stanford,1.45,57.7,15,6,0.71,0.56,6
2020-09-03,14,Kansas,1.44,57.4,13,2,0.87,-0.49,76
2020-09-03,15,Dartmouth,1.43,57.1,6,1,0.86,0.23,25
2020-09-03,16,New Mexico,1.42,56.8,7,0,1.0,-1.08,167
2020-09-03,17,California-Santa Barbara,1.28,53.5,16,7,0.7,0.38,16
2020-09-03,18,UCLA,1.22,51.9,16,8,0.67,0.52,10
2020-09-03,19,Towson,1.21,51.8,14,1,0.93,-1.34,199
2020-09-03,20,Skidmore,1.18,50.9,5,1,0.83,0.24,23
2020-09-03,21,Vermont,1.14,49.9,9,6,0.6,0.9,5
2020-09-03,22,West Chester,1.14,49.9,5,1,0.83,0.17,26
2020-09-03,23,Texas A&M,1.06,47.9,12,2,0.86,-0.86,131
2020-09-03,24,Florida,1.05,47.8,9,3,0.75,0.11,30
2020-09-03,25,Pittsburgh,1.04,47.5,10,8,0.56,0.92,4
2020-09-03,26,Boston University,0.97,45.8,5,1,0.83,0.03,37
2020-09-03,27,Alabama,0.97,45.8,16,3,0.84,-0.8,118
2020-09-03,28,Puget Sound,0.96,45.4,11,1,0.92,-1.33,198
2020-09-03,29,James Madison,0.95,45.3,9,3,0.75,-0.09,43
2020-09-03,30,Western Washington,0.81,41.7,6,3,0.67,0.34,19
2020-09-03,31,Northwestern,0.8,41.5,12,9,0.57,0.53,7
2020-09-03,32,Truman State,0.8,41.4,11,3,0.79,-0.66,96
2020-09-03,33,New Hampshire,0.79,41.3,5,2,0.71,0.25,22
2020-09-03,34,George Washington,0.77,40.7,11,3,0.79,-0.53,83
2020-09-03,35,Kennesaw State,0.71,39.4,11,3,0.79,-0.6,87
2020-09-03,36,St Olaf,0.66,38.3,8,4,0.67,-0.01,39
2020-09-03,37,Richmond,0.63,37.5,6,1,0.86,-0.94,145
2020-09-03,38,Portland,0.54,35.5,8,2,0.8,-0.65,95
2020-09-03,39,Lehigh,0.52,34.9,7,1,0.88,-1.31,196
2020-09-03,40,Colorado State,0.48,34.1,11,4,0.73,-0.64,93
2020-09-03,41,Brigham Young,0.43,32.9,9,4,0.69,-0.32,58
2020-09-03,42,William & Mary,0.42,32.8,6,5,0.55,0.47,14
2020-09-03,43,California-Davis,0.42,32.8,8,4,0.67,-0.3,57
2020-09-03,44,South Carolina,0.42,32.7,3,2,0.6,0.52,8
2020-09-03,45,Case Western Reserve,0.32,30.6,8,5,0.62,-0.29,56
2020-09-03,46,Texas State,0.31,30.3,9,4,0.69,-0.51,79
2020-09-03,47,Florida State,0.3,30.2,10,4,0.71,-0.63,91
2020-09-03,48,Colorado,0.25,29.2,9,7,0.56,0.13,29
2020-09-03,49,Liberty,0.25,29.1,12,8,0.6,-0.15,47
2020-09-03,50,Bates,0.23,28.7,7,3,0.7,-0.41,68
2020-09-03,51,Cincinnati,0.23,28.6,6,1,0.86,-1.3,194
2020-09-03,52,Denver,0.21,28.2,14,4,0.78,-1.29,192
2020-09-03,53,Georgia,0.13,26.6,8,10,0.44,0.51,11
2020-09-03,54,Vanderbilt,0.11,26.3,7,5,0.58,-0.11,45
2020-09-03,55,Occidental,0.1,26.1,13,3,0.81,-1.52,220
2020-09-03,56,North Carolina State,0.08,25.8,5,6,0.45,0.51,12
2020-09-03,57,Trinity,0.08,25.7,9,5,0.64,-0.52,81
2020-09-03,58,American,0.06,25.3,5,2,0.71,-0.8,117
2020-09-03,59,Virginia Tech,0.05,25.2,9,4,0.69,-0.73,104
2020-09-03,60,San Diego State University,0.05,25.1,12,5,0.71,-0.97,149
2020-09-03,61,Michigan,0.02,24.6,5,5,0.5,0.29,20
2020-09-03,62,Columbia,0.02,24.5,8,5,0.62,-0.45,73
2020-09-03,63,Haverford/Bryn Mawr,-0.02,23.9,9,6,0.6,-0.42,70
2020-09-03,64,Swarthmore,-0.05,23.3,8,4,0.67,-0.69,102
2020-09-03,65,Connecticut,-0.06,23.2,8,5,0.62,-0.39,66
2020-09-03,66,Mississippi,-0.12,22.1,5,2,0.71,-0.83,124
2020-09-03,67,Emory,-0.12,22.0,10,5,0.67,-0.84,126
2020-09-03,68,Minnesota,-0.14,21.8,3,3,0.5,0.24,24
2020-09-03,69,Temple,-0.14,21.7,8,6,0.57,-0.33,60
2020-09-03,70,Chicago,-0.19,20.9,9,8,0.53,-0.21,51
2020-09-03,71,Syracuse,-0.21,20.5,8,6,0.57,-0.38,65
2020-09-03,72,Cornell,-0.22,20.4,4,2,0.67,-0.82,123
2020-09-03,73,Texas,-0.22,20.4,7,8,0.47,0.09,32
2020-09-03,74,California-Santa Cruz,-0.23,20.2,11,11,0.5,-0.17,48
2020-09-03,75,Brandeis,-0.23,20.2,4,3,0.57,-0.33,61
2020-09-03,76,British Columbia,-0.24,20.0,3,3,0.5,0.03,36
2020-09-03,77,Central Florida,-0.26,19.8,8,7,0.53,-0.33,62
2020-09-03,78,Washington University,-0.26,19.7,7,7,0.5,-0.18,49
2020-09-03,79,Wesleyan,-0.28,19.5,4,2,0.67,-0.8,116
2020-09-03,80,Western Washington B,-0.28,19.5,4,1,0.8,-1.53,222
2020-09-03,81,Purdue,-0.28,19.5,9,5,0.64,-0.84,129
2020-09-03,82,Indiana,-0.29,19.4,4,2,0.67,-0.79,115
2020-09-03,83,Pennsylvania,-0.3,19.1,5,6,0.45,0.08,33
2020-09-03,84,NYU,-0.3,19.1,9,5,0.64,-0.89,136
2020-09-03,85,Colby,-0.31,19.0,6,5,0.55,-0.34,63
2020-09-03,86,Cal State-Long Beach,-0.31,19.0,10,4,0.71,-1.45,211
2020-09-03,87,Mary Washington,-0.33,18.7,4,2,0.67,-0.86,132
2020-09-03,88,Pacific Lutheran,-0.36,18.3,5,4,0.56,-0.45,72
2020-09-03,89,Duke,-0.4,17.6,6,5,0.55,-0.49,77
2020-09-03,90,South Florida,-0.45,16.9,7,5,0.58,-0.78,113
2020-09-03,91,SUNY-Geneseo,-0.47,16.6,4,4,0.5,-0.32,59
2020-09-03,92,Maryland-Baltimore County,-0.51,16.1,15,7,0.68,-1.46,212
2020-09-03,93,Mississippi State,-0.53,15.8,8,6,0.57,-0.9,139
2020-09-03,94,Boston College,-0.53,15.8,4,4,0.5,-0.41,67
2020-09-03,95,California,-0.54,15.7,7,14,0.33,0.37,18
2020-09-03,96,Dayton,-0.55,15.6,5,2,0.71,-1.57,225
2020-09-03,97,Stanford B,-0.56,15.5,5,2,0.71,-1.45,210
2020-09-03,98,Iowa State,-0.56,15.4,7,6,0.54,-0.69,100
2020-09-03,99,Marist,-0.57,15.3,5,1,0.83,-2.27,253
2020-09-03,100,Oberlin,-0.57,15.3,6,6,0.5,-0.41,69
2020-09-03,101,Colorado College,-0.58,15.1,6,5,0.55,-0.73,105
2020-09-03,102,Michigan Tech,-0.59,15.1,2,2,0.5,-0.29,55
2020-09-03,103,San Diego State University B,-0.61,14.8,2,1,0.67,-1.09,169
2020-09-03,104,Illinois,-0.61,14.8,4,2,0.67,-1.36,200
2020-09-03,105,Utah,-0.66,14.2,6,8,0.43,-0.23,52
2020-09-03,106,George Mason,-0.67,14.0,7,6,0.54,-0.83,125
2020-09-03,107,John Brown,-0.67,14.0,6,7,0.46,-0.46,74
2020-09-03,108,Georgetown,-0.68,13.9,6,6,0.5,-0.63,92
2020-09-03,109,Auburn,-0.7,13.7,7,6,0.54,-0.91,140
2020-09-03,110,Kentucky,-0.74,13.2,3,3,0.5,-0.67,99
2020-09-03,111,Cal Poly-SLO,-0.74,13.2,9,13,0.41,-0.24,53
2020-09-03,112,Rice,-0.78,12.7,7,6,0.54,-0.92,141
2020-09-03,113,California-San Diego B,-0.79,12.7,9,7,0.56,-1.08,166
2020-09-03,114,Northeastern B,-0.8,12.5,5,3,0.62,-1.32,197
2020-09-03,115,Oregon State,-0.81,12.5,5,3,0.62,-1.43,207
2020-09-03,116,Northern Arizona,-0.84,12.1,8,6,0.57,-1.21,183
2020-09-03,117,Wake Forest,-0.84,12.1,5,3,0.62,-1.44,209
2020-09-03,118,Montana State University,-0.85,12.0,5,3,0.62,-1.47,214
2020-09-03,119,SUNY-Stony Brook,-0.88,11.7,3,4,0.43,-0.34,64
2020-09-03,120,Tennessee,-0.89,11.6,10,9,0.53,-1.05,159
2020-09-03,121,Tulane,-0.89,11.6,7,6,0.54,-1.08,163
2020-09-03,122,Chico State,-0.89,11.6,7,6,0.54,-1.07,161
2020-09-03,123,Allegheny,-0.92,11.3,6,2,0.75,-2.22,252
2020-09-03,124,Catholic,-0.96,10.9,6,7,0.46,-0.78,112
2020-09-03,125,Wisconsin-Eau Claire,-0.96,10.9,4,3,0.57,-1.24,186
2020-09-03,126,DePaul,-0.96,10.9,5,2,0.71,-2.16,249
2020-09-03,127,Clemson,-0.98,10.7,5,8,0.38,-0.46,75
2020-09-03,128,Whitman,-1.0,10.5,3,6,0.33,-0.13,46
2020-09-03,129,North Georgia,-1.01,10.4,10,11,0.48,-0.81,119
2020-09-03,130,Maryland,-1.01,10.4,5,8,0.38,-0.43,71
2020-09-03,131,Pittsburgh B,-1.02,10.3,3,3,0.5,-1.06,160
2020-09-03,132,LSU,-1.02,10.3,6,4,0.6,-1.58,227
2020-09-03,133,Yale,-1.04,10.2,3,4,0.43,-0.78,111
2020-09-03,134,Iowa,-1.07,9.8,4,4,0.5,-1.13,171
2020-09-03,135,Miami (Ohio),-1.08,9.8,4,3,0.57,-1.59,228
2020-09-03,136,Washington B,-1.12,9.5,2,3,0.4,-0.67,97
2020-09-03,137,Texas B,-1.17,9.1,6,7,0.46,-0.99,153
2020-09-03,138,Macalester,-1.19,8.9,5,6,0.45,-0.86,133
2020-09-03,139,Nevada-Reno,-1.19,8.9,7,6,0.54,-1.48,216
2020-09-03,140,George Washington B,-1.19,8.8,3,4,0.43,-0.87,135
2020-09-03,141,North Carolina-Wilmington,-1.2,8.7,5,13,0.28,0.02,38
2020-09-03,142,MIT,-1.2,8.7,7,7,0.5,-1.29,193
2020-09-03,143,Bowdoin,-1.23,8.6,1,3,0.25,0.14,27
2020-09-03,144,Tulsa,-1.24,8.5,6,6,0.5,-1.28,191
