date,rank,team,rating,perc_ratings,wins,losses,w_pct,sos,sos_rank
2020-09-03,1,Massachusetts,3.76,90.5,28,4,0.88,1.42,2
2020-09-03,2,Oregon,3.63,89.3,45,3,0.94,0.39,30
2020-09-03,3,Minnesota,3.57,88.7,39,6,0.87,1.24,8
2020-09-03,4,Georgia,3.18,84.3,23,5,0.82,1.21,9
2020-09-03,5,Wisconsin,3.1,83.2,33,6,0.85,0.76,19
2020-09-03,6,North Carolina-Wilmington,3.1,83.2,25,6,0.81,1.17,11
2020-09-03,7,Harvard,2.86,79.6,28,10,0.74,1.37,3
2020-09-03,8,Pittsburgh,2.86,79.6,33,9,0.79,1.08,13
2020-09-03,9,Colorado,2.48,72.6,26,8,0.76,0.88,15
2020-09-03,10,Stanford,2.44,72.0,25,7,0.78,0.83,16
2020-09-03,11,North Carolina,2.41,71.4,22,9,0.71,1.29,6
2020-09-03,12,Washington,2.26,68.1,35,13,0.73,0.96,14
2020-09-03,13,Florida,2.07,64.0,24,12,0.67,1.25,7
2020-09-03,14,Texas A&M,2.07,63.8,20,11,0.65,1.2,10
2020-09-03,15,Carleton College,2.01,62.4,24,14,0.63,1.37,4
2020-09-03,16,Michigan,1.78,57.0,23,10,0.7,0.73,21
2020-09-03,17,British Columbia,1.76,56.5,25,10,0.71,0.45,28
2020-09-03,18,Texas,1.63,53.3,18,9,0.67,0.64,24
2020-09-03,19,Virginia Commonwealth,1.61,52.7,26,7,0.79,-0.21,59
2020-09-03,20,Connecticut,1.57,51.6,26,11,0.7,0.22,35
2020-09-03,21,Florida State,1.5,49.9,17,14,0.55,1.3,5
2020-09-03,22,Georgia College,1.39,47.2,30,3,0.91,-1.29,173
2020-09-03,23,Ohio State,1.37,46.8,25,10,0.71,0.25,33
2020-09-03,24,Virginia Tech,1.35,46.3,17,10,0.63,0.64,25
2020-09-03,25,James Madison,1.33,45.7,20,11,0.65,0.67,23
2020-09-03,26,Georgia Tech,1.32,45.6,25,7,0.78,-0.22,60
2020-09-03,27,Brigham Young,1.3,45.0,19,11,0.63,0.69,22
2020-09-03,28,Auburn,1.27,44.2,24,14,0.63,0.63,26
2020-09-03,29,Cal Poly-SLO,1.24,43.4,34,21,0.62,0.58,27
2020-09-03,30,Case Western Reserve,1.22,43.0,32,14,0.7,0.09,43
2020-09-03,31,California-Santa Barbara,1.15,41.3,20,13,0.61,0.74,20
2020-09-03,32,New Hampshire,1.14,41.2,24,3,0.89,-0.92,120
2020-09-03,33,Bryant,1.11,40.5,16,4,0.8,-0.43,77
2020-09-03,34,Missouri,1.07,39.4,21,10,0.68,0.07,45
2020-09-03,35,Purdue,1.07,39.3,20,6,0.77,-0.35,69
2020-09-03,36,Arkansas,1.05,38.9,26,11,0.7,0.01,46
2020-09-03,37,Utah,0.98,37.2,21,10,0.68,-0.11,55
2020-09-03,38,Western Washington,0.95,36.6,23,21,0.52,0.78,18
2020-09-03,39,Franciscan,0.94,36.4,32,7,0.82,-0.97,126
2020-09-03,40,Oregon State,0.94,36.4,24,14,0.63,-0.04,50
2020-09-03,41,Richmond,0.91,35.7,30,6,0.83,-0.97,125
2020-09-03,42,Georgetown,0.9,35.4,28,8,0.78,-0.52,82
2020-09-03,43,Victoria,0.87,34.8,16,11,0.59,0.22,36
2020-09-03,44,Maryland,0.85,34.3,26,11,0.7,-0.17,58
2020-09-03,45,Brandeis,0.82,33.5,26,8,0.76,-0.56,85
2020-09-03,46,California-San Diego,0.8,33.1,24,14,0.63,0.12,38
2020-09-03,47,Penn State,0.8,33.1,25,10,0.71,-0.37,71
2020-09-03,48,North Carolina State,0.77,32.5,19,10,0.66,-0.04,51
2020-09-03,49,Central Florida,0.76,32.3,11,20,0.35,1.6,1
2020-09-03,50,Wheaton Illinois,0.74,31.9,23,6,0.79,-0.89,119
2020-09-03,51,Ohio,0.68,30.5,17,9,0.65,-0.06,52
2020-09-03,52,St John's,0.66,30.2,19,3,0.86,-1.37,183
2020-09-03,53,South Carolina,0.66,30.2,23,9,0.72,-0.56,86
2020-09-03,54,LSU,0.61,29.0,19,10,0.66,-0.1,54
2020-09-03,55,George Washington,0.55,27.8,21,10,0.68,-0.34,66
2020-09-03,56,Brown,0.55,27.8,11,12,0.48,0.81,17
2020-09-03,57,Lewis & Clark,0.52,27.4,25,7,0.78,-1.38,185
2020-09-03,58,Knox,0.51,27.1,18,6,0.75,-0.79,114
2020-09-03,59,Notre Dame,0.51,27.1,22,11,0.67,-0.38,72
2020-09-03,60,Air Force,0.49,26.6,36,13,0.73,-0.82,115
2020-09-03,61,Northwestern,0.48,26.4,23,12,0.66,-0.34,68
2020-09-03,62,Kansas,0.41,25.2,18,11,0.62,-0.29,65
2020-09-03,63,Colorado State,0.39,24.9,18,15,0.55,0.37,31
2020-09-03,64,Wisconsin-Milwaukee,0.38,24.7,19,10,0.66,-0.27,62
2020-09-03,65,Tufts,0.35,24.0,13,10,0.57,0.16,37
2020-09-03,66,Carleton College-GoP,0.34,23.9,31,11,0.74,-1.07,142
2020-09-03,67,Valparaiso,0.33,23.7,28,7,0.8,-1.57,220
2020-09-03,68,Tulane,0.31,23.4,13,11,0.54,0.25,34
2020-09-03,69,Indiana Wesleyan,0.29,23.0,27,14,0.66,-0.59,89
2020-09-03,70,Whitman,0.25,22.3,14,11,0.56,-0.02,49
2020-09-03,71,Williams,0.2,21.4,23,9,0.72,-0.87,118
2020-09-03,72,Cornell,0.15,20.7,18,6,0.75,-1.02,132
2020-09-03,73,Colorado College,0.13,20.3,24,10,0.71,-1.02,134
2020-09-03,74,Arizona State,0.11,19.9,9,17,0.35,1.12,12
2020-09-03,75,Iowa State,0.11,19.9,21,14,0.6,-0.36,70
2020-09-03,76,Cincinnati,0.09,19.6,13,13,0.5,0.09,42
2020-09-03,77,North Carolina-Asheville,0.08,19.5,24,15,0.62,-0.69,106
2020-09-03,78,California-Santa Cruz,0.06,19.2,15,10,0.6,-0.34,67
2020-09-03,79,North Carolina B,0.05,19.0,10,0,1.0,-2.8,439
2020-09-03,80,John Brown,0.04,18.8,21,12,0.64,-0.65,94
2020-09-03,81,Arizona,0.03,18.7,14,8,0.64,-0.43,76
2020-09-03,82,Illinois,0.03,18.7,17,19,0.47,0.09,44
2020-09-03,83,Texas Christian,0.01,18.4,24,11,0.69,-0.97,127
2020-09-03,84,Pennsylvania,0.01,18.4,17,10,0.63,-0.52,81
2020-09-03,85,Chicago,-0.04,17.7,23,14,0.62,-0.74,110
2020-09-03,86,Davidson,-0.05,17.5,20,13,0.61,-0.52,83
2020-09-03,87,Iowa,-0.07,17.2,18,10,0.64,-0.72,107
2020-09-03,88,William & Mary,-0.08,17.1,16,10,0.62,-0.57,87
2020-09-03,89,RIT,-0.14,16.3,22,4,0.85,-2.08,321
2020-09-03,90,Lehigh,-0.17,15.8,20,13,0.61,-0.63,91
2020-09-03,91,Clemson,-0.18,15.7,22,15,0.59,-0.77,111
2020-09-03,92,NYU,-0.2,15.4,25,4,0.86,-2.2,352
2020-09-03,93,Luther,-0.21,15.3,21,18,0.54,-0.27,63
2020-09-03,94,Vermont,-0.22,15.2,21,14,0.6,-0.69,104
2020-09-03,95,Connecticut College,-0.24,14.9,13,5,0.72,-1.26,167
2020-09-03,96,Washington University,-0.25,14.8,15,11,0.58,-0.54,84
2020-09-03,97,Dartmouth,-0.27,14.5,16,13,0.55,-0.42,74
2020-09-03,98,Messiah,-0.28,14.4,23,10,0.7,-1.28,172
