event,division,season,id
Illinois D-I College Men's CC,College,2019,2025
Illinois D-III College Men's CC,College,2019,2026
Lake Superior D-I College Men's CC,College,2019,2027
Lake Superior D-III College Men's CC,College,2019,2028
Metro Boston D-I College Men's CC,College,2019,2029
Metro Boston D-III College Men's CC,College,2019,2030
Metro Boston Dev College Men's CC,College,2019,2031
Metro East Dev College Men's CC,College,2019,2032
Metro NY D-I College Men's CC,College,2019,2033
Metro NY D-III College Men's CC,College,2019,2034
Michigan D-I College Men's CC,College,2019,2035
Norcal D-I College Men's CC,College,2019,2036
North Central Dev College Men's CC,College,2019,2037
North New England D-III College Men's CC,College,2019,2038
Northern Atlantic Coast D-III College Men's CC,College,2019,2039
North Texas D-I College Men's CC,College,2019,2040
Northwest D-III College Men's CC,College,2019,2041
Northwoods D-I College Men's CC,College,2019,2042
Northwoods D-III College Men's CC,College,2019,2043
Ohio D-I College Men's CC,College,2019,2044
Ohio D-III College Men's CC,College,2019,2045
Ohio Valley Dev College Men's CC,College,2019,2046
Ozarks D-I College Men's CC,College,2019,2047
Ozarks D-III College Men's CC,College,2019,2048
Rocky Mountain D-I College Men's CC,College,2019,2049
Rocky Mountain D-III College Men's CC,College,2019,2050
SoCal D-I College Men's CC,College,2019,2051
Southeast Dev College Men's CC,College,2019,2052
Southern Appalachian D-I College Men's CC,College,2019,2053
Southern Atlantic Coast Dev College Men's CC,College,2019,2054
South New England D-III College Men's CC,College,2019,2055
South Texas D-I College Men's CC,College,2019,2056
Southwest D-III College Men's CC,College,2019,2057
Southwest Dev College Men's CC,College,2019,2058
Texas D-III College Men's CC,College,2019,2059
Virginia D-I College Men's CC,College,2019,2060
Western NY D-I College Men's CC,College,2019,2061
Western NY D-III College Men's CC,College,2019,2062
West Penn D-I College Men's CC,College,2019,2063
West Penn D-III College Men's CC,College,2019,2064
West Plains D-I College Men's CC,College,2019,2065
West Plains D-III College Men's CC,College,2019,2066
Western Southeast D-III College Men's CC,College,2019,2067
Atlantic Coast Dev College Women's CC,College,2019,2068
Atlantic Coast D-III College Women's CC,College,2019,2069
Big Sky D-I College Women's CC,College,2019,2070
Carolina D-I College Women's CC,College,2019,2071
Cascadia D-I College Women's CC,College,2019,2072
Colonial D-I College Women's CC,College,2019,2073
Desert D-I College Women's CC,College,2019,2074
Eastern Great Lakes D-I College Women's CC,College,2019,2075
Eastern Metro East D-I College Women's CC,College,2019,2076
Eastern Metro East D-III College Women's CC,College,2019,2077
Florida D-I College Women's CC,College,2019,2078
Greater New England D-I College Women's CC,College,2019,2079
Great Lakes D-III College Women's CC,College,2019,2080
Gulf Coast D-I College Women's CC,College,2019,2081
Illinois D-I College Women's CC,College,2019,2082
Lake Superior D-I College Women's CC,College,2019,2083
Metro Boston D-I College Women's CC,College,2019,2084
Metro Boston D-III College Women's CC,College,2019,2085
New England Dev College Women's CC,College,2019,2086
NorCal D-I College Women's CC,College,2019,2087
North Central D-III College Women's CC,College,2019,2088
North New England D-III College Women's CC,College,2019,2089
Northwest D-III College Women's CC,College,2019,2090
Ohio D-I College Women's CC,College,2019,2091
Ohio D-III College Women's CC,College,2019,2092
Ozarks D-I College Women's CC,College,2019,2093
Pennsylvania D-I College Women's CC,College,2019,2094
Pennsylvania D-III College Women's CC,College,2019,2095
Rocky Mountain D-I College Women's CC,College,2019,2096
South Central D-III College Women's CC,College,2019,2097
Southeast D-III College Women's CC,College,2019,2098
South New England D-III College Women's CC,College,2019,2099
SoCal D-I College Women's CC,College,2019,2100
Southern Appalachian D-I College Women's CC,College,2019,2101
Southwest Dev College Women's CC,College,2019,2102
Texas D-I College Women's CC,College,2019,2103
Virginia D-I College Women's CC,College,2019,2104
Western NY D-I College Women's CC,College,2019,2105
Western NY D-III College Women's CC,College,2019,2106
Western North Central D-I College Women's CC,College,2019,2107
T-Town Throwdown,College,2019,2108
Carolina Kickoff 2019,College,2019,2109
Flat Tail Open 2019- Men's,College,2019,2110
New Year Fest 2019,College,2019,2111
Santa Barbara Invite 2019,College,2019,2112
Florida Winter Classic 2019,College,2019,2113
Clutch Classic 2019,College,2019,2114
Winta Binta Vinta Fest 2019,College,2019,2115
Big D in Little d (Open) 2019,College,2019,2116
Mid-Atlantic Warmup 2019,College,2019,2117
Royal Crown Classic 2019,College,2019,2118
Florida Warm Up 2019,College,2019,2119
Queen City Tune Up 2019 (Men),College,2019,2120
Stanford Open 2019,College,2019,2121
Ugly Dome I 2019,College,2019,2122
Virginia Showcase Series 2019 (2/9/19),College,2019,2123
Easterns Qualifier 2019,College,2019,2124
Music City Tune-Up 2019,College,2019,2125
Presidents' Day Invite 2019,College,2019,2126
Oak Creek Challenge 2019,College,2019,2127
Ugly Dome II 2019,College,2019,2128
Virginia Showcase Series (2/23/19),College,2019,2129
Dust Bowl 2019,College,2019,2130
Chucktown Throwdown XVI,College,2019,2131
Denver Round Robin 2019,College,2019,2132
Hucking & Shucking 2019,College,2019,2133
President's Day Qualifiers (Women),College,2019,2134
Antifreeze 2019,College,2019,2135
Ultimate Galentine's Celebration 2019,College,2019,2136
Big D in lil d (Women),College,2019,2137
First Annual Jillz Jamboree,College,2019,2138
Luminous 2019,College,2019,2139
Cherry Blossom Classic 2019,College,2019,2140
Santa Clara RAGE President's Day Tournament 2019,College,2019,2141
Commonwealth Cup 2019,College,2019,2142
2019 PLU Women's BBQ,College,2019,2143
Mill City Throwdown 2019,College,2019,2144
Big Sky Brawl 2019,College,2019,2145
FCS D-III Tune Up 2019,College,2019,2146
Huckin' in the Hills VI,College,2019,2147
Mardi Gras XXXII,College,2019,2148
Midwest Throwdown 2019,College,2019,2149
19th Annual PLU BBQ Open,College,2019,2150
First Annual Jaxx Jamboree,College,2019,2151
5th Annual West Point Classic,College,2019,2152
G-Dub Fyre Fest 2019,College,2019,2153
Stanford Invite 2019,College,2019,2154
Fracas on the Genesee 2019,College,2019,2155
Atlantic Coast Showcase (3/7/19),College,2019,2156
2019 SoCal Mixer,College,2019,2157
Atlantic City 9,College,2019,2158
Boogienights 2019,College,2019,2159
DiscThrow Inferno,College,2019,2160
No Sleep 'Till Brooklyn,College,2019,2161
D-III Midwestern Invite 2019,College,2019,2162
Classic City Invite 2019,College,2019,2163
Last Call 10,College,2019,2164
Mash-Up 2019,College,2019,2165
Palouse Open 2019,College,2019,2166
Air Force Invite 2019,College,2019,2167
Centex 2019 (Men),College,2019,2168
Shamrock Showdown 2019,College,2019,2169
Oak Creek Invite 2019,College,2019,2170
Tally Classic XIV,College,2019,2171
LolaPaLweiston,College,2019,2172
Atlantic Coast Showcase (3/21/19),College,2019,2173
Virginia Showcase Series (3/23/19),College,2019,2174
Indy Invite College 2019,College,2019,2175
Towson Cup 2019,College,2019,2176
Jersey Devil 8,College,2019,2177
CWRUL Memorial 2019,College,2019,2178
Meltdown 2019,College,2019,2179
Spring Awakening 8,College,2019,2180
Trouble in Vegas 2019,College,2019,2181
The Mightiest Huck 2019,College,2019,2182
Tech Tour 2019,College,2019,2183
College Southerns XVIII,College,2019,2184
Hucktastic Spring 2019,College,2019,2185
2019 NW Challenge - Men's Tier 1,College,2019,2186
Atlantic Coast Open 2019,College,2019,2187
Easterns 2019 (Men),College,2019,2188
Huck Finn XXIII,College,2019,2189
I-85 Rodeo 2019,College,2019,2190
Illinois Invite 8,College,2019,2191
Garden State 9,College,2019,2192
2019 NW Challenge - Tier 2 & 3,College,2019,2193
Old Capitol Open 2019,College,2019,2194
Black Penguins Classic 2019,College,2019,2195
Millersville Round Robin 2019,College,2019,2196
Strong Island Invitational 2019,College,2019,2197
Desert Duel 2019,College,2019,2198
D3 EASTUR 2019,College,2019,2199
Tea Cup 2019,College,2019,2200
Uprising 8,College,2019,2201
Layout Pigout 2019,College,2019,2202
2nd Annual 7th Annual Ben's Bar Mitzvah,College,2019,2203
2019 Claremont Ultimate Classic,College,2019,2204
Bates First Annual First Big Dance,College,2019,2205
Steel Spirit,College,2019,2206
Long Island Classic 2019,College,2019,2207
Forever Winter 2019,College,2019,2208
"Delaware ""The Main Event"" 2019",College,2019,2209
Bonanza 2019,College,2019,2210
Live Free and Sky 2019,College,2019,2211
T-town Throwdown (Women),College,2019,2212
Women's College Centex 2019,College,2019,2213
NW Challenge - Tier 1 Women's,College,2019,2214
Towsontown Throwdown 2019,College,2019,2215
Country Roads Classic,College,2019,2216
West Chester Ram Jam 2019,College,2019,2217
Vermont Open 2019,College,2019,2218
Colby's First Annual Frolic 2019,College,2019,2219
Tulsa Toss Up 2019,College,2019,2220
President's Day Qualifiers (Men),College,2019,2221
Queen City Tune Up 2019 (Women),College,2019,2222
New Year Fest 2020,College,2020,2223
Mardi Gras XXXIII,College,2020,2224
Santa Barbara Invite 2020,College,2020,2225
Oak Creek Challenge 2020,College,2020,2226
Carolina Kickoff 2020,College,2020,2227
Smoky Mountain Invite 2020,College,2020,2228
Pacific Confrontational Open 2020,College,2020,2229
Mid-Atlantic Warmup 2020,College,2020,2230
TTown Throwdown 2020 (Open),College,2020,2231
Clutch Classic 2020,College,2020,2232
Cutlass Classic 2020,College,2020,2233
Stanford Invite 2020,College,2020,2234
PLU BBQ 2020,College,2020,2235
Dust Bowl 2020,College,2020,2236
Easterns Qualifier 2020,College,2020,2237
Florida Warm Up 2020 - Weekend 1,College,2020,2238
Florida Warm Up 2020 - Weekend 2,College,2020,2239
Huckin in the Hills VII,College,2020,2240
Presidents' Day Invite 2020,College,2020,2241
Pacific Confrontational Invite 2020,College,2020,2242
Stanford Open 2020,College,2020,2243
Chucktown Throwdown XVII,College,2020,2244
Queen City Tune-Up 2020 (Open),College,2020,2245
Bring The Huckus 10 2020,College,2020,2246
Big Sky Brawl 2020,College,2020,2247
2nd Annual Royal Crown Classic,College,2020,2248
Chattanooga Classic 2020,College,2020,2249
2020 Men's President's Day Qualifier,College,2020,2250
Midwest Throwdown 2020,College,2020,2251
The Culture 2020,College,2020,2252
No Sleep Till Brooklyn 2020,College,2020,2253
Crouching Tiger Hidden Panda 2020,College,2020,2254
Music City Tune-Up 2020,College,2020,2255
Villanova 2020 Developmental Invitational,College,2020,2256
Lorton Hears a Huck,College,2020,2257
BatCH Bash 2020,College,2020,2258
Mash-Up 2020,College,2020,2259
Pomona Sweethearts 2020,College,2020,2260
Grove's One Day Warmup '20,College,2020,2261
FCS D-III Tune Up 2020,College,2020,2262
2nd Annual Claremont Ultimate Classic,College,2020,2263
Air Force Invite 2020,College,2020,2264
DiscThrow Inferno March 2020,College,2020,2265
Florida Winter Classic 2020,College,2020,2266
Winta Binta Vinta Fest 2020,College,2020,2267
Commonwealth Cup 2020 Weekend 2,College,2020,2268
UMBC Safari Party 2020,College,2020,2269
Queen City Tune Up 2020 (Women),College,2020,2270
Presidents’ Day Qualifier (Women),College,2020,2271
Commonwealth Cup 2020 Weekend 1,College,2020,2272
Are we in love (or just...) 2020,College,2020,2273
Antifreeze 2020,College,2020,2274
Big D in lil d 2020 (Women),College,2020,2275
TowsonTown Throwdown 2020,College,2020,2276
Santa Clara Rage Home Tournament 2020,College,2020,2277
Castle Classic 2020,College,2020,2278
Country Roads Classic 2020,College,2020,2279
TOTs 2020,College,2020,2280
3rd Annual 7th Annual Ben's Bar-Mitzvah,College,2020,2281
Bates Second Annual First Big Dance,College,2020,2282
Forever Winter 2020,College,2020,2283
2020 Women's BBQ,College,2020,2284
