team,team_name,division,gender,competition,region,conference,id
Massachusetts D,,College,Women,Developmental,New England,New England Dev,1438
Boston University B,,College,Women,Developmental,New England,Metro Boston Dev,1439
Michigan Tech,,College,Women,Division III,North Central,Lake Superior DIII,1440
Carleton College-Nova,,College,Women,Division III,North Central,North Central DIII,1441
Cornell College,C-Team,College,Women,Division III,North Central,West Plains DIII,1442
Wooster,RamJam,College,Women,Division III,Ohio Valley,Ohio D-III,1443
Kenyon,SERF,College,Women,Division III,Ohio Valley,Ohio D-III,1444
Cedarville,Swarm,College,Women,Division III,Ohio Valley,Ohio D-III,1445
Ohio Northern,Darkside,College,Women,Division III,Ohio Valley,Ohio D-III,1446
Saint Louis,,College,Women,Division I,South Central,Ozarks D-I,1447
Oklahoma State,Ultimato,College,Women,Division I,South Central,Ozarks D-I,1448
Swarthmore B,,College,Women,Division III,Ohio Valley,Pennsylvania D-III,1449
Dickinson,Jive Turkeys,College,Women,Division III,Ohio Valley,West Penn DIII,1450
Missouri S&T,Miner Threat,College,Women,Division III,South Central,South Central DIII,1451
Dallas,UDU,College,Women,Division III,South Central,South Central DIII,1452
Smith,,College,Women,Division III,New England,South New England D-III,1453
Hampshire,Red Scare,College,Women,Division III,New England,South New England D-III,1454
Worcester Polytechnic,,College,Women,Division III,New England,South New England D-III,1455
Clark,Clark Trigger Happy,College,Women,Division III,New England,South New England D-III,1456
Cornell B,,College,Women,Developmental,Metro East,Metro East Dev,1457
SUNY-Binghamton,SUNY-Binghamton,College,Women,Division I,Metro East,Western NY DI,1458
Rochester,Piggies,College,Women,Division I,Metro East,Western NY DI,1459
Colgate,Jabberwock,College,Women,Division III,Metro East,Western NY DIII,1460
Hamilton,Hot Saucers,College,Women,Division III,Metro East,Western NY DIII,1461
Northern Iowa,AmmUNItion,College,Women,Division I,North Central,West Plains DI,1462
Illinois State B,,College,Men,Developmental,Great Lakes,Great Lakes Dev,1463
Southern Mississippi,Southern Miss Ultimate,College,Men,Division I,Southeast,Gulf Coast DI,1464
Texas-Dallas B,,College,Men,Division I,South Central,North Texas DI,1465
Oklahoma B,,College,Men,Division I,South Central,Ozarks DI,1466
Boston College B,,College,Men,Developmental,New England,Metro Boston Dev,1467
Hendrix,Flying Squirrels,College,Men,Division III,South Central,South Central DIII,1468
Wingate,,College,Men,Division III,Atlantic Coast,Carolina D-III,1469
North Carolina-Asheville,UNC Asheville Bulldogs,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1470
Hendrix,Flying Squirrels,College,Women,Division III,South Central,South Central DIII,1471
Union,Electric City Plastic,College,Women,Division III,Metro East,Hudson Valley DIII,1472
Pennsylvania B,,College,Women,Developmental,Ohio Valley,Ohio Valley Dev,1473
Bates,Bates Orange Whip,College,Men,Division III,New England,North New England D-III,1474
Texas A&M C,,College,Men,Division I,South Central,South Texas DI,1475
Southern Illinois-Edwardsville,,College,Men,Division I,Great Lakes,Illinois D-I,1476
Seattle B,,College,Men,,,,1477
SUNY New Paltz,,College,Men,Division I,Metro East,Eastern Metro East D-I,1478
Miami Upper,,College,Men,,,,1479
Kettering,,College,Men,Division III,Great Lakes,East Plains DIII,1480
Winona State,Experience,College,Women,Division I,North Central,Northwoods D-I,1481
Bradley,Angry Otters,College,Men,Division III,Great Lakes,Illinois D-III,1482
Tennessee Tech,,College,Men,Division I,Southeast,Southern Appalachian DI,1483
Bates B,,College,Men,,,,1484
Brandeis B,,College,Men,Developmental,New England,Metro Boston Dev,1485
Emerson,,College,Men,Division III,New England,Metro Boston DIII,1486
Eastern Illinois,Reaper,College,Men,Division I,Great Lakes,Illinois D-I,1487
Trine,Thunder Ultimate,College,Men,Division III,Great Lakes,East Plains DIII,1488
Eastern Michigan,Fighting Hellfish,College,Women,Division I,Great Lakes,Eastern Great Lakes D-I,1489
Illinois-Chicago,Funk,College,Men,Division I,Great Lakes,Illinois D-I,1490
Wisconsin-Stevens Point,Homegrown,College,Women,Division I,North Central,Lake Superior DI,1491
Rensselaer Polytech B,,College,Men,,,,1492
Saint Joseph's,,College,Men,Division I,Ohio Valley,East Penn DI,1493
Rhode Island B,,College,Men,Developmental,New England,South New England Dev,1494
Franklin & Marshall,Deep Blue,College,Men,Division III,Ohio Valley,East Penn DIII,1495
Millersville,Moose,College,Men,Division I,Ohio Valley,East Penn DI,1496
Villanova B,,College,Men,,,,1497
Jefferson,,College,Women,Division III,Ohio Valley,Pennsylvania D-III,1498
Millersville,Moose,College,Women,Division I,Ohio Valley,East Penn DI,1499
Temple B,,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,1500
Watchung Hills,,College,Women,,,,1501
Muhlenberg,Flying Squirrels,College,Women,Division III,Ohio Valley,East Penn DIII,1502
Gonzaga,GURU,College,Women,Division I,Northwest,Big Sky DI,1503
Chicago B,,College,Men,Developmental,Great Lakes,Eastern Great Lakes Dev,1504
Northwestern-St. Paul,,College,Men,Division III,North Central,Northwoods D-III,1505
Southern Indiana,Fusion,College,Men,Division I,Great Lakes,East Plains DI,1506
Northern Michigan,Riptide,College,Women,Division I,North Central,Lake Superior DI,1507
Amherst College B,,College,Men,Developmental,New England,Greater New England Dev,1508
Amherst Regional,,College,Men,,,,1509
Siena,Siena Saints,College,Men,Division III,Metro East,Hudson Valley DIII,1510
Carnegie Mellon B,,College,Women,,,,1511
Minnesota B,,College,Women,Developmental,North Central,Northwoods Dev,1512
Indiana (Pennsylvania),,College,Women,Division I,Ohio Valley,West Penn DI,1513
Massachusetts B,,College,Men,Developmental,New England,South New England Dev,1514
Carleton College-Hot Karls,,College,Men,Division III,North Central,Northwoods D-III,1515
Beloit College,,College,Men,Division III,North Central,Lake Superior DIII,1516
Harding,Harding Apocalypse,College,Men,Division I,South Central,Ozarks D-I,1517
Utah Valley,,College,Men,Division I,Northwest,Big Sky DI,1518
Western Carolina,,College,Men,Division I,Atlantic Coast,Carolina D-I,1519
North Greenville,Ninja Geese,College,Men,Division III,Atlantic Coast,Carolina D-III,1520
York Pennsylvania,,College,Men,Division III,Ohio Valley,East Penn DIII,1521
Illinois C,,College,Men,Developmental,Great Lakes,Great Lakes Dev,1522
Central Connecticut State,Blue Barracudas,College,Men,Division I,Metro East,Hudson Valley DI,1523
Connecticut College,Dasein,College,Men,Division III,Metro East,Eastern Metro East D-III,1524
Fairfield,,College,Men,Division III,Metro East,Hudson Valley DIII,1525
Vassar,Swinging Monks,College,Men,Division III,Metro East,Hudson Valley DIII,1526
Boston University B,,College,Men,Developmental,New England,Metro Boston Dev,1527
SUNY-Buffalo B,,College,Men,Developmental,Metro East,Metro East Dev,1528
Keene State,,College,Men,Division III,New England,North New England D-III,1529
Amherst B,,College,Men,Developmental,New England,South New England Dev,1530
West Chester B,,College,Men,Developmental,Ohio Valley,Pennsylvania Dev,1531
North Carolina-Wilmington B,,College,Men,Developmental,Atlantic Coast,Virginia Dev,1532
Holy Cross,Purple Heys,College,Men,Division III,New England,South New England D-III,1533
Westfield State,Owls,College,Men,Division III,New England,South New England D-III,1534
California-Davis B,,College,Men,Developmental,Southwest,Southwest Dev,1535
St Lawrence,,College,Men,Division III,Metro East,Western NY DIII,1536
Clarkson,,College,Men,Division III,Metro East,Western NY DIII,1537
Canisius,,College,Men,Division III,Metro East,Western NY DIII,1538
Maryland B,,College,Women,Developmental,Atlantic Coast,Colonial Dev,1539
Rowan,Ruf Riders,College,Women,Division I,Metro East,Metro NY DI,1540
Wesleyan B,,College,Women,Division III,Metro East,Eastern Metro East D-III,1541
Connecticut College,Dasein,College,Women,Division III,Metro East,Eastern Metro East D-III,1542
Hartford,Lighthouse,College,Women,Division III,Metro East,Hudson Valley DIII,1543
