team,team_name,division,gender,competition,region,conference,id
Reed,Berserk,College,Men,Division III,Northwest,Northwest DIII,1752
Nevada-Reno B,,College,Men,Developmental,Southwest,Southwest Dev,1753
Rexroth State University,,College,Women,,,,1754
Fordham,,College,Men,,,,1755
Fordham,,College,Women,,,,1756
East Tennessee State,,College,Men,Division I,Southeast,Southern Appalachian DI,1757
Pennsbury B,,College,Women,,,,1758
Cleveland State,Burning River Vikings,College,Women,Division I,Ohio Valley,Ohio D-I,1759
Yorktown/Washington-Lee,,College,Women,,,,1760
Saint Joseph's,,College,Women,Division I,Ohio Valley,East Penn DI,1761
Dalton State,,College,Men,Division III,Southeast,Eastern Southeast DIII,1762
New York Tech,,College,Men,Division III,Metro East,Metro NY DIII,1763
North Carolina-Charlotte,Charlotte,College,Women,Division I,Atlantic Coast,Carolina D-I,1764
Stonehill,Stonehill College Men's Ultimate,College,Women,Division III,New England,Metro Boston DIII,1765
Tufts C,,College,Women,Developmental,New England,Metro Boston Dev,1766
St. Olaf B,,College,Women,Division III,North Central,North Central DIII,1767
Scranton,Electric City Scranton Ultimate,College,Women,Division III,Ohio Valley,East Penn DIII,1768
Colorado-Denver,Frostbite,College,Women,Division I,South Central,Rocky Mountain DI,1769
Roger Williams,Rainbow Fish,College,Women,Division III,New England,South New England D-III,1770
Alabama-Huntsville B,,College,Men,,,,1771
Columbus State,,College,Men,,,,1772
Illinois-Chicago,Funk,College,Women,Division I,Great Lakes,Illinois D-I,1773
Ottawa-Arizona,,College,Men,,,,1774
Stockton,Stockton,College,Women,Division I,Metro East,Metro NY DI,1775
Northern Arizona B,,College,Men,,,,1776
Kenyon B,,College,Men,,,,1777
Ave Maria,Cristeros,College,Women,Division III,Southeast,Eastern Southeast DIII,1778
Kalamazoo B,,College,Men,Developmental,Great Lakes,Eastern Great Lakes Dev,1779
Gordon,Gordon Commissioners,College,Men,Division III,New England,Metro Boston DIII,1780
SUNY-New Paltz,Gunx,College,Women,Division I,Metro East,Hudson Valley DI,1781
San Francisco State,Fog Ultimate,College,Women,Division I,Southwest,NorCal D-I,1782
Simon Fraser,Simon Fraser University Clan,College,Men,,,,1783
Brigham Young C,,College,Men,,,,1784
SUNY-Brockport B,,College,Men,,,,1785
Franklin Pierce,,College,Men,Division III,New England,North New England DIII,1786
Bowdoin B,,College,Men,Developmental,New England,North New England Dev,1787
York,,College,Men,Division III,Ohio Valley,East Penn DIII,1788
San Diego,,College,Men,Division III,Southwest,Southwest DIII,1789
Gustavus Adolphus,The High,College,Women,Division III,North Central,Northwoods D-III,1790
Redlands,,College,Women,,,,1791
Hanover,,College,Men,,,,1792
Brigham Young-Idaho,,College,Women,,,,1793
Brigham Young-Idaho,,College,Men,,,,1794
Hunter College,,College,Men,,,,1795
Manitoba,,College,Men,Division I,North Central,Northwoods DI,1796
Nichols,,College,Men,Division III,New England,South New England DIII,1797
Averett,,College,Men,Developmental,Atlantic Coast,Virginia Dev,1798
Texas Christian B,,College,Men,,,,1799
Raritan Valley,,College,Men,,,,1800
Walter Payton,,College,Women,,,,1801
Northeastern C,,College,Women,Developmental,New England,Metro Boston Dev,1802
Ohio Valley,,College,Men,,,,1803
Union (Tennessee),,College,Women,Division III,Southeast,Southeast D-III,1804
