team_id,team,gender,division,city,state,region,section
20833,Koi,Women,Club,Vancouver,British Columbia,Northwest,Washington/BC
20805,Broad City,Women,Club,Philadelphia,PA,Mid-Atlantic,Founders
20803,FAB,Women,Club,Bay Area,CA,Southwest,NorCal
20746,Brooklyn Book Club,Women,Club,Brooklyn,NY,Northeast,Metro NY
20739,Red Hot Ultimate,Women,Club,Columbia,SC,Southeast,East Coast
20638,Heist,Women,Club,Madison,WI,North Central,Northwest Plains
20603,Grit,Women,Club,Washington,DC,Mid-Atlantic,Capital
20588,Underground,Women,Club,Seattle,WA,Northwest,Washington/BC
20436,Seven Devils,Women,Club,Boise,ID,Northwest,Big Sky
20187,Virginia Rebellion,Women,Club,Richmond,VA,Mid-Atlantic,Capital
19974,Dish,Women,Club,Chicago,IL,Great Lakes,Central Plains
19342,Ignite,Women,Club,"Hartford, CT",CT,Northeast,Metro NY
19288,Steel,Women,Club,Birmingham,AL,Southeast,Gulf Coast
19277,Pop,Women,Club,Minneapolis,MN,North Central,Northwest Plains
19241,Nemesis,Women,Club,Chicago,IL,Great Lakes,Central Plains
19202,Roc Paper Scissors,Women,Club,Rochester,NY,Northeast,Upstate NY
