team_id,team,gender,division,city,state,region,section
20856,Rainbow,Mixed,Club,Somerville,MA,Northeast,East New England
20848,Mojo Jojo,Mixed,Club,Minneapolis,MN,North Central,Northwest Plains
20747,American Barbecue,Mixed,Club,San Francisco,CA,Southwest,NorCal
20685,Tyrannis,Mixed,Club,Charlottesville,VA,Mid-Atlantic,Capital
20674,Alloy,Mixed,Club,Pittsburgh,PA,Mid-Atlantic,Founders
20654,Spoiler Alert,Mixed,Club,Los Angeles,CA,Southwest,So Cal
20598,Auburn HeyDay,Mixed,Club,Auburn,AL,Southeast,Gulf Coast
20546,Night Shift,Mixed,Club,Walpole/Taunton,MA,Northeast,East New England
20528,The Strangers,Mixed,Club,Westminster,CO,South Central,Rocky Mountain
20521,Mad Udderburn,Mixed,Club,Madison,WI,North Central,Northwest Plains
20509,Rat City,Mixed,Club,Baltimore,MD,Mid-Atlantic,Capital
20503,Polar Bears,Mixed,Club,Berkeley,CA,Southwest,NorCal
20464,Mastodon,Mixed,Club,Madison,WI,North Central,Northwest Plains
20461,Birds,Mixed,Club,Long Island,NY,Northeast,Metro NY
20452,Woodwork,Mixed,Club,Omaha,NE,North Central,West Plains
20442,Baywatch,Mixed,Club,Pensacola,FL,Southeast,Florida
20340,Boomtown,Mixed,Club,Tulsa,OK,South Central,Ozarks
20314,Columbus Cocktails,Mixed,Club,Columbus,OH,Great Lakes,East Plains
20311,Derby City Thunder,Mixed,Club,Louisville,KY,Great Lakes,East Plains
20302,Steamboat,Mixed,Club,Cincinnati,OH,Great Lakes,East Plains
20205,Battleship,Mixed,Club,St-Jean-sur-Richelieu,Quebec,Northeast,East New England
20035,Rampage,Mixed,Club,Raleigh,NC,Southeast,North Carolina
19803,Lochsa,Mixed,Club,Boise,ID,Northwest,Big Sky
19769,Buffalo Lake Effect,Mixed,Club,Buffalo,NY,Northeast,Upstate NY
19723,Northern Comfort,Mixed,Club,Milwaukee,WI,North Central,Northwest Plains
19718,Mousetrap,Mixed,Club,Madison,WI,North Central,Northwest Plains
19330,Grand Army,Mixed,Club,Brooklyn,NY,Northeast,Metro NY
19262,PanIC,Mixed,Club,Iowa City,IA,North Central,West Plains
19257,XIST,Mixed,Club,New York,NY,Northeast,Metro NY
19252,AMP,Mixed,Club,Philadelphia,PA,Mid-Atlantic,Founders
19222,Sunken Circus,Mixed,Club,Portland,ME,Northeast,East New England
19206,JLP,Mixed,Club,Atlanta,GA,Southeast,East Coast
19204,Chalice,Mixed,Club,St. Louis,MO,North Central,West Plains
