team,team_name,division,gender,competition,region,conference,id
Xavier,B.L.O.B.,College,Men,Division III,Ohio Valley,Ohio DIII,1020
Willamette University,Asylum,College,Men,Division III,Northwest,Northwest DIII,1021
Maryland B,Astro Quakers,College,Men,Developmental,Atlantic Coast,Colonial Dev,1022
Amherst College,Army of Darkness,College,Men,Division III,New England,South New England DIII,1023
Vanderbilt,Armada,College,Men,Division I,Southeast,Gulf Coast DI,1024
Saint Louis,Archangel,College,Men,Division I,South Central,Ozarks DI,1025
Michigan State,ARC,College,Men,Division I,Great Lakes,Michigan DI,1026
Oklahoma,Apes of Wrath,College,Men,Division I,South Central,Ozarks DI,1027
Northern Iowa,AmmUNItion,College,Men,Division I,North Central,West Plains DI,1028
Temple,Alert,College,Men,Division I,Ohio Valley,East Penn DI,1029
Wright State,Airstrike,College,Men,Division I,Ohio Valley,Ohio DI,1030
California-San Diego B,Air Squids LITE,College,Men,Developmental,Southwest,Southwest Dev,1031
California-San Diego,Air Squids,College,Men,Division I,Southwest,SoCal DI,1032
Washington State,Air Raid,College,Men,Division I,Northwest,Big Sky DI,1033
Caltech,Aftermath,College,Men,Division III,Southwest,Southwest DIII,1034
Air Force,Afterburn,College,Men,Division III,South Central,Rocky Mountain DIII,1035
Auburn,Aetos,College,Men,Division I,Southeast,Gulf Coast DI,1036
Ohio Wesleyan,Yetis,College,Women,Division III,Ohio Valley,Ohio DIII,1037
Charleston,Charleston,College,Women,Division I,Atlantic Coast,Carolina DI,1038
Michigan B,BFLY,College,Women,Developmental,Great Lakes,Eastern Great Lakes DI,1039
Northwestern B,GungHo B,College,Women,Division I,Great Lakes,Illinois DI,1040
Rhode Island,Disky Business,College,Women,Division I,New England,Greater New England DI,1041
Towson B,Hammertime B,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev,1042
Washington University B,Washington University (Locamotive),College,Women,Developmental,South Central,Ozarks DI,1043
Minnesota,Ninjas,College,Women,Division I,North Central,Western North Central DI,1044
Jacksonville State,Fuego,College,Women,,Southeast,Gulf Coast DI,1045
Arizona B,Sirens,College,Women,Developmental,Southwest,Southwest Dev,1046
RIT,Yams,College,Women,Division I,Metro East,Western NY DI,1047
Purdue,Xpress,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,1048
Georgia Tech B,Wreck B,College,Women,Developmental,Southeast,Southern Appalachian DI,1049
Georgia Tech,Wreck,College,Women,Division I,Southeast,Southern Appalachian DI,1050
Texas Christian,Wrath,College,Women,Division I,South Central,Texas DI,1051
Occidental,Women's Air Corps (WAC),College,Women,Division III,Southwest,SoCal DI,1052
Notre Dame,Womb,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,1053
Iowa State,Woman Scorned,College,Women,Division I,North Central,Western North Central DI,1054
Cornell,Wild Roses,College,Women,Division I,Metro East,Western NY DI,1055
Whitman,Whitman Sweets,College,Women,Division I,Northwest,Big Sky DI,1056
Texas-Dallas,Whiplash,College,Women,Division I,South Central,Texas DI,1057
West Chester,West Chester,College,Women,Division I,Ohio Valley,Pennsylvania DI,1058
Swarthmore,Warmothers,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1059
Vanderbilt,VUDU,College,Women,Division I,Southeast,Gulf Coast DI,1060
St Olaf,Vortex,College,Women,Division III,North Central,North Central DIII,1061
Georgia State,Vixen,College,Women,Division I,Southeast,Southern Appalachian DI,1062
Virginia B,Virginia,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev,1063
Wesleyan,Vicious Circles,College,Women,Division III,Metro East,Eastern Metro East DIII,1064
Vermont B,Vermont B,College,Women,Developmental,New England,New England Dev,1065
Pennsylvania,Venus,College,Women,Division I,Ohio Valley,Pennsylvania DI,1066
Virginia Commonwealth,Vendetta,College,Women,Division I,Atlantic Coast,Virginia DI,1067
Northeastern,Valkyries A,College,Women,Division I,New England,Metro Boston DI,1068
Northeastern B,Valkyries,College,Women,Developmental,New England,New England Dev,1069
Victoria,UVixens,College,Women,Division I,Northwest,Cascadia DI,1070
Belmont,URSA,College,Women,Division III,Southeast,Southeast DIII,1071
Portland,UPRoar,College,Women,Division III,Northwest,Northwest DIII,1072
Boston University,Uprising,College,Women,Division I,New England,Metro Boston DI,1073
California-San Diego,UCSD D-Co Womxn's Ultimate,College,Women,Division I,Southwest,SoCal DI,1074
Connecticut,UConn Rise,College,Women,Division I,Metro East,Eastern Metro East DI,1075
UCLA B,UCLA Midas,College,Women,Developmental,Southwest,Southwest Dev,1076
California-San Diego B,UC San Diego Berserk Coalition,College,Women,Developmental,Southwest,Southwest Dev,1077
California-Davis B,UC Davis -B,College,Women,Developmental,Southwest,Southwest Dev,1078
Emory B,Tuna,College,Women,Developmental,Southeast,Southern Appalachian DI,1079
Truman State,TSUnami Women's Ultimate,College,Women,Division III,South Central,South Central DIII,1080
Texas State,Trainwreck,College,Women,Division I,South Central,Texas DI,1081
Cincinnati,Toxic,College,Women,Division I,Ohio Valley,Ohio DI,1082
Rice,Torque,College,Women,Division III,South Central,South Central DIII,1083
Clemson,Tiger Lilies,College,Women,Division I,Atlantic Coast,Carolina DI,1084
British Columbia,Thunderbirds,College,Women,Division I,Northwest,Cascadia DI,1085
Seattle,Throbot,College,Women,Division III,Northwest,Northwest DIII,1086
SUNY-Buffalo,The Lorax,College,Women,Division I,Metro East,Western NY DI,1087
Missouri,Terror Mizzou,College,Women,Division I,South Central,Ozarks DI,1088
Alabama-Huntsville,Terror,College,Women,Division I,Southeast,Gulf Coast DI,1089
Temple,T.U.F Broads,College,Women,Division I,Ohio Valley,Pennsylvania DI,1090
Temple B,T.U.B,College,Women,Division I,Ohio Valley,Pennsylvania DI,1091
Carleton College,Syzygy,College,Women,Division I,North Central,Western North Central DI,1092
Carleton College - D3,Syzygy,College,Women,Division III,North Central,North Central DIII,1093
Duke,Swerve,College,Women,Division I,Atlantic Coast,Carolina DI,1094
Chicago,Supersnatch,College,Women,,Great Lakes,Illinois DI,1095
SUNY Cortland,SUNY Cortland,College,Women,Division III,Metro East,Western NY DIII,1096
Kennesaw State,Strix,College,Women,Division I,Southeast,Southern Appalachian DI,1097
Stanford,Stanford (Superfly),College,Women,Division I,Southwest,NorCal DI,1098
Ohio,Stacked Cats,College,Women,Division I,Ohio Valley,Ohio DI,1099
Texas A&M,Stacked,College,Women,Division I,South Central,Texas DI,1100
Utah,Spiral Jetty Ultimate,College,Women,Division I,Northwest,Big Sky DI,1101
Amherst College,Sparkle Motion,College,Women,Division III,New England,South New England DIII,1102
Miami,Southern Tropical Depressions,College,Women,Division I,Southeast,Florida DI,1103
Georgia Southern,Southern Sirens,College,Women,Division I,Southeast,Southern Appalachian DI,1104
Wisconsin-Eau Claire,SOL,College,Women,Division I,North Central,Lake Superior DI,1105
California-Santa Cruz,Sol,College,Women,Division I,Southwest,NorCal DI,1106
Arkansas,SoCo,College,Women,Division I,South Central,Ozarks DI,1107
Haverford/Bryn Mawr B,Sneetches B,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1108
Haverford/Bryn Mawr,Sneetches,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1109
MIT,sMITe,College,Women,Division I,New England,Metro Boston DI,1110
SUNY-Stony Brook,Smash,College,Women,Division I,Metro East,Eastern Metro East DI,1111
Cal Poly SLO B,SLO Motion Developmental,College,Women,Developmental,Southwest,Southwest Dev,1112
Cal Poly-SLO,SLO Motion,College,Women,Division I,Southwest,SoCal DI,1113
Skidmore,Skidmore College Thoroughbears,College,Women,Division III,Metro East,Eastern Metro East DIII,1114
Central Florida,Sirens,College,Women,Division I,Southeast,Florida DI,1115
SUNY-Fredonia,Shell Raisers,College,Women,Division III,Metro East,Western NY DIII,1116
Maryland-Baltimore County,Shazam,College,Women,Division I,Atlantic Coast,Colonial DI,1117
FSU B,Seminole Ladies Pt 2,College,Women,Developmental,Southeast,Southeast Dev,1118
Florida State,Seminole Ladies,College,Women,Division I,Southeast,Florida DI,1119
North Carolina-Wilmington,Seaweed,College,Women,Division I,Atlantic Coast,Carolina DI,1120
San Diego State University,SDSU Gnomes,College,Women,Division I,Southwest,SoCal DI,1121
South Carolina,Scorch Ultimate,College,Women,Division I,Atlantic Coast,Carolina DI,1122
Arizona,Scorch,College,Women,Division I,Southwest,Desert DI,1123
South Florida,Scallywenches,College,Women,Division I,Southeast,Florida DI,1124
John Brown,Savage Skies,College,Women,Division III,South Central,South Central DIII,1125
Iowa,Saucy Nancy,College,Women,Division I,North Central,Western North Central DI,1126
Santa Clara,Santa Clara RAGE,College,Women,Division I,Southwest,NorCal DI,1127
Sam Houston State,Sam Houston State,College,Women,,South Central,Texas DI,1128
Wake Forest,Ruckus,College,Women,Division I,Atlantic Coast,Carolina DI,1129
Vermont,Ruckus,College,Women,Division I,New England,Greater New England DI,1130
California-Davis,Rogue,College,Women,Division I,Southwest,NorCal DI,1131
Richmond,Richmond Redhots,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1132
Pacific Lutheran,Reign Women,College,Women,Division III,Northwest,Northwest DIII,1133
St Benedict,Rapture,College,Women,Division III,North Central,North Central DIII,1134
Yale,Ramona,College,Women,Division I,Metro East,Eastern Metro East DI,1135
Alabama,Ramma Jamma,College,Women,Division I,Southeast,Gulf Coast DI,1136
Harvard,Quasar,College,Women,Division I,New England,Metro Boston DI,1137
Colorado,Quandary,College,Women,Division I,South Central,Rocky Mountain DI,1138
Macalester,Pursesnatchers,College,Women,Division III,North Central,North Central DIII,1139
Oberlin B,Preying Manti B,College,Women,Division III,Ohio Valley,Ohio DIII,1140
Oberlin,Preying Manti A,College,Women,Division III,Ohio Valley,Ohio DIII,1141
Pacific Lutheran B,PLU Royals,College,Women,Division III,Northwest,Northwest DIII,1142
North Carolina,Pleiades,College,Women,Division I,Atlantic Coast,Carolina DI,1143
California,Pie Queens,College,Women,Division I,Southwest,NorCal DI,1144
Colorado B,Petra,College,Women,Developmental,South Central,Rocky Mountain DI,1145
Columbia,PANDEMIC,College,Women,Division I,Metro East,Eastern Metro East DI,1146
Portland State,Osiks,College,Women,Division I,Northwest,Cascadia DI,1147
New Hampshire,Oriza Ultimate,College,Women,Division I,New England,Greater New England DI,1148
Western Washington B,Nyx,College,Women,Division I,Northwest,Cascadia DI,1149
NYU,NYU Violet Femmes,College,Women,Division I,Metro East,Eastern Metro East DI,1150
Catholic,Nun Betta,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1151
Appalachian State,Nonads,College,Women,Division I,Atlantic Coast,Carolina DI,1152
Cal State-Long Beach,No Regrets,College,Women,Division I,Southwest,SoCal DI,1153
Mississippi State,Night Mare,College,Women,Division I,Southeast,Gulf Coast DI,1154
Oklahoma,Never Mrs,College,Women,Division I,South Central,Ozarks DI,1155
Tulane,Muses,College,Women,Division I,Southeast,Gulf Coast DI,1156
Montana,MT PillowFight,College,Women,Division I,Northwest,Big Sky DI,1157
Tennessee-Chattanooga,Moxie,College,Women,Division I,Southeast,Southern Appalachian DI,1158
West Virginia,Mountain Mamas,College,Women,Division I,Ohio Valley,Pennsylvania DI,1159
Houston,Metropolis,College,Women,Division I,South Central,Texas DI,1160
Messiah,Messiah Falcons,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1161
Texas,Melee,College,Women,Division I,South Central,Texas DI,1162
Texas B,Mayhem,College,Women,Developmental,South Central,Texas DI,1163
Mary Washington,Mary Massacre,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1164
Hofstra,M45,College,Women,Division I,Metro East,Eastern Metro East DI,1165
Colorado College,Lysistrata's Tools,College,Women,Division I,South Central,Rocky Mountain DI,1166
Georgia College,Lynx rufus,College,Women,Division III,Southeast,Southeast DIII,1167
Emory,Luna,College,Women,Division I,Southeast,Southern Appalachian DI,1168
LSU,LSU Women's Ultimate,College,Women,Division I,Southeast,Gulf Coast DI,1169
Liberty,Liberty Flames,College,Women,Division I,Atlantic Coast,Virginia DI,1170
DePaul,Laser Chains,College,Women,Division I,Great Lakes,Illinois DI,1171
Mississippi,Landsharks,College,Women,Division I,Southeast,Gulf Coast DI,1172
Minnesota-Duluth,LakEffect,College,Women,Division I,North Central,Western North Central DI,1173
Massachusetts,Lady Zoo,College,Women,Division I,New England,Greater New England DI,1174
Williams,La WUFA,College,Women,Division III,New England,South New England DIII,1175
Ithaca,Kweezy Ultimate,College,Women,Division III,Metro East,Western NY DIII,1176
Kentucky,KULT,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,1177
Dayton,Kraken,College,Women,Division I,Ohio Valley,Ohio DI,1178
Air Force,Kiwi,College,Women,Division III,South Central,South Central DIII,1179
Northern Arizona,Jines in the Pines,College,Women,Division I,Southwest,Desert DI,1180
North Carolina State,Jaga Monsta,College,Women,Division I,Atlantic Coast,Carolina DI,1181
Washington University,Iron Horse,College,Women,Division I,South Central,Ozarks DI,1182
Illinois,Illinois,College,Women,Division I,Great Lakes,Illinois DI,1183
Xavier,Ignition,College,Women,Division III,Ohio Valley,Ohio DIII,1184
Idaho,Idaho Gems,College,Women,Division I,Northwest,Big Sky DI,1185
Drake University,iBex,College,Women,Division III,North Central,North Central DIII,1186
Denver,Hype,College,Women,Division I,South Central,Rocky Mountain DI,1187
Virginia,Hydra,College,Women,Division I,Atlantic Coast,Virginia DI,1188
Georgetown,Huckin' Foyas,College,Women,Division I,Atlantic Coast,Colonial DI,1189
Pittsburgh B,High Voltage,College,Women,Division I,Ohio Valley,Pennsylvania DI,1190
Maryland,Helpful Corn,College,Women,Division I,Atlantic Coast,Colonial DI,1191
Southern California,Hellions of Troy,College,Women,Division I,Southwest,SoCal DI,1192
Allegheny,Hellbenderitas,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1193
Colorado State,Hell's Belles,College,Women,Division I,South Central,Rocky Mountain DI,1194
Towson,Hammertime,College,Women,Division I,Atlantic Coast,Colonial DI,1195
Humboldt State,Hags,College,Women,Division I,Southwest,NorCal DI,1196
Northwestern,GungHo,College,Women,Division I,Great Lakes,Illinois DI,1197
Grinnell,Grinneleanor Roosevelts,College,Women,Division III,North Central,North Central DIII,1198
Lehigh B,Gravity,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1199
Lehigh,Gravity,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1200
California-Irvine,Grass Ninjas,College,Women,Division I,Southwest,SoCal DI,1201
George Washington B,Gdub Bippos,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev,1202
George Washington,GDUB A,College,Women,Division I,Atlantic Coast,Colonial DI,1203
Oregon,Fugue,College,Women,Division I,Northwest,Cascadia DI,1204
Florida,FUEL,College,Women,Division I,Southeast,Florida DI,1205
Miami (Ohio),FrisBaes,College,Women,Division I,Ohio Valley,Ohio DI,1206
Luther,Freya,College,Women,Division III,North Central,North Central DIII,1207
Franciscan,Franciscan FIRE,College,Women,Division III,Ohio Valley,Ohio DIII,1208
Marist,FoxU Vixens,College,Women,Division III,Metro East,Eastern Metro East DIII,1209
Syracuse,Fox Force Seven,College,Women,Division I,Metro East,Western NY DI,1210
Michigan,Flywheel,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,1211
Florida Tech,Flux,College,Women,Division III,Southeast,Southeast DIII,1212
Drexel,Flash Point,College,Women,Division I,Ohio Valley,Pennsylvania DI,1213
Salisbury,Flash,College,Women,Division I,Atlantic Coast,Colonial DI,1214
Stanford B,Firefly,College,Women,Developmental,Southwest,NorCal Dev,1215
Case Western Reserve,Fighting Gobies,College,Women,Division I,Ohio Valley,Ohio DI,1216
Ohio State B,Fever-B,College,Women,Developmental,Ohio Valley,Ohio DI,1217
Ohio State,Fever,College,Women,Division I,Ohio Valley,Ohio DI,1218
George Mason,Extinction,College,Women,Division I,Atlantic Coast,Virginia DI,1219
Tufts,EWO (Elephant Women),College,Women,Division I,New England,Metro Boston DI,1220
SUNY-Geneseo,Escargot,College,Women,Division III,Metro East,Western NY DIII,1221
North Texas,Envy,College,Women,Division I,South Central,Texas DI,1222
Colorado School of Mines,Enthalpy,College,Women,Division III,South Central,South Central DIII,1223
Alabama-Birmingham,Ember,College,Women,Division I,Southeast,Gulf Coast DI,1224
Washington,Element,College,Women,Division I,Northwest,Cascadia DI,1225
North Carolina B,Electra,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev,1226
Brown,Disco Inferno,College,Women,Division I,New England,Greater New England DI,1227
Berry,Discie Chicks,College,Women,Division III,Southeast,Southeast DIII,1228
American,Dirty Ladies,College,Women,Division I,Atlantic Coast,Colonial DI,1229
American B,Dirty Bees,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev,1230
Oregon State,Dinos,College,Women,Division I,Northwest,Cascadia DI,1231
Florida B,Diesel,College,Women,Developmental,Southeast,Florida DI,1232
SUNY-Albany,Deception,College,Women,Division I,Metro East,Eastern Metro East DI,1233
Dartmouth,Dartmouth Ultimate,College,Women,Division I,New England,Greater New England DI,1234
Pittsburgh,Danger,College,Women,Division I,Ohio Valley,Pennsylvania DI,1235
Mount Holyoke,Daisy Chain,College,Women,Division III,New England,South New England DIII,1236
Sonoma State,D'Vine,College,Women,Division I,Southwest,NorCal DI,1237
William & Mary,Cypress,College,Women,Division I,Atlantic Coast,Virginia DI,1238
Nebraska,Cuddle Raptors,College,Women,Division I,North Central,Western North Central DI,1239
Penn State,Crisis,College,Women,Division I,Ohio Valley,Pennsylvania DI,1240
Tulsa,Coriolis Force,College,Women,Division III,South Central,South Central DIII,1241
Montana State University,Cold Smoke,College,Women,Division I,Northwest,Big Sky DI,1242
Bates,Cold Front,College,Women,Division III,New England,North New England DIII,1243
Princeton,Clockwork,College,Women,Division I,Metro East,Eastern Metro East DI,1244
Puget Sound,Clearcut,College,Women,Division III,Northwest,Northwest DIII,1245
Claremont,Claremont Greenshirts,College,Women,Division III,Southwest,SoCal DI,1246
Chico State,Chico Chicas,College,Women,Division I,Southwest,NorCal DI,1247
Brigham Young,CHI,College,Women,Division I,Northwest,Big Sky DI,1248
Kansas State,Cheshire,College,Women,Division I,South Central,Ozarks DI,1249
Western Washington,Chaos,College,Women,Division I,Northwest,Cascadia DI,1250
Colby,CDC (Women's),College,Women,Division III,New England,North New England DIII,1251
Arizona State,Caliente,College,Women,Division I,Southwest,Desert DI,1252
Indiana,Calamity Jane,College,Women,Division I,Great Lakes,Eastern Great Lakes DI,1253
California B,Cal Tarts,College,Women,Developmental,Southwest,Southwest Dev,1254
California-Santa Barbara,Burning Skirts,College,Women,Division I,Southwest,SoCal DI,1255
Virginia Tech,Burnettes,College,Women,Division I,Atlantic Coast,Virginia DI,1256
Boise State,Buffalo Gals,College,Women,Division I,Northwest,Big Sky DI,1257
Boston College,Boston College,College,Women,Division I,New England,Metro Boston DI,1258
New Mexico,Bombshells,College,Women,Division I,Southwest,Desert DI,1259
Johns Hopkins,Blue-Footed Boobies,College,Women,Division I,Atlantic Coast,Colonial DI,1260
UCLA,BLU,College,Women,Division I,Southwest,SoCal DI,1261
Wisconsin-Milwaukee,BlackCat,College,Women,Division I,North Central,Lake Superior DI,1262
East Carolina,Black Pearl,College,Women,Division I,Atlantic Coast,Carolina DI,1263
Nevada-Reno,Black Ice,College,Women,Division I,Southwest,NorCal DI,1264
James Madison,Bitchmonkeys,College,Women,Division I,Atlantic Coast,Virginia DI,1265
Tennessee,Big Orange Screw,College,Women,Division I,Southeast,Southern Appalachian DI,1266
Washington B,Big Bang,College,Women,Developmental,Northwest,Cascadia DI,1267
Kansas,Betty Ultimate,College,Women,Division I,South Central,Ozarks DI,1268
Shippensburg,Bellewethers,College,Women,Division III,Ohio Valley,Pennsylvania DIII,1269
Baylor,Bearicade,College,Women,Division I,South Central,Texas DI,1272
Brandeis,Banshee,College,Women,Division III,New England,Metro Boston DIII,1273
Wisconsin-Oshkosh,Aviatrix,College,Women,Division I,North Central,Lake Superior DI,1274
North Georgia,Aurea Ultimate,College,Women,Division III,Southeast,Southeast DIII,1275
Georgia,Athena,College,Women,Division I,Southeast,Southern Appalachian DI,1276
Lewis & Clark,Artemis,College,Women,Division III,Northwest,Northwest DIII,1277
Auburn,Ares,College,Women,Division I,Southeast,Gulf Coast DI,1278
College of New Jersey,Anarchy,College,Women,Division III,Metro East,Eastern Metro East DIII,1279
Trinity,Altitude,College,Women,Division III,South Central,South Central DIII,1280
Knox,Alley Cats,College,Women,Division III,Great Lakes,Great Lakes DIII,1281
Goucher,All You Can Eat,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1282
Akron,Akron Gold Diggers,College,Women,Division I,Ohio Valley,Ohio DI,1283
Christopher Newport,Airbenders,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII,1284
Middlebury,,College,Men,,,,1285
Michigan Tech,,College,Men,,,,1286
Bryant,,College,Men,,,,1287
Bowdoin,,College,Men,,,,1288
Hamilton,,College,Men,,,,1289
Carleton College-Eclipse,,College,Women,,,,1290
Middlebury,,College,Women,,,,1291
Virginia Tech B,,College,Men,,,,1292
James Madison B,,College,Men,,,,1293
Grand Valley State,,College,Men,,,,1294
Valparaiso,,College,Men,,,,1295
North Park,,College,Men,,,,1296
Wheaton Illinois,,College,Men,,,,1297
Rose-Hulman,,College,Men,,,,1298
Rutgers,,College,Men,,,,1299
SUNY-Geneseo,,College,Men,,,,1300
SUNY-Oneonta,,College,Men,,,,1301
Army,,College,Men,,,,1302
Rensselaer Polytech,,College,Men,,,,1303
Massachusetts C,,College,Men,,,,1304
Bentley,,College,Men,,,,1305
Massachusetts-Amherst B,,College,Men,,,,1306
Dartmouth B,,College,Men,,,,1307
Marquette,,College,Men,,,,1308
Minnesota B,,College,Men,,,,1309
Winona State,,College,Men,,,,1310
St Olaf,,College,Men,,,,1311
Macalester,,College,Men,,,,1312
Wisconsin-Platteville,,College,Men,,,,1313
Montana State University,,College,Men,,,,1314
Muhlenberg,,College,Men,,,,1315
Belmont,,College,Men,,,,1316
Las Positas,,College,Men,,,,1317
Delaware,,College,Women,,,,1318
Ball State,,College,Women,,,,1319
Ottawa,,College,Women,,,,1320
Rensselaer Polytech,,College,Women,,,,1321
Vassar,,College,Women,,,,1322
SUNY-Oneonta,,College,Women,,,,1323
Bowdoin,,College,Women,,,,1324
Wellesley,,College,Women,,,,1325
Marquette,,College,Women,,,,1326
Carnegie Mellon,,College,Women,,,,1327
Haverford,,College,Women,,,,1328
Texas-San Antonio,,College,Women,,,,1329
Anderson,,College,Men,,,,1330
Georgetown B,,College,Men,,,,1331
Ursinus,,College,Men,,,,1332
Lancaster Bible,,College,Men,,,,1333
Scranton,,College,Men,,,,1334
Indiana Wesleyan,,College,Men,,,,1335
Kalamazoo,,College,Men,,,,1336
Florida Atlantic,,College,Men,,,,1337
Vermont B,,College,Men,,,,1338
Indiana B,,College,Men,,,,1339
Michigan State B,,College,Men,,,,1340
Notre Dame B,,College,Men,,,,1341
Southern Connecticut State,,College,Men,,,,1342
SUNY-New Paltz,,College,Men,,,,1343
Skidmore,,College,Men,,,,1344
Union,,College,Men,,,,1345
Hartford,,College,Men,,,,1346
Saint Rose,,College,Men,,,,1347
New Haven,,College,Men,,,,1348
Loyola-Chicago,,College,Men,,,,1349
DePaul,,College,Men,,,,1350
Northern Illinois,,College,Men,,,,1351
Wisconsin-La Crosse,,College,Men,,,,1352
Wisconsin-Stevens Point,,College,Men,,,,1353
Northern Michigan,,College,Men,,,,1354
Wisconsin-River Falls,,College,Men,,,,1355
Milwaukee School of Engineering,,College,Men,,,,1356
Carthage,,College,Men,,,,1357
Wisconsin-Green Bay,,College,Men,,,,1358
Massachusetts-Dartmouth,,College,Men,,,,1359
Wentworth,,College,Men,,,,1360
Wheaton MA,,College,Men,,,,1361
Stonehill,,College,Men,,,,1362
Harvard B,,College,Men,,,,1363
Tufts C,,College,Men,,,,1364
Connecticut B,,College,Men,,,,1365
SUNY-Stony Brook B,,College,Men,,,,1366
SUNY-Oneonta B,,College,Men,,,,1367
New Jersey Tech,,College,Men,,,,1368
Western Michigan,,College,Men,,,,1369
Sacramento State,,College,Men,,,,1370
Marquette B,,College,Men,,,,1371
Luther B,,College,Men,,,,1372
Minnesota C,,College,Men,,,,1373
Wisconsin C,,College,Men,,,,1374
Roanoke,,College,Men,,,,1375
North Texas B,,College,Men,,,,1376
Minnesota State-Mankato,,College,Men,,,,1377
North Dakota State,,College,Men,,,,1378
Bethel,,College,Men,,,,1379
Kent State,,College,Men,,,,1380
John Carroll,,College,Men,,,,1381
Ohio Northern,,College,Men,,,,1382
Ohio Wesleyan,,College,Men,,,,1383
Ohio State B,,College,Men,,,,1384
Central Arkansas,,College,Men,,,,1385
ColoradoMesa,,College,Men,,,,1386
Air Force B,,College,Men,,,,1387
San Diego State University,,College,Men,,,,1388
Florida Tech B,,College,Men,,,,1389
William & Mary B,,College,Men,,,,1390
Worcester Polytechnic,,College,Men,,,,1391
Clark,,College,Men,,,,1392
Providence,,College,Men,,,,1393
Houston,,College,Men,,,,1394
Lamar,,College,Men,,,,1395
Texas-El Paso,,College,Men,,,,1396
Texas-Rio Grande Valley,,College,Men,,,,1397
Biola,,College,Men,,,,1398
California B,,College,Men,,,,1399
California-San Diego C,,College,Men,,,,1400
Abilene Christian,,College,Men,,,,1401
Sul Ross State,,College,Men,,,,1402
Dallas Baptist,,College,Men,,,,1403
Virginia Commonwealth,,College,Men,,,,1404
Grove City,,College,Men,,,,1405
Susquehanna,,College,Men,,,,1406
California-Pennsylvania,,College,Men,,,,1407
Bucknell,,College,Men,,,,1408
Drake University,,College,Men,,,,1409
Cornell College,,College,Men,,,,1410
Johnson,,College,Men,,,,1411
William & Mary B,,College,Women,,,,1412
Delaware B,,College,Women,,,,1413
Georgetown B,,College,Women,,,,1414
Davidson,,College,Women,,,,1415
Elon,,College,Women,,,,1416
Utah State,,College,Women,,,,1417
Notre Dame B,,College,Women,,,,1418
Michigan State,,College,Women,,,,1419
Southern Indiana,,College,Women,,,,1420
Columbia B,,College,Women,,,,1421
Rutgers,,College,Women,,,,1422
SUNY New Paltz,,College,Women,,,,1423
Connecticut B,,College,Women,,,,1424
Maine,,College,Women,,,,1425
North Park,,College,Women,,,,1426
Valparaiso,,College,Women,,,,1427
Wheaton Illinois,,College,Women,,,,1428
Olivet Nazarene,,College,Women,,,,1429
Loyola-Chicago,,College,Women,,,,1430
Wisconsin B,,College,Women,,,,1431
Wisconsin-La Crosse,,College,Women,,,,1432
Bentley,,College,Women,,,,1433
Brown B,,College,Women,,,,1434
Wellesley B,,College,Women,,,,1435
Boston College B,,College,Women,,,,1436
Tufts B,,College,Women,,,,1437
Massachusetts D,,College,Women,,,,1438
Boston University B,,College,Women,,,,1439
Michigan Tech,,College,Women,,,,1440
Carleton College-Nova,,College,Women,,,,1441
Cornell College,,College,Women,,,,1442
Wooster,,College,Women,,,,1443
Kenyon,,College,Women,,,,1444
Cedarville,,College,Women,,,,1445
Ohio Northern,,College,Women,,,,1446
Saint Louis,,College,Women,,,,1447
Oklahoma State,,College,Women,,,,1448
Swarthmore B,,College,Women,,,,1449
Dickinson,,College,Women,,,,1450
Missouri S&T,,College,Women,,,,1451
Dallas,,College,Women,,,,1452
Smith,,College,Women,,,,1453
Hampshire,,College,Women,,,,1454
Worcester Polytechnic,,College,Women,,,,1455
Clark,,College,Women,,,,1456
Cornell B,,College,Women,,,,1457
SUNY-Binghamton,,College,Women,,,,1458
Rochester,,College,Women,,,,1459
Colgate,,College,Women,,,,1460
Hamilton,,College,Women,,,,1461
Northern Iowa,,College,Women,,,,1462
Illinois State B,,College,Men,,,,1463
Southern Mississippi,,College,Men,,,,1464
Texas-Dallas B,,College,Men,,,,1465
Oklahoma B,,College,Men,,,,1466
Boston College B,,College,Men,,,,1467
Hendrix,,College,Men,,,,1468
Wingate,,College,Men,,,,1469
North Carolina-Asheville,,College,Women,,,,1470
Hendrix,,College,Women,,,,1471
