team,team_name,division,gender,competition,region,conference,id
American,Stall 11,College,Men,Division I,Atlantic Coast,Colonial DI,741
Slippery Rock,SRU Lion Pride,College,Men,Division I,Ohio Valley,West Penn DI,742
Richmond,Spidermonkeys,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,743
Penn State,Spank,College,Men,Division I,Ohio Valley,West Penn DI,744
South Carolina B,South Carolina,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev,745
University of Denver B,Sourdough,College,Men,Division I,South Central,Rocky Mountain DI,746
Denver,Sourdough,College,Men,Division I,South Central,Rocky Mountain DI,747
Shenandoah,Sound Ultimate,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,748
St Mary's (Maryland),SMUT,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,749
Montana,Smokejump,College,Men,Division I,Northwest,Big Sky DI,750
UCLA,Smaug,College,Men,Division I,Southwest,SoCal DI,751
California-Santa Cruz,Slugs,College,Men,Division I,Southwest,NorCal DI,752
Cal Poly-SLO,SLOCORE,College,Men,Division I,Southwest,SoCal DI,753
Cal Poly-SLO B,SLOB,College,Men,Developmental,Southwest,Southwest Dev,754
Christopher Newport,Skymaul,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,755
North Carolina State B,Six Pack,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev,756
Delaware B,Sideshow,College,Men,Developmental,Atlantic Coast,Colonial Dev,757
Delaware,Sideshow,College,Men,Division I,Atlantic Coast,Colonial DI,758
Loyola Marymount,ShoreBreak,College,Men,Division I,Southwest,SoCal DI,759
Kenyon,SERF,College,Men,Division III,Ohio Valley,Ohio DIII,760
North Carolina-Wilmington,Seamen,College,Men,Division I,Atlantic Coast,Carolina DI,761
South Florida B,Scourge,College,Men,Developmental,Southeast,Southeast Dev,762
Radford,Scoundrels,College,Men,Division I,Atlantic Coast,Virginia DI,763
Shippensburg,Scapegoats,College,Men,Division III,Ohio Valley,West Penn DIII,764
SUNY-Albany B,SCAM,College,Men,Developmental,Metro East,Metro East Dev,765
SUNY-Albany,SCAM,College,Men,Division I,Metro East,Hudson Valley DI,766
South Florida,Scallywags,College,Men,Division I,Southeast,Florida DI,767
Santa Clara,SCAB,College,Men,Division I,Southwest,NorCal DI,768
Toledo,Savage,College,Men,Division I,Ohio Valley,Ohio DI,769
Colorado-Colorado Springs,Sauce,College,Men,Division I,South Central,Rocky Mountain DI,770
Santa Clara B,Santa Clara B,College,Men,Developmental,Southwest,NorCal DI,771
Northeastern C,Salty C Dogs,College,Men,Developmental,New England,Metro Boston Dev,772
St John's,Saint John's Ultimate,College,Men,Division III,North Central,Northwoods DIII,773
Yale,Süperfly,College,Men,Division I,Metro East,Hudson Valley DI,774
Regent University,RUUF,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev,775
Montana State,Rum Runners,College,Men,Division I,Northwest,Big Sky DI,776
Rowan B,Ruf Riders B,College,Men,Developmental,Metro East,Metro East Dev,777
Rowan,Ruf Riders,College,Men,Division I,Metro East,Metro NY DI,778
Massachusetts-Lowell,Riverhawks,College,Men,Division I,New England,Metro Boston DI,779
Knox,River Rats,College,Men,Division III,Great Lakes,Illinois DIII,780
Rhode Island,RIUT,College,Men,Division I,New England,Greater New England DI,781
RIT,RIT Spudheds,College,Men,Division I,Metro East,Western NY DI,782
Illinois,Rise,College,Men,Division I,Great Lakes,Illinois DI,783
American B,Revolution,College,Men,Developmental,Atlantic Coast,Colonial Dev,784
College of New Jersey,Revolution,College,Men,Division III,Metro East,Metro NY DIII,785
Pacific Lutheran,Reign Men,College,Men,Division III,Northwest,Northwest DIII,786
Arkansas State,Red Wolf Ultimate,College,Men,Division I,South Central,Ozarks DI,787
Idaho,Red Scare,College,Men,Division I,Northwest,Big Sky DI,788
Harvard,Red Line,College,Men,Division I,New England,Metro Boston DI,789
Marist,Red Fox Ultimate,College,Men,Division III,Metro East,Hudson Valley DIII,790
Wooster,RamJam,College,Men,Division III,Ohio Valley,Ohio DIII,791
Jefferson,Ram Riders,College,Men,Division III,Ohio Valley,East Penn DIII,792
Fresno State,Rabid,College,Men,Division I,Southwest,NorCal DI,793
Long Beach State University B,Pyramid Scheme B,College,Men,Division I,Southwest,,794
Cal State-Long Beach,Pyramid Scheme,College,Men,Division I,Southwest,SoCal DI,795
St. Thomas,Purple Reign,College,Men,Division III,North Central,Northwoods DIII,796
LSU B,Purple Haze,College,Men,Developmental,Southeast,Southeast Dev,797
LSU,Purple Haze,College,Men,Division I,Southeast,Gulf Coast DI,798
Arizona State,Prime,College,Men,Division I,Southwest,Desert DI,799
Puget Sound,Postmen,College,Men,Division III,Northwest,Northwest DIII,800
Navy,Poseidon,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,801
Pacific Lutheran B,PLU Reign B,College,Men,Division III,Northwest,Northwest DIII,802
Arizona State C,Pleasure Ultimate,College,Men,Developmental,Southwest,Southwest Dev,803
Arizona State B,Pleasure,College,Men,Developmental,Southwest,Southwest Dev,804
Rochester,Piggies,College,Men,Division III,Metro East,Western NY DIII,805
Tulsa,Party Fowl,College,Men,Division III,South Central,Ozarks DIII,806
Kennesaw State,Parliament,College,Men,Division I,Southeast,Southern Appalachian DI,807
Notre Dame,Papal Rage,College,Men,Division I,Great Lakes,East Plains DI,808
Towson,Pandamonium,College,Men,Division I,Atlantic Coast,Colonial DI,811
Charleston,Palmetto Bums,College,Men,Division I,Atlantic Coast,Carolina DI,812
Dartmouth,Pain Train,College,Men,Division I,New England,North New England DIII,813
Oregon State B,Oregon State B,College,Men,Developmental,Northwest,Cascadia DI,814
Northwestern,NUT,College,Men,Division I,Great Lakes,Illinois DI,815
Pennsylvania B,Null,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,816
Minnesota-Duluth,Northern Lights,College,Men,Division I,North Central,Northwoods DI,817
Appalachian State,Nomads,College,Men,Division I,Atlantic Coast,Carolina DI,818
Alabama-Huntsville,Nightmares,College,Men,Division I,Southeast,Gulf Coast DI,819
California-Irvine,Nightlife,College,Men,Division I,Southwest,SoCal DI,820
Virginia,Night Train,College,Men,Division I,Atlantic Coast,Virginia DI,821
Wesleyan,Nietzsch Factor,College,Men,Division III,Metro East,Hudson Valley DIII,822
NYU,New York University,College,Men,Division I,Metro East,Metro NY DI,823
New Hampshire,New Hampshire Ultimate Team,College,Men,Division I,New England,Greater New England DI,824
North Carolina State,NC State Alpha,College,Men,Division I,Atlantic Coast,Carolina DI,825
Ithaca,Nawshus Ultimate,College,Men,Division III,Metro East,Western NY DIII,826
Rutgers B,Mystery Machine,College,Men,Developmental,Metro East,Metro East Dev,827
Carnegie Mellon,Mr. Yuk,College,Men,Division I,Ohio Valley,West Penn DI,828
Mary Washington,Mother of George,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,829
Missouri State,Missouri State,College,Men,Division I,South Central,Ozarks DI,830
Missouri,Missouri,College,Men,Division I,South Central,Ozarks DI,831
Missouri S&T,Miner Threat,College,Men,Division III,South Central,Ozarks DIII,832
Michigan B,Michigan-B,College,Men,Developmental,Great Lakes,Great Lakes Dev,833
Miami (Ohio),Miami Boogiemen,College,Men,Division I,Ohio Valley,Ohio DI,834
William & Mary,Merry Men,College,Men,Division I,Atlantic Coast,Virginia DI,835
San Jose State,Megabyte,College,Men,Division I,Southwest,NorCal DI,836
George Mason,Massacre,College,Men,Division I,Atlantic Coast,Virginia DI,837
Maryland,Maryland Ultimate,College,Men,Division I,Atlantic Coast,Colonial DI,838
Boise State,Mamu Zaldi,College,Men,Division I,Northwest,Big Sky DI,839
Colorado,Mamabird,College,Men,Division I,South Central,Rocky Mountain DI,840
Villanova,Main Line Ultimate,College,Men,Division I,Ohio Valley,East Penn DI,841
Michigan,MagnUM,College,Men,Division I,Great Lakes,Michigan DI,842
Luther,LUFDA,College,Men,Division III,North Central,West Plains DIII,843
Arkansas,Ludicrous Speed,College,Men,Division I,South Central,Ozarks DI,844
Penn State B,LoveTap,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,845
Grand Canyon,Lopes,College,Men,Division I,Southwest,Desert DI,846
Middle Tennessee State,Lightning,College,Men,Division I,Southeast,Gulf Coast DI,847
