team_id,team,team_name,division,gender,competition,region,conference
25228,SUNY-Fredonia,Shell Raisers,College,Women,Division III,Metro East,Western NY DIII
23231,Maryland-Baltimore County,Shazam,College,Women,Division I,Atlantic Coast,Colonial DI
24424,FSU B,Seminole Ladies Pt 2,College,Women,Developmental,Southeast,Southeast Dev
24423,Florida State,Seminole Ladies,College,Women,Division I,Southeast,Florida DI
23474,North Carolina-Wilmington,Seaweed,College,Women,Division I,Atlantic Coast,Carolina DI
23275,San Diego State University,SDSU Gnomes,College,Women,Division I,Southwest,SoCal DI
24465,South Carolina,Scorch Ultimate,College,Women,Division I,Atlantic Coast,Carolina DI
23071,Arizona,Scorch,College,Women,Division I,Southwest,Desert DI
24344,South Florida,Scallywenches,College,Women,Division I,Southeast,Florida DI
25229,John Brown,Savage Skies,College,Women,Division III,South Central,South Central DIII
24444,Iowa,Saucy Nancy,College,Women,Division I,North Central,Western North Central DI
23950,Santa Clara,Santa Clara RAGE,College,Women,Division I,Southwest,NorCal DI
25050,Sam Houston State,Sam Houston State,College,Women,,South Central,Texas DI
23225,Wake Forest,Ruckus,College,Women,Division I,Atlantic Coast,Carolina DI
23202,Vermont,Ruckus,College,Women,Division I,New England,Greater New England DI
23128,California-Davis,Rogue,College,Women,Division I,Southwest,NorCal DI
23234,Richmond,Richmond Redhots,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII
23623,Pacific Lutheran,Reign Women,College,Women,Division III,Northwest,Northwest DIII
24011,St Benedict,Rapture,College,Women,Division III,North Central,North Central DIII
23865,Yale,Ramona,College,Women,Division I,Metro East,Eastern Metro East DI
24177,Alabama,Ramma Jamma,College,Women,Division I,Southeast,Gulf Coast DI
24349,Harvard,Quasar,College,Women,Division I,New England,Metro Boston DI
24706,Colorado,Quandary,College,Women,Division I,South Central,Rocky Mountain DI
23320,Macalester,Pursesnatchers,College,Women,Division III,North Central,North Central DIII
24620,Oberlin B,Preying Manti B,College,Women,Division III,Ohio Valley,Ohio DIII
24619,Oberlin,Preying Manti A,College,Women,Division III,Ohio Valley,Ohio DIII
23630,Pacific Lutheran B,PLU Royals,College,Women,Division III,Northwest,Northwest DIII
24521,North Carolina,Pleiades,College,Women,Division I,Atlantic Coast,Carolina DI
24449,California,Pie Queens,College,Women,Division I,Southwest,NorCal DI
24774,Colorado B,Petra,College,Women,Developmental,South Central,Rocky Mountain DI
24307,Columbia,PANDEMIC,College,Women,Division I,Metro East,Eastern Metro East DI
23713,Portland State,Osiks,College,Women,Division I,Northwest,Cascadia DI
24847,New Hampshire,Oriza Ultimate,College,Women,Division I,New England,Greater New England DI
23034,Western Washington B,Nyx,College,Women,Division I,Northwest,Cascadia DI
24810,NYU,NYU Violet Femmes,College,Women,Division I,Metro East,Eastern Metro East DI
23163,Catholic,Nun Betta,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII
24466,Appalachian State,Nonads,College,Women,Division I,Atlantic Coast,Carolina DI
24853,Cal State-Long Beach,No Regrets,College,Women,Division I,Southwest,SoCal DI
24610,Mississippi State,Night Mare,College,Women,Division I,Southeast,Gulf Coast DI
24756,Oklahoma,Never Mrs,College,Women,Division I,South Central,Ozarks DI
23195,Tulane,Muses,College,Women,Division I,Southeast,Gulf Coast DI
24462,Montana,MT PillowFight,College,Women,Division I,Northwest,Big Sky DI
23647,Tennessee-Chattanooga,Moxie,College,Women,Division I,Southeast,Southern Appalachian DI
24080,West Virginia,Mountain Mamas,College,Women,Division I,Ohio Valley,Pennsylvania DI
24637,Houston,Metropolis,College,Women,Division I,South Central,Texas DI
23177,Messiah,Messiah Falcons,College,Women,Division III,Ohio Valley,Pennsylvania DIII
23983,Texas,Melee,College,Women,Division I,South Central,Texas DI
23985,Texas B,Mayhem,College,Women,Developmental,South Central,Texas DI
24445,Mary Washington,Mary Massacre,College,Women,Division III,Atlantic Coast,Atlantic Coast DIII
24451,Hofstra,M45,College,Women,Division I,Metro East,Eastern Metro East DI
23710,Colorado College,Lysistrata's Tools,College,Women,Division I,South Central,Rocky Mountain DI
24696,Georgia College,Lynx rufus,College,Women,Division III,Southeast,Southeast DIII
23123,Emory,Luna,College,Women,Division I,Southeast,Southern Appalachian DI
23533,LSU,LSU Women's Ultimate,College,Women,Division I,Southeast,Gulf Coast DI
24565,Liberty,Liberty Flames,College,Women,Division I,Atlantic Coast,Virginia DI
24801,DePaul,Laser Chains,College,Women,Division I,Great Lakes,Illinois DI
24800,Mississippi,Landsharks,College,Women,Division I,Southeast,Gulf Coast DI
24681,Minnesota-Duluth,LakEffect,College,Women,Division I,North Central,Western North Central DI
23233,Massachusetts,Lady Zoo,College,Women,Division I,New England,Greater New England DI
23575,Williams,La WUFA,College,Women,Division III,New England,South New England DIII
23394,Ithaca,Kweezy Ultimate,College,Women,Division III,Metro East,Western NY DIII
24418,Kentucky,KULT,College,Women,Division I,Great Lakes,Eastern Great Lakes DI
23184,Dayton,Kraken,College,Women,Division I,Ohio Valley,Ohio DI
24814,Air Force,Kiwi,College,Women,Division III,South Central,South Central DIII
23062,Northern Arizona,Jines in the Pines,College,Women,Division I,Southwest,Desert DI
24526,North Carolina State,Jaga Monsta,College,Women,Division I,Atlantic Coast,Carolina DI
23154,Washington University,Iron Horse,College,Women,Division I,South Central,Ozarks DI
24108,Illinois,Illinois,College,Women,Division I,Great Lakes,Illinois DI
24286,Xavier,Ignition,College,Women,Division III,Ohio Valley,Ohio DIII
23110,Idaho,Idaho Gems,College,Women,Division I,Northwest,Big Sky DI
24381,Drake University,iBex,College,Women,Division III,North Central,North Central DIII
23031,Denver,Hype,College,Women,Division I,South Central,Rocky Mountain DI
23670,Virginia,Hydra,College,Women,Division I,Atlantic Coast,Virginia DI
24098,Georgetown,Huckin' Foyas,College,Women,Division I,Atlantic Coast,Colonial DI
23114,Pittsburgh B,High Voltage,College,Women,Division I,Ohio Valley,Pennsylvania DI
24185,Maryland,Helpful Corn,College,Women,Division I,Atlantic Coast,Colonial DI
23167,Southern California,Hellions of Troy,College,Women,Division I,Southwest,SoCal DI
24686,Allegheny,Hellbenderitas,College,Women,Division III,Ohio Valley,Pennsylvania DIII
23618,Colorado State,Hell's Belles,College,Women,Division I,South Central,Rocky Mountain DI
23183,Towson,Hammertime,College,Women,Division I,Atlantic Coast,Colonial DI
23251,Humboldt State,Hags,College,Women,Division I,Southwest,NorCal DI
24363,Northwestern University,GungHo,College,Women,Division I,Great Lakes,Illinois DI
23939,Grinnell,Grinneleanor Roosevelts,College,Women,Division III,North Central,North Central DIII
24385,Lehigh B,Gravity,College,Women,Division III,Ohio Valley,Pennsylvania DIII
24184,Lehigh,Gravity,College,Women,Division III,Ohio Valley,Pennsylvania DIII
24459,California-Irvine,Grass Ninjas,College,Women,Division I,Southwest,SoCal DI
24178,George Washington B,Gdub Bippos,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev
23321,George Washington,GDUB A,College,Women,Division I,Atlantic Coast,Colonial DI
23678,Oregon,Fugue,College,Women,Division I,Northwest,Cascadia DI
23615,Florida,FUEL,College,Women,Division I,Southeast,Florida DI
23497,Miami (Ohio),FrisBaes,College,Women,Division I,Ohio Valley,Ohio DI
24127,Luther,Freya,College,Women,Division III,North Central,North Central DIII
24596,Franciscan,Franciscan FIRE,College,Women,Division III,Ohio Valley,Ohio DIII
24511,Marist,FoxU Vixens,College,Women,Division III,Metro East,Eastern Metro East DIII
24857,Syracuse,Fox Force Seven,College,Women,Division I,Metro East,Western NY DI
23172,Michigan,Flywheel,College,Women,Division I,Great Lakes,Eastern Great Lakes DI
23572,Florida Tech,Flux,College,Women,Division III,Southeast,Southeast DIII
25020,Drexel,Flash Point,College,Women,Division I,Ohio Valley,Pennsylvania DI
25023,Salisbury,Flash,College,Women,Division I,Atlantic Coast,Colonial DI
24808,Stanford B,Firefly,College,Women,Developmental,Southwest,NorCal Dev
24057,Case Western Reserve,Fighting Gobies,College,Women,Division I,Ohio Valley,Ohio DI
24474,Ohio State B,Fever-B,College,Women,Developmental,Ohio Valley,Ohio DI
24473,Ohio State,Fever,College,Women,Division I,Ohio Valley,Ohio DI
24393,George Mason,Extinction,College,Women,Division I,Atlantic Coast,Virginia DI
24029,Tufts,EWO (Elephant Women),College,Women,Division I,New England,Metro Boston DI
