team,gender,division,city,state,region,section,id
Phoenix,Men,Club,"Ottawa, ON",Ontario,Northeast,Upstate NY,0
El Niño,Men,Club,Oakland Park,FL,Southeast,Florida,1
DNA,Men,Club,Surrey,BC,Northwest,Washington/BC,2
SOUF,Men,Club,Seattle,WA,Northwest,Washington/BC,3
Rumspringa,Men,Club,Virginville,PA,Mid-Atlantic,Founders,4
Low Point,Men,Club,Salt Lake City,UT,Northwest,Big Sky,5
Journeymen,Men,Club,Sunnyvale,CA,Southwest,NorCal,6
The Berkeley Bobcats,Men,Club,Berkeley,CA,Southwest,NorCal,7
Green Means Bro,Men,Club,Philadelphia,PA,Mid-Atlantic,Founders,8
Little Teapots,Men,Club,Santa Cruz,CA,Southwest,NorCal,9
Flash Flood,Men,Club,Dallas,TX,South Central,Texas,10
Big Muscle Boys,Men,Club,Storrs,CT,Northeast,Metro NY,11
Boulder United Flatiron Hammers,Men,Club,Boulder,CO,South Central,Rocky Mountain,12
Old Ephraim,Men,Club,Logan,UT,Northwest,Big Sky,13
DINGWOP,Men,Club,Duluth,MN,North Central,Northwest Plains,14
Rock Steady,Men,Club,Austin,TX,South Central,Texas,15
Waste Management Squad,Men,Club,Seattle,WA,Northwest,Washington/BC,16
White Sauce Hot Sauce,Men,Club,KEW GARDENS,NY,Northeast,Metro NY,17
Medicine Men,Men,Club,Baltimore,MD,Mid-Atlantic,Capital,18
Not A Sport,Men,Club,Somerset,NJ,Mid-Atlantic,Founders,19
Kingdome,Men,Club,Seattle,WA,Northwest,Washington/BC,20
UpRoar Claws,Men,Club,Tampa,FL,Southeast,Florida,21
Goaltimate All Stars,Men,Club,San Diego,CA,Southwest,So Cal,22
Miner Magic,Men,Club,Rolla,MO,North Central,West Plains,23
Arithmetic Ultimate,Men,Club,Mountain View,CA,Southwest,NorCal,24
Black Knights,Men,Club,West Point,NY,Northeast,Metro NY,25
Festive Salmon,Men,Club,New York,NY,Northeast,Metro NY,26
Fargoats,Men,Club,Fargo,ND,North Central,Northwest Plains,27
Apollo 7,Men,Club,West Chester,PA,Mid-Atlantic,Founders,28
Nasty Girls,Men,Club,urbana,IL,Great Lakes,Central Plains,29
desert penguins,Men,Club,San Diego,CA,Southwest,So Cal,30
Huckleberry,Men,Club,LRFayettenam,AR,South Central,Ozarks,31
Space Force,Men,Club,Pittsburgh,PA,Mid-Atlantic,Founders,32
HBW United,Men,Club,Arlington,VA,Southeast,East Coast,33
Fathom II,Men,Club,Newport News,VA,Mid-Atlantic,Capital,34
Axial Tilt,Men,Club,Bethlehem,PA,Mid-Atlantic,Founders,35
Stuyvesant Sticky Fingers Alumni,Men,Club,New York,NY,Northeast,Metro NY,36
Philadelphia Padawans,Men,Club,Philadelphia,PA,Mid-Atlantic,Founders,37
Bash Bros,Men,Club,Cary,NC,Southeast,North Carolina,38
Hot Tamales,Men,Club,Bethlehem,PA,Mid-Atlantic,Founders,39
Ditto B,Men,Club,Gary,IN,Great Lakes,Central Plains,40
Ditto A,Men,Club,Gary,IN,Great Lakes,Central Plains,41
Bearproof,Men,Club,Harrisburg,PA,Mid-Atlantic,Founders,42
Satellite,Men,Club,Normal,IL,Great Lakes,Central Plains,43
Tsunami B,Men,Club,Saint Louis,MO,North Central,,44
Fathom,Men,Club,Ft Monroe,VA,Mid-Atlantic,Capital,45
Cockfight,Men,Club,Columbia,SC,Southeast,East Coast,46
Seattle Blacklist,Men,Club,Seattle,WA,Northwest,Washington/BC,47
ScooberDivers,Men,Club,Lake Wales,FL,Southeast,Florida,48
Rawhide,Men,Club,Tulsa,OK,South Central,Ozarks,49
Madhouse,Men,Club,Halifax,Nova Scotia,Northeast,East New England,50
Rampage,Men,Club,Huntsville,AL,Southeast,Gulf Coast,51
Minnesota Superior U20B,Men,Club,Twin Cities,MN,North Central,,52
Villains,Men,Club,Franklin,TN,Southeast,Gulf Coast,53
PoNY,Men,Club,New York,NY,Northeast,Metro NY,54
Mango Tree,Men,Club,Ann Arbor,MI,Great Lakes,East Plains,55
Midnight Meat Train,Men,Club,Grand Rapids,MI,Great Lakes,East Plains,56
Highlight Reel,Men,Club,attleboro,MA,Northeast,East New England,57
Haymaker,Men,Club,Chicago,IL,Great Lakes,Central Plains,58
BlackER Market Y,Men,Club,Lombard,IL,Great Lakes,Central Plains,59
BlackER Market X,Men,Club,Lombard,IL,Great Lakes,Central Plains,60
Black Market III,Men,Club,Lombard,IL,Great Lakes,Central Plains,61
Black Market II,Men,Club,Lombard,IL,Great Lakes,Central Plains,62
Black Market I,Men,Club,Lombard,IL,Great Lakes,Central Plains,63
Nain Rouge,Men,Club,Ferndale,MI,Great Lakes,East Plains,64
Genny Lite,Men,Club,Rochester,NY,Northeast,Upstate NY,65
MomINtuM,Men,Club,Indianapolis,IN,Great Lakes,Central Plains,66
Guerrilla,Men,Club,Oakland,CA,Southwest,NorCal,67
Revolver,Men,Club,San Francisco,CA,Southwest,NorCal,68
Glycerine,Men,Club,Dallas,TX,South Central,Texas,69
Brickyard,Men,Club,Indianapolis,IN,Great Lakes,Central Plains,70
MKE,Men,Club,Milwaukee,WI,North Central,Northwest Plains,71
Carolina Sky,Men,Club,Triangle,NC,,,72
NEO,Men,Club,Northeast,OH,Great Lakes,East Plains,73
Swamp Horse,Men,Club,Florida,FL,Southeast,Florida,74
H.I.P,Men,Club,Texas City,TX,South Central,Texas,75
Red Bat,Men,Club,DES MOINES,IA,North Central,West Plains,76
Messengers,Men,Club,Austin,TX,South Central,Texas,77
Doublewide,Men,Club,Austin,TX,South Central,Texas,78
Mad Men,Men,Club,Madison,WI,North Central,Northwest Plains,79
Identity Crisis,Men,Club,St Louis,MO,North Central,West Plains,80
Gentlemen's Club,Men,Club,Knoxville,TN,Southeast,East Coast,81
Harvey Cats,Men,Club,Houston,TX,South Central,Texas,82
Oakgrove Boys,Men,Club,ARLINGTON,VA,Mid-Atlantic,Capital,83
Gamble,Men,Club,Austin,TX,South Central,Texas,84
Gaucho,Men,Club,Austin,TX,South Central,Texas,85
Surrilic Audovice,Men,Club,Richardson,TX,South Central,Texas,86
Texas Toast,Men,Club,Austin,TX,South Central,Texas,87
Chicago Machine,Men,Club,Chicago,IL,Great Lakes,Central Plains,88
Rip City,Men,Club,Portland,OR,Northwest,Oregon,89
Swans,Men,Club,Saint Paul,MN,North Central,Northwest Plains,90
Dark Star,Men,Club,Eugene,OR,Northwest,Oregon,91
Red Tide,Men,Club,Portland,ME,Northeast,East New England,92
Tyranny,Men,Club,Tampa,FL,Southeast,Florida,93
Texas Heatwave,Men,Club,Houston,TX,South Central,Texas,94
Vicious Cycle,Men,Club,Gainesville,FL,Southeast,Florida,95
Flying Pig,Men,Club,Cincinnati,OH,Great Lakes,East Plains,96
Cojones,Men,Club,San Francisco,CA,Southwest,NorCal,97
Inception,Men,Club,Denver,CO,South Central,Rocky Mountain,98
Flying Piglet,Men,Club,Cincinnati,OH,,,99
BUDA U20B,Men,Club,Boston,MA,Northeast,West New England,100
Mallard,Men,Club,Minneapolis,MN,North Central,Northwest Plains,101
Somerville BAG,Men,Club,Somerville,MA,Northeast,East New England,102
Red Hots - u20,Men,Club,Chicago,IL,Great Lakes,Central Plains,103
CITYWIDE Special,Men,Club,Philadelphia,PA,Mid-Atlantic,Founders,104
Pittsburgh Temper,Men,Club,Pittsburgh,PA,Mid-Atlantic,Founders,105
ISO Atmo,Men,Club,Boulder,CO,South Central,Rocky Mountain,106
Johnny Bravo,Men,Club,Denver,CO,South Central,Rocky Mountain,107
Omen (OH),Men,Club,Cincinnati,OH,Great Lakes,East Plains,108
Omen (FL),Men,Club,Orlando,FL,Southeast,Florida,109
Sub Zero,Men,Club,Minneapolis,MN,North Central,Northwest Plains,110
Patrol,Men,Club,Philadelphia,PA,Mid-Atlantic,Founders,111
Scythe,Men,Club,Omaha,NE,North Central,West Plains,112
Louisiana Second Line,Men,Club,Baton Rouge,LA,Southeast,Gulf Coast,113
Bullet,Men,Club,Atlanta,GA,Southeast,East Coast,114
Kansas City Smokestack,Men,Club,Kansas City,KS,North Central,West Plains,115
Red Imp.ala,Men,Club,Ferndale,MI,Great Lakes,East Plains,116
Winc City Fog of War,Men,Club,Winchester,VA,Mid-Atlantic,Capital,117
DOGGPOUND,Men,Club,Los Angeles,CA,Southwest,So Cal,118
War Machine,Men,Club,Birmingham,AL,Southeast,Gulf Coast,119
Blackfish,Men,Club,Vancouver,BC,Northwest,Washington/BC,120
Hail Mary,Men,Club,Lynchburg,VA,Mid-Atlantic,Capital,121
Slag Dump,Men,Club,Pittsburgh,PA,Mid-Atlantic,Founders,122
A-Block,Men,Club,Athens,OH,North Central,,123
Chimney,Men,Club,Cleveland,OH,Great Lakes,East Plains,124
Regiment,Men,Club,St Johns,Newfoundland/Labrador,Northeast,East New England,125
Truck Stop,Men,Club,Washington,DC,Mid-Atlantic,Capital,126
Komori,Men,Club,Vancouver,British Columbia,Northwest,Washington/BC,127
GOAT,Men,Club,Toronto,Ontario,Northeast,Upstate NY,128
Rhino Slam!,Men,Club,Portland,OR,Northwest,Oregon,129
Bird Patrol,Men,Club,Bloomington,IN,Great Lakes,Central Plains,130
Charleston Heat Stroke,Men,Club,Charleston,SC,Southeast,East Coast,131
Kentucky Flying Circus,Men,Club,Louisville,KY,Great Lakes,East Plains,132
Clutch,Men,Club,Houston,TX,South Central,Texas,133
Enigma,Men,Club,Dayton,OH,Great Lakes,East Plains,134
Voodoo,Men,Club,Seattle,WA,Northwest,Washington/BC,135
Flying Dutchmen,Men,Club,Columbus,OH,Great Lakes,East Plains,136
Barefoot,Men,Club,Tupelo,MS,Southeast,Gulf Coast,137
Predator,Men,Club,Hattiesburg,MS,Southeast,Gulf Coast,138
Freaks,Men,Club,Huntsville,AL,Southeast,Gulf Coast,139
Red Circus,Men,Club,Halifax,Nova Scotia,Northeast,East New England,140
Choice City Hops,Men,Club,Fort Collins,CO,South Central,Rocky Mountain,141
Chain Lightning,Men,Club,Atlanta,GA,Southeast,East Coast,142
Sandbaggers,Men,Club,Washington,UT,Northwest,Big Sky,143
Overcast,Men,Club,Syracuse,NY,Northeast,Upstate NY,144
H.O.G. Ultimate,Men,Club,Macon,GA,Southeast,East Coast,145
